# 2MASS-K
# photon
# from FILTER.RES.DR34.latest
1.93400e+04 0.00000e+00
1.94100e+04 0.00000e+00
1.94800e+04 7.66651e-03
1.95500e+04 1.21519e-02
1.96200e+04 2.41789e-02
1.96900e+04 5.12947e-02
1.97600e+04 1.05732e-01
1.98300e+04 1.99651e-01
1.99000e+04 2.41946e-01
1.99700e+04 2.57027e-01
2.00400e+04 3.02705e-01
2.01100e+04 3.86198e-01
2.01800e+04 4.09869e-01
2.02500e+04 5.82441e-01
2.03200e+04 7.56339e-01
2.03900e+04 8.33802e-01
2.04600e+04 8.08084e-01
2.05300e+04 7.50043e-01
2.06000e+04 6.97594e-01
2.06700e+04 7.38164e-01
2.07400e+04 7.68127e-01
2.08100e+04 8.29946e-01
2.08800e+04 8.72985e-01
2.09500e+04 8.79568e-01
2.10200e+04 8.97251e-01
2.10900e+04 9.25369e-01
2.11600e+04 9.20689e-01
2.12300e+04 9.32188e-01
2.13000e+04 9.54129e-01
2.13700e+04 9.63154e-01
2.14400e+04 9.68603e-01
2.15100e+04 9.67103e-01
2.15800e+04 9.58171e-01
2.16500e+04 9.41740e-01
2.17200e+04 9.40820e-01
2.17900e+04 9.23000e-01
2.18600e+04 8.82215e-01
2.19300e+04 9.32889e-01
2.20000e+04 9.74577e-01
2.20700e+04 9.93183e-01
2.21400e+04 1.00000e+00
2.22100e+04 9.90957e-01
2.22800e+04 9.77739e-01
2.23500e+04 9.78618e-01
2.24200e+04 9.83593e-01
2.24900e+04 9.77462e-01
2.25600e+04 9.62778e-01
2.26300e+04 9.73470e-01
2.27000e+04 9.60244e-01
2.27700e+04 9.24445e-01
2.28400e+04 8.90763e-01
2.29100e+04 8.20696e-01
2.29800e+04 5.99135e-01
2.30500e+04 4.47411e-01
2.31200e+04 3.13276e-01
2.31900e+04 1.78905e-01
2.32600e+04 1.14749e-01
2.33300e+04 6.81330e-02
2.34000e+04 4.08940e-02
2.34700e+04 2.58779e-02
2.35400e+04 1.19427e-02
2.36100e+04 0.00000e+00
2.36800e+04 0.00000e+00
