# CAPAK_v2-flamingos_Ks
# photon
# from FILTER.RES.DR34.latest
1.94450e+04 0.00000e+00
1.95150e+04 0.00000e+00
1.95850e+04 3.47461e-03
1.96550e+04 8.48409e-03
1.97250e+04 2.80474e-02
1.97950e+04 9.02935e-02
1.98650e+04 2.56155e-01
1.99350e+04 5.80195e-01
2.00050e+04 5.01464e-01
2.00750e+04 5.08885e-01
2.01450e+04 5.07461e-01
2.02150e+04 7.17034e-01
2.02850e+04 9.07813e-01
2.03550e+04 9.62712e-01
2.04250e+04 9.35831e-01
2.04950e+04 8.20264e-01
2.05650e+04 7.11021e-01
2.06350e+04 7.60241e-01
2.07050e+04 8.11741e-01
2.07750e+04 9.16408e-01
2.08450e+04 9.41424e-01
2.09150e+04 9.52482e-01
2.09850e+04 9.51461e-01
2.10550e+04 9.67964e-01
2.11250e+04 9.60170e-01
2.11950e+04 9.51011e-01
2.12650e+04 9.53166e-01
2.13350e+04 9.74495e-01
2.14050e+04 9.91431e-01
2.14750e+04 1.00000e+00
2.15450e+04 9.88833e-01
2.16150e+04 9.85489e-01
2.16850e+04 9.88472e-01
2.17550e+04 9.72247e-01
2.18250e+04 9.56585e-01
2.18950e+04 9.60659e-01
2.19650e+04 9.23225e-01
2.20350e+04 9.03344e-01
2.21050e+04 9.23445e-01
2.21750e+04 9.10599e-01
2.22450e+04 9.09321e-01
2.23150e+04 9.15415e-01
2.23850e+04 9.14116e-01
2.24550e+04 9.15857e-01
2.25250e+04 9.16777e-01
2.25950e+04 9.01071e-01
2.26650e+04 9.00211e-01
2.27350e+04 8.96402e-01
2.28050e+04 9.12355e-01
2.28750e+04 8.83632e-01
2.29450e+04 7.64894e-01
2.30150e+04 5.53684e-01
2.30850e+04 3.56841e-01
2.31550e+04 1.79708e-01
2.32250e+04 7.81427e-02
2.32950e+04 3.29693e-02
2.33650e+04 1.40815e-02
2.34350e+04 6.44388e-03
2.35050e+04 3.40408e-03
2.35750e+04 2.13840e-03
2.36450e+04 1.56447e-03
2.37150e+04 8.94990e-04
2.37850e+04 8.41892e-04
2.38550e+04 7.84334e-04
2.39250e+04 7.40205e-04
2.39950e+04 1.01023e-03
2.40650e+04 9.59690e-04
2.41350e+04 1.13259e-03
2.42050e+04 1.08285e-03
2.42750e+04 1.17702e-03
2.43450e+04 1.31121e-03
2.44150e+04 0.00000e+00
2.44850e+04 0.00000e+00
