# COMBO-17.old-epsi_U
# photon
# from FILTER.RES.DR34.latest
3.21000e+03 0.00000e+00
3.22000e+03 0.00000e+00
3.23000e+03 2.30447e-03
3.24000e+03 3.29854e-03
3.25000e+03 5.15202e-03
3.26000e+03 7.65961e-03
3.27000e+03 1.07258e-02
3.28000e+03 1.47980e-02
3.29000e+03 1.97191e-02
3.30000e+03 2.65755e-02
3.31000e+03 3.54044e-02
3.32000e+03 4.63907e-02
3.33000e+03 6.03082e-02
3.34000e+03 7.50129e-02
3.35000e+03 9.03269e-02
3.36000e+03 1.06344e-01
3.37000e+03 1.24082e-01
3.38000e+03 1.47444e-01
3.39000e+03 1.73631e-01
3.40000e+03 2.03937e-01
3.41000e+03 2.34596e-01
3.42000e+03 2.63253e-01
3.43000e+03 2.92214e-01
3.44000e+03 3.20294e-01
3.45000e+03 3.50195e-01
3.46000e+03 3.81213e-01
3.47000e+03 4.11768e-01
3.48000e+03 4.44046e-01
3.49000e+03 4.74679e-01
3.50000e+03 5.08445e-01
3.51000e+03 5.42387e-01
3.52000e+03 5.74765e-01
3.53000e+03 6.07384e-01
3.54000e+03 6.34308e-01
3.55000e+03 6.56525e-01
3.56000e+03 6.73812e-01
3.57000e+03 6.89885e-01
3.58000e+03 7.10182e-01
3.59000e+03 7.34908e-01
3.60000e+03 7.65530e-01
3.61000e+03 8.04461e-01
3.62000e+03 8.37008e-01
3.63000e+03 8.60482e-01
3.64000e+03 8.73688e-01
3.65000e+03 8.82404e-01
3.66000e+03 8.92428e-01
3.67000e+03 9.09363e-01
3.68000e+03 9.35435e-01
3.69000e+03 9.63823e-01
3.70000e+03 9.88867e-01
3.71000e+03 1.00000e+00
3.72000e+03 9.94285e-01
3.73000e+03 9.72660e-01
3.74000e+03 9.46278e-01
3.75000e+03 9.18647e-01
3.76000e+03 8.94372e-01
3.77000e+03 8.77758e-01
3.78000e+03 8.63458e-01
3.79000e+03 8.46511e-01
3.80000e+03 8.15686e-01
3.81000e+03 7.65490e-01
3.82000e+03 7.01836e-01
3.83000e+03 6.23490e-01
3.84000e+03 5.48395e-01
3.85000e+03 4.76178e-01
3.86000e+03 4.12355e-01
3.87000e+03 3.59631e-01
3.88000e+03 3.11174e-01
3.89000e+03 2.70081e-01
3.90000e+03 2.29431e-01
3.91000e+03 1.90334e-01
3.92000e+03 1.54446e-01
3.93000e+03 1.18898e-01
3.94000e+03 8.96877e-02
3.95000e+03 6.61224e-02
3.96000e+03 4.77651e-02
3.97000e+03 3.39215e-02
3.98000e+03 2.51643e-02
3.99000e+03 0.00000e+00
4.00000e+03 0.00000e+00
