# COMBO17-C17_915
# photon
# from FILTER.RES.DR34.latest
8.81000e+03 0.00000e+00
8.84000e+03 0.00000e+00
8.87000e+03 1.23672e-02
8.90000e+03 2.67920e-02
8.93000e+03 4.60079e-02
8.96000e+03 1.01420e-01
8.99000e+03 2.79609e-01
9.02000e+03 6.99110e-01
9.05000e+03 1.00000e+00
9.08000e+03 9.69736e-01
9.11000e+03 9.18226e-01
9.14000e+03 9.23868e-01
9.17000e+03 9.29583e-01
9.20000e+03 8.86930e-01
9.23000e+03 7.82488e-01
9.26000e+03 6.01154e-01
9.29000e+03 3.78187e-01
9.32000e+03 1.93974e-01
9.35000e+03 8.73950e-02
9.38000e+03 3.83962e-02
9.41000e+03 2.11119e-02
9.44000e+03 0.00000e+00
9.47000e+03 0.00000e+00
