# COMBO17-C17_I
# photon
# from FILTER.RES.DR34.latest
7.31500e+03 0.00000e+00
7.34000e+03 0.00000e+00
7.36500e+03 4.37915e-03
7.39000e+03 5.90230e-03
7.41500e+03 8.55674e-03
7.44000e+03 1.24979e-02
7.46500e+03 1.83176e-02
7.49000e+03 2.65848e-02
7.51500e+03 3.78543e-02
7.54000e+03 5.28054e-02
7.56500e+03 7.21536e-02
7.59000e+03 9.71628e-02
7.61500e+03 1.27971e-01
7.64000e+03 1.63547e-01
7.66500e+03 2.07654e-01
7.69000e+03 2.59120e-01
7.71500e+03 3.17011e-01
7.74000e+03 3.78006e-01
7.76500e+03 4.41374e-01
7.79000e+03 5.05746e-01
7.81500e+03 5.70631e-01
7.84000e+03 6.31659e-01
7.86500e+03 6.89496e-01
7.89000e+03 7.46590e-01
7.91500e+03 7.99258e-01
7.94000e+03 8.45398e-01
7.96500e+03 8.83620e-01
7.99000e+03 9.10272e-01
8.01500e+03 9.23957e-01
8.04000e+03 9.45940e-01
8.06500e+03 9.63057e-01
8.09000e+03 9.75515e-01
8.11500e+03 9.85271e-01
8.14000e+03 9.93044e-01
8.16500e+03 9.97527e-01
8.19000e+03 9.99804e-01
8.21500e+03 1.00000e+00
8.24000e+03 9.97798e-01
8.26500e+03 9.93653e-01
8.29000e+03 9.89363e-01
8.31500e+03 9.86218e-01
8.34000e+03 9.81416e-01
8.36500e+03 9.75405e-01
8.39000e+03 9.68363e-01
8.41500e+03 9.60561e-01
8.44000e+03 9.53468e-01
8.46500e+03 9.46642e-01
8.49000e+03 9.38470e-01
8.51500e+03 9.25928e-01
8.54000e+03 9.13290e-01
8.56500e+03 9.03032e-01
8.59000e+03 8.88112e-01
8.61500e+03 8.73474e-01
8.64000e+03 8.60312e-01
8.66500e+03 8.46927e-01
8.69000e+03 8.32152e-01
8.71500e+03 8.17098e-01
8.74000e+03 8.02646e-01
8.76500e+03 7.88282e-01
8.79000e+03 7.74220e-01
8.81500e+03 7.59501e-01
8.84000e+03 7.44273e-01
8.86500e+03 7.27744e-01
8.89000e+03 7.10803e-01
8.91500e+03 6.94362e-01
8.94000e+03 6.78810e-01
8.96500e+03 6.62826e-01
8.99000e+03 6.46429e-01
9.01500e+03 6.32108e-01
9.04000e+03 6.19174e-01
9.06500e+03 6.05780e-01
9.09000e+03 5.91592e-01
9.11500e+03 5.78264e-01
9.14000e+03 5.66221e-01
9.16500e+03 5.52998e-01
9.19000e+03 5.38884e-01
9.21500e+03 5.24676e-01
9.24000e+03 5.10314e-01
9.26500e+03 4.96112e-01
9.29000e+03 4.82018e-01
9.31500e+03 4.68066e-01
9.34000e+03 4.53674e-01
9.36500e+03 4.38995e-01
9.39000e+03 4.23917e-01
9.41500e+03 4.08708e-01
9.44000e+03 3.93736e-01
9.46500e+03 3.78396e-01
9.49000e+03 3.62873e-01
9.51500e+03 3.49182e-01
9.54000e+03 3.37140e-01
9.56500e+03 3.25596e-01
9.59000e+03 3.14149e-01
9.61500e+03 3.02247e-01
9.64000e+03 2.90082e-01
9.66500e+03 2.78057e-01
9.69000e+03 2.66168e-01
9.71500e+03 2.56931e-01
9.74000e+03 0.00000e+00
9.76500e+03 0.00000e+00
