# COMBO17-C17_R
# photon
# from FILTER.RES.DR34.latest
5.53000e+03 0.00000e+00
5.55000e+03 0.00000e+00
5.57000e+03 2.21269e-02
5.59000e+03 4.51892e-02
5.61000e+03 9.52854e-02
5.63000e+03 1.69235e-01
5.65000e+03 2.59663e-01
5.67000e+03 3.56270e-01
5.69000e+03 4.48882e-01
5.71000e+03 5.42732e-01
5.73000e+03 6.33349e-01
5.75000e+03 7.11378e-01
5.77000e+03 7.66670e-01
5.79000e+03 7.98353e-01
5.81000e+03 8.14435e-01
5.83000e+03 8.26370e-01
5.85000e+03 8.43672e-01
5.87000e+03 8.71112e-01
5.89000e+03 9.06188e-01
5.91000e+03 9.39905e-01
5.93000e+03 9.67631e-01
5.95000e+03 9.83784e-01
5.97000e+03 9.88932e-01
5.99000e+03 9.88996e-01
6.01000e+03 9.90191e-01
6.03000e+03 9.94152e-01
6.05000e+03 9.98699e-01
6.07000e+03 1.00000e+00
6.09000e+03 9.93816e-01
6.11000e+03 9.79650e-01
6.13000e+03 9.61863e-01
6.15000e+03 9.43656e-01
6.17000e+03 9.32563e-01
6.19000e+03 9.30858e-01
6.21000e+03 9.39298e-01
6.23000e+03 9.53869e-01
6.25000e+03 9.69041e-01
6.27000e+03 9.79237e-01
6.29000e+03 9.82112e-01
6.31000e+03 9.77625e-01
6.33000e+03 9.69167e-01
6.35000e+03 9.60137e-01
6.37000e+03 9.52404e-01
6.39000e+03 9.46994e-01
6.41000e+03 9.43066e-01
6.43000e+03 9.38520e-01
6.45000e+03 9.31443e-01
6.47000e+03 9.21912e-01
6.49000e+03 9.10482e-01
6.51000e+03 8.98105e-01
6.53000e+03 8.87644e-01
6.55000e+03 8.81434e-01
6.57000e+03 8.80087e-01
6.59000e+03 8.83329e-01
6.61000e+03 8.88907e-01
6.63000e+03 8.94523e-01
6.65000e+03 8.97979e-01
6.67000e+03 8.97621e-01
6.69000e+03 8.93180e-01
6.71000e+03 8.85644e-01
6.73000e+03 8.76782e-01
6.75000e+03 8.68152e-01
6.77000e+03 8.60718e-01
6.79000e+03 8.55018e-01
6.81000e+03 8.50450e-01
6.83000e+03 8.46888e-01
6.85000e+03 8.43041e-01
6.87000e+03 8.39104e-01
6.89000e+03 8.33846e-01
6.91000e+03 8.28706e-01
6.93000e+03 8.22897e-01
6.95000e+03 8.17234e-01
6.97000e+03 8.11602e-01
6.99000e+03 8.06289e-01
7.01000e+03 8.00500e-01
7.03000e+03 7.94396e-01
7.05000e+03 7.87968e-01
7.07000e+03 7.80777e-01
7.09000e+03 7.73915e-01
7.11000e+03 7.66358e-01
7.13000e+03 7.58621e-01
7.15000e+03 7.49940e-01
7.17000e+03 7.39942e-01
7.19000e+03 7.27270e-01
7.21000e+03 7.08957e-01
7.23000e+03 6.81299e-01
7.25000e+03 6.39731e-01
7.27000e+03 5.82494e-01
7.29000e+03 5.11874e-01
7.31000e+03 4.35002e-01
7.33000e+03 3.57962e-01
7.35000e+03 2.87309e-01
7.37000e+03 2.25142e-01
7.39000e+03 1.74289e-01
7.41000e+03 1.35157e-01
7.43000e+03 1.04600e-01
7.45000e+03 7.99448e-02
7.47000e+03 6.12236e-02
7.49000e+03 4.70365e-02
7.51000e+03 3.64256e-02
7.53000e+03 2.84934e-02
7.55000e+03 2.24616e-02
7.57000e+03 1.78737e-02
7.59000e+03 1.43115e-02
7.61000e+03 1.15754e-02
7.63000e+03 9.52214e-03
7.65000e+03 7.85408e-03
7.67000e+03 6.49704e-03
7.69000e+03 5.39364e-03
7.71000e+03 4.51118e-03
7.73000e+03 3.80022e-03
7.75000e+03 3.34766e-03
7.77000e+03 0.00000e+00
7.79000e+03 0.00000e+00
