# COMBO17-C17_U
# photon
# from FILTER.RES.DR34.latest
3.21000e+03 0.00000e+00
3.22000e+03 0.00000e+00
3.23000e+03 3.37998e-03
3.24000e+03 4.75735e-03
3.25000e+03 7.28539e-03
3.26000e+03 1.06514e-02
3.27000e+03 1.46938e-02
3.28000e+03 1.99455e-02
3.29000e+03 2.61702e-02
3.30000e+03 3.47731e-02
3.31000e+03 4.57098e-02
3.32000e+03 5.91367e-02
3.33000e+03 7.59971e-02
3.34000e+03 9.34996e-02
3.35000e+03 1.11506e-01
3.36000e+03 1.30134e-01
3.37000e+03 1.50765e-01
3.38000e+03 1.77966e-01
3.39000e+03 2.08188e-01
3.40000e+03 2.42970e-01
3.41000e+03 2.78083e-01
3.42000e+03 3.10544e-01
3.43000e+03 3.43060e-01
3.44000e+03 3.74206e-01
3.45000e+03 4.06878e-01
3.46000e+03 4.38637e-01
3.47000e+03 4.68965e-01
3.48000e+03 5.00621e-01
3.49000e+03 5.29817e-01
3.50000e+03 5.62247e-01
3.51000e+03 5.96336e-01
3.52000e+03 6.28671e-01
3.53000e+03 6.60937e-01
3.54000e+03 6.86715e-01
3.55000e+03 7.07177e-01
3.56000e+03 7.22138e-01
3.57000e+03 7.35645e-01
3.58000e+03 7.53509e-01
3.59000e+03 7.75868e-01
3.60000e+03 8.04230e-01
3.61000e+03 8.41130e-01
3.62000e+03 8.71075e-01
3.63000e+03 8.91343e-01
3.64000e+03 9.00826e-01
3.65000e+03 9.05627e-01
3.66000e+03 9.11712e-01
3.67000e+03 9.24777e-01
3.68000e+03 9.46977e-01
3.69000e+03 9.71310e-01
3.70000e+03 9.92235e-01
3.71000e+03 1.00000e+00
3.72000e+03 9.91064e-01
3.73000e+03 9.66395e-01
3.74000e+03 9.37174e-01
3.75000e+03 9.06891e-01
3.76000e+03 8.80101e-01
3.77000e+03 8.60997e-01
3.78000e+03 8.44292e-01
3.79000e+03 8.25116e-01
3.80000e+03 7.92541e-01
3.81000e+03 7.41168e-01
3.82000e+03 6.77133e-01
3.83000e+03 5.99419e-01
3.84000e+03 5.25372e-01
3.85000e+03 4.54580e-01
3.86000e+03 3.92270e-01
3.87000e+03 3.40910e-01
3.88000e+03 2.93962e-01
3.89000e+03 2.54263e-01
3.90000e+03 2.15230e-01
3.91000e+03 1.77800e-01
3.92000e+03 1.43648e-01
3.93000e+03 1.10108e-01
3.94000e+03 8.26938e-02
3.95000e+03 6.07117e-02
3.96000e+03 4.36650e-02
3.97000e+03 3.08805e-02
3.98000e+03 2.28343e-02
3.99000e+03 0.00000e+00
4.00000e+03 0.00000e+00
