# COMBO17-C17_V
# photon
# from FILTER.RES.DR34.latest
4.80000e+03 0.00000e+00
4.81500e+03 0.00000e+00
4.83000e+03 1.40848e-02
4.84500e+03 2.98763e-02
4.86000e+03 6.58627e-02
4.87500e+03 1.19900e-01
4.89000e+03 1.89819e-01
4.90500e+03 2.66146e-01
4.92000e+03 3.44931e-01
4.93500e+03 4.24084e-01
4.95000e+03 5.01973e-01
4.96500e+03 5.79207e-01
4.98000e+03 6.54166e-01
4.99500e+03 7.23942e-01
5.01000e+03 7.84579e-01
5.02500e+03 8.31941e-01
5.04000e+03 8.63351e-01
5.05500e+03 8.81325e-01
5.07000e+03 8.88976e-01
5.08500e+03 8.90225e-01
5.10000e+03 8.90555e-01
5.11500e+03 8.93879e-01
5.13000e+03 9.02215e-01
5.14500e+03 9.16068e-01
5.16000e+03 9.34194e-01
5.17500e+03 9.54934e-01
5.19000e+03 9.74463e-01
5.20500e+03 9.89569e-01
5.22000e+03 9.98397e-01
5.23500e+03 1.00000e+00
5.25000e+03 9.94810e-01
5.26500e+03 9.85438e-01
5.28000e+03 9.73644e-01
5.29500e+03 9.61279e-01
5.31000e+03 9.50768e-01
5.32500e+03 9.42987e-01
5.34000e+03 9.38453e-01
5.35500e+03 9.36259e-01
5.37000e+03 9.35739e-01
5.38500e+03 9.36324e-01
5.40000e+03 9.36940e-01
5.41500e+03 9.36800e-01
5.43000e+03 9.35580e-01
5.44500e+03 9.32563e-01
5.46000e+03 9.27791e-01
5.47500e+03 9.21439e-01
5.49000e+03 9.13563e-01
5.50500e+03 9.03811e-01
5.52000e+03 8.92571e-01
5.53500e+03 8.80362e-01
5.55000e+03 8.67178e-01
5.56500e+03 8.53662e-01
5.58000e+03 8.39559e-01
5.59500e+03 8.25163e-01
5.61000e+03 8.10479e-01
5.62500e+03 7.94736e-01
5.64000e+03 7.78155e-01
5.65500e+03 7.60116e-01
5.67000e+03 7.40432e-01
5.68500e+03 7.20001e-01
5.70000e+03 6.98384e-01
5.71500e+03 6.73844e-01
5.73000e+03 6.49221e-01
5.74500e+03 6.24173e-01
5.76000e+03 5.99615e-01
5.77500e+03 5.76060e-01
5.79000e+03 5.53278e-01
5.80500e+03 5.32776e-01
5.82000e+03 5.15796e-01
5.83500e+03 5.02595e-01
5.85000e+03 4.88230e-01
5.86500e+03 4.52923e-01
5.88000e+03 3.68573e-01
5.89500e+03 2.43851e-01
5.91000e+03 1.36149e-01
5.92500e+03 6.55473e-02
5.94000e+03 2.96321e-02
5.95500e+03 1.63095e-02
5.97000e+03 0.00000e+00
5.98500e+03 0.00000e+00
