# COSMOS-CFHT_filter_Ks
# photon
# from FILTER.RES.DR34.latest
1.93750e+04 0.00000e+00
1.94450e+04 0.00000e+00
1.95150e+04 4.44798e-03
1.95850e+04 5.62071e-03
1.96550e+04 1.67138e-02
1.97250e+04 5.46266e-02
1.97950e+04 1.53960e-01
1.98650e+04 3.52845e-01
1.99350e+04 6.18605e-01
2.00050e+04 4.63594e-01
2.00750e+04 4.48564e-01
2.01450e+04 4.78664e-01
2.02150e+04 7.14247e-01
2.02850e+04 9.18781e-01
2.03550e+04 9.55110e-01
2.04250e+04 9.38302e-01
2.04950e+04 8.07245e-01
2.05650e+04 7.04709e-01
2.06350e+04 7.66612e-01
2.07050e+04 8.13753e-01
2.07750e+04 9.22991e-01
2.08450e+04 9.55983e-01
2.09150e+04 9.72421e-01
2.09850e+04 9.82514e-01
2.10550e+04 9.89982e-01
2.11250e+04 9.89361e-01
2.11950e+04 9.88031e-01
2.12650e+04 9.88425e-01
2.13350e+04 9.99815e-01
2.14050e+04 1.00000e+00
2.14750e+04 9.88036e-01
2.15450e+04 9.84402e-01
2.16150e+04 9.77310e-01
2.16850e+04 9.85545e-01
2.17550e+04 9.73256e-01
2.18250e+04 9.62802e-01
2.18950e+04 9.66866e-01
2.19650e+04 9.36913e-01
2.20350e+04 9.26778e-01
2.21050e+04 9.50754e-01
2.21750e+04 9.34175e-01
2.22450e+04 9.30565e-01
2.23150e+04 9.31691e-01
2.23850e+04 9.28564e-01
2.24550e+04 9.18468e-01
2.25250e+04 9.15643e-01
2.25950e+04 8.91829e-01
2.26650e+04 8.86744e-01
2.27350e+04 8.73504e-01
2.28050e+04 8.86009e-01
2.28750e+04 8.81129e-01
2.29450e+04 8.82759e-01
2.30150e+04 8.44769e-01
2.30850e+04 7.87878e-01
2.31550e+04 5.44526e-01
2.32250e+04 3.07909e-01
2.32950e+04 1.46486e-01
2.33650e+04 6.43781e-02
2.34350e+04 3.06827e-02
2.35050e+04 0.00000e+00
2.35750e+04 0.00000e+00
