# COSMOS-CFHT_filter_i
# photon
# from FILTER.RES.DR34.latest
4.23000e+03 0.00000e+00
4.25500e+03 0.00000e+00
4.28000e+03 2.11089e-04
4.30500e+03 2.12964e-04
4.33000e+03 2.15544e-04
4.35500e+03 2.17232e-04
4.38000e+03 2.06708e-04
4.40500e+03 2.06684e-04
4.43000e+03 2.00658e-04
4.45500e+03 1.81492e-04
4.48000e+03 1.63646e-04
4.50500e+03 1.62561e-04
4.53000e+03 1.63759e-04
4.55500e+03 1.63910e-04
4.58000e+03 1.53593e-04
4.60500e+03 1.66176e-04
4.63000e+03 1.78211e-04
4.65500e+03 2.00846e-04
4.68000e+03 1.89850e-04
4.70500e+03 1.66519e-04
4.73000e+03 1.34243e-04
4.75500e+03 1.01944e-04
4.78000e+03 9.93751e-05
4.80500e+03 1.21675e-04
4.83000e+03 1.46186e-04
4.85500e+03 1.69704e-04
4.88000e+03 1.76236e-04
4.90500e+03 1.70876e-04
4.93000e+03 1.38429e-04
4.95500e+03 1.04939e-04
4.98000e+03 9.57482e-05
5.00500e+03 7.45117e-05
5.03000e+03 5.99738e-05
5.05500e+03 6.20240e-05
5.08000e+03 9.26922e-05
5.10500e+03 9.87389e-05
5.13000e+03 9.85281e-05
5.15500e+03 8.39584e-05
5.18000e+03 5.95825e-05
5.20500e+03 4.11902e-05
5.23000e+03 4.00474e-05
5.25500e+03 3.99770e-05
5.28000e+03 3.99081e-05
5.30500e+03 3.98392e-05
5.33000e+03 3.97729e-05
5.35500e+03 3.97139e-05
5.38000e+03 3.96380e-05
5.40500e+03 3.95380e-05
5.43000e+03 3.94383e-05
5.45500e+03 3.93512e-05
5.48000e+03 3.92545e-05
5.50500e+03 3.91498e-05
5.53000e+03 3.90382e-05
5.55500e+03 3.89247e-05
5.58000e+03 3.88070e-05
5.60500e+03 3.87024e-05
5.63000e+03 3.85879e-05
5.65500e+03 3.84704e-05
5.68000e+03 3.83684e-05
5.70500e+03 3.82613e-05
5.73000e+03 3.81570e-05
5.75500e+03 3.80653e-05
5.78000e+03 3.79696e-05
5.80500e+03 3.78764e-05
5.83000e+03 3.78243e-05
5.85500e+03 3.77808e-05
5.88000e+03 3.77496e-05
5.90500e+03 3.77163e-05
5.93000e+03 3.76813e-05
5.95500e+03 3.76499e-05
5.98000e+03 3.76160e-05
6.00500e+03 3.75940e-05
6.03000e+03 3.76070e-05
6.05500e+03 3.76123e-05
6.08000e+03 3.76147e-05
6.10500e+03 3.76070e-05
6.13000e+03 3.76087e-05
6.15500e+03 3.76037e-05
6.18000e+03 3.75919e-05
6.20500e+03 3.75690e-05
6.23000e+03 3.76376e-05
6.25500e+03 5.10828e-05
6.28000e+03 7.66850e-05
6.30500e+03 1.14429e-04
6.33000e+03 1.38023e-04
6.35500e+03 1.61545e-04
6.38000e+03 2.01920e-04
6.40500e+03 2.52963e-04
6.43000e+03 3.20867e-04
6.45500e+03 4.03985e-04
6.48000e+03 5.17940e-04
6.50500e+03 6.82709e-04
6.53000e+03 8.93265e-04
6.55500e+03 1.14875e-03
6.58000e+03 1.49392e-03
6.60500e+03 1.94407e-03
6.63000e+03 2.57011e-03
6.65500e+03 3.42398e-03
6.68000e+03 4.59461e-03
6.70500e+03 6.21117e-03
6.73000e+03 8.53396e-03
6.75500e+03 1.18823e-02
6.78000e+03 1.67263e-02
6.80500e+03 2.37570e-02
6.83000e+03 3.36674e-02
6.85500e+03 4.77111e-02
6.88000e+03 6.86350e-02
6.90500e+03 1.02503e-01
6.93000e+03 1.52970e-01
6.95500e+03 2.25473e-01
6.98000e+03 3.22442e-01
7.00500e+03 4.37928e-01
7.03000e+03 5.66829e-01
7.05500e+03 6.98905e-01
7.08000e+03 8.19995e-01
7.10500e+03 9.17936e-01
7.13000e+03 9.85906e-01
7.15500e+03 9.96587e-01
7.18000e+03 9.74195e-01
7.20500e+03 9.89285e-01
7.23000e+03 9.98021e-01
7.25500e+03 9.92076e-01
7.28000e+03 9.85187e-01
7.30500e+03 9.83597e-01
7.33000e+03 9.96925e-01
7.35500e+03 1.00000e+00
7.38000e+03 9.94613e-01
7.40500e+03 9.88904e-01
7.43000e+03 9.83188e-01
7.45500e+03 9.77404e-01
7.48000e+03 9.70478e-01
7.50500e+03 9.61968e-01
7.53000e+03 9.51596e-01
7.55500e+03 9.38910e-01
7.58000e+03 8.59958e-01
7.60500e+03 6.17605e-01
7.63000e+03 6.23343e-01
7.65500e+03 7.19665e-01
7.68000e+03 8.66102e-01
7.70500e+03 8.80634e-01
7.73000e+03 8.74770e-01
7.75500e+03 8.70727e-01
7.78000e+03 8.67546e-01
7.80500e+03 8.64204e-01
7.83000e+03 8.60796e-01
7.85500e+03 8.56373e-01
7.88000e+03 8.50648e-01
7.90500e+03 8.42808e-01
7.93000e+03 8.33137e-01
7.95500e+03 8.21661e-01
7.98000e+03 8.08306e-01
8.00500e+03 7.95081e-01
8.03000e+03 7.82717e-01
8.05500e+03 7.71384e-01
8.08000e+03 7.61318e-01
8.10500e+03 7.47625e-01
8.13000e+03 7.20662e-01
8.15500e+03 7.04200e-01
8.18000e+03 6.93399e-01
8.20500e+03 6.79805e-01
8.23000e+03 6.62362e-01
8.25500e+03 6.40442e-01
8.28000e+03 6.13176e-01
8.30500e+03 5.88367e-01
8.33000e+03 5.75538e-01
8.35500e+03 5.62385e-01
8.38000e+03 5.41261e-01
8.40500e+03 5.18025e-01
8.43000e+03 4.91965e-01
8.45500e+03 4.62351e-01
8.48000e+03 4.24351e-01
8.50500e+03 3.75089e-01
8.53000e+03 3.16703e-01
8.55500e+03 2.54908e-01
8.58000e+03 1.94825e-01
8.60500e+03 1.41643e-01
8.63000e+03 9.80880e-02
8.65500e+03 6.52803e-02
8.68000e+03 4.14934e-02
8.70500e+03 2.64956e-02
8.73000e+03 1.74545e-02
8.75500e+03 1.29735e-02
8.78000e+03 1.00348e-02
8.80500e+03 6.98475e-03
8.83000e+03 5.23830e-03
8.85500e+03 3.27741e-03
8.88000e+03 2.12590e-03
8.90500e+03 1.71670e-03
8.93000e+03 1.62993e-03
8.95500e+03 1.67869e-03
8.98000e+03 1.64123e-03
9.00500e+03 1.76194e-03
9.03000e+03 1.87008e-03
9.05500e+03 1.61994e-03
9.08000e+03 1.32343e-03
9.10500e+03 9.70750e-04
9.13000e+03 6.64083e-04
9.15500e+03 3.29039e-04
9.18000e+03 3.16241e-04
9.20500e+03 3.70090e-04
9.23000e+03 4.38756e-04
9.25500e+03 5.08556e-04
