# COSMOS-gabasch_H_cosmos
# photon
# from FILTER.RES.DR34.latest
1.47550e+04 0.00000e+00
1.48050e+04 0.00000e+00
1.48550e+04 3.57726e-03
1.49050e+04 7.63074e-03
1.49550e+04 2.09749e-02
1.50050e+04 5.31067e-02
1.50550e+04 1.24055e-01
1.51050e+04 2.91718e-01
1.51550e+04 5.97862e-01
1.52050e+04 8.55803e-01
1.52550e+04 9.53803e-01
1.53050e+04 9.72922e-01
1.53550e+04 9.87874e-01
1.54050e+04 1.00000e+00
1.54550e+04 9.89601e-01
1.55050e+04 9.74256e-01
1.55550e+04 9.56224e-01
1.56050e+04 9.39197e-01
1.56550e+04 9.26908e-01
1.57050e+04 8.95720e-01
1.57550e+04 8.87479e-01
1.58050e+04 9.10681e-01
1.58550e+04 9.53336e-01
1.59050e+04 9.89189e-01
1.59550e+04 9.97115e-01
1.60050e+04 9.59142e-01
1.60550e+04 9.04586e-01
1.61050e+04 8.98110e-01
1.61550e+04 8.98449e-01
1.62050e+04 8.74791e-01
1.62550e+04 8.51184e-01
1.63050e+04 8.27622e-01
1.63550e+04 8.16316e-01
1.64050e+04 8.11256e-01
1.64550e+04 8.25723e-01
1.65050e+04 8.38200e-01
1.65550e+04 8.75572e-01
1.66050e+04 9.10219e-01
1.66550e+04 9.17789e-01
1.67050e+04 9.40522e-01
1.67550e+04 9.61071e-01
1.68050e+04 9.43530e-01
1.68550e+04 9.35421e-01
1.69050e+04 9.14981e-01
1.69550e+04 8.95632e-01
1.70050e+04 8.75936e-01
1.70550e+04 8.57348e-01
1.71050e+04 8.43228e-01
1.71550e+04 8.44490e-01
1.72050e+04 8.48007e-01
1.72550e+04 8.36111e-01
1.73050e+04 8.44642e-01
1.73550e+04 8.32760e-01
1.74050e+04 8.52167e-01
1.74550e+04 8.35685e-01
1.75050e+04 8.16910e-01
1.75550e+04 8.26268e-01
1.76050e+04 8.28992e-01
1.76550e+04 7.78139e-01
1.77050e+04 7.76775e-01
1.77550e+04 6.93496e-01
1.78050e+04 5.48269e-01
1.78550e+04 3.47730e-01
1.79050e+04 1.86937e-01
1.79550e+04 7.67067e-02
1.80050e+04 3.15110e-02
1.80550e+04 1.24059e-02
1.81050e+04 6.94754e-03
1.81550e+04 0.00000e+00
1.82050e+04 0.00000e+00
