# DEEP2-VVDS-mouldB_cfh7403
# photon
# from FILTER.RES.DR34.latest
3.00000e+03 0.00000e+00
3.02000e+03 0.00000e+00
3.04000e+03 0.00000e+00
3.06000e+03 0.00000e+00
3.08000e+03 0.00000e+00
3.10000e+03 0.00000e+00
3.12000e+03 0.00000e+00
3.14000e+03 0.00000e+00
3.16000e+03 0.00000e+00
3.18000e+03 0.00000e+00
3.20000e+03 0.00000e+00
3.22000e+03 0.00000e+00
3.24000e+03 0.00000e+00
3.26000e+03 0.00000e+00
3.28000e+03 0.00000e+00
3.30000e+03 0.00000e+00
3.32000e+03 0.00000e+00
3.34000e+03 0.00000e+00
3.36000e+03 0.00000e+00
3.38000e+03 0.00000e+00
3.40000e+03 0.00000e+00
3.42000e+03 0.00000e+00
3.44000e+03 0.00000e+00
3.46000e+03 0.00000e+00
3.48000e+03 0.00000e+00
3.50000e+03 0.00000e+00
3.52000e+03 0.00000e+00
3.54000e+03 0.00000e+00
3.56000e+03 0.00000e+00
3.58000e+03 0.00000e+00
3.60000e+03 0.00000e+00
3.62000e+03 3.37022e-05
3.64000e+03 1.01492e-04
3.66000e+03 3.50895e-04
3.68000e+03 1.18151e-03
3.70000e+03 4.75446e-03
3.72000e+03 1.89704e-02
3.74000e+03 5.71691e-02
3.76000e+03 1.30509e-01
3.78000e+03 2.42783e-01
3.80000e+03 3.80131e-01
3.82000e+03 5.16860e-01
3.84000e+03 6.31343e-01
3.86000e+03 7.10484e-01
3.88000e+03 7.59203e-01
3.90000e+03 7.89937e-01
3.92000e+03 8.12653e-01
3.94000e+03 8.32663e-01
3.96000e+03 8.49922e-01
3.98000e+03 8.64823e-01
4.00000e+03 8.78305e-01
4.02000e+03 8.87945e-01
4.04000e+03 8.97347e-01
4.06000e+03 9.05801e-01
4.08000e+03 9.15182e-01
4.10000e+03 9.25624e-01
4.12000e+03 9.34997e-01
4.14000e+03 9.44145e-01
4.16000e+03 9.51164e-01
4.18000e+03 9.56939e-01
4.20000e+03 9.62240e-01
4.22000e+03 9.67025e-01
4.24000e+03 9.72174e-01
4.26000e+03 9.77038e-01
4.28000e+03 9.82714e-01
4.30000e+03 9.88386e-01
4.32000e+03 9.93711e-01
4.34000e+03 9.98138e-01
4.36000e+03 9.99955e-01
4.38000e+03 1.00000e+00
4.40000e+03 9.99605e-01
4.42000e+03 9.99203e-01
4.44000e+03 9.98865e-01
4.46000e+03 9.98196e-01
4.48000e+03 9.97101e-01
4.50000e+03 9.96458e-01
4.52000e+03 9.96974e-01
4.54000e+03 9.97952e-01
4.56000e+03 9.97899e-01
4.58000e+03 9.95950e-01
4.60000e+03 9.92634e-01
4.62000e+03 9.90962e-01
4.64000e+03 9.91582e-01
4.66000e+03 9.90593e-01
4.68000e+03 9.83306e-01
4.70000e+03 9.66337e-01
4.72000e+03 9.37663e-01
4.74000e+03 8.92378e-01
4.76000e+03 8.18680e-01
4.78000e+03 7.02759e-01
4.80000e+03 5.46997e-01
4.82000e+03 3.73455e-01
