# DEEP2-VVDS-mouldI_cfh7802
# photon
# from FILTER.RES.DR34.latest
6.89000e+03 0.00000e+00
6.91500e+03 0.00000e+00
6.94000e+03 9.32735e-03
6.96500e+03 1.93956e-02
6.99000e+03 4.35632e-02
7.01500e+03 8.58841e-02
7.04000e+03 1.50337e-01
7.06500e+03 2.35964e-01
7.09000e+03 3.36798e-01
7.11500e+03 4.42726e-01
7.14000e+03 5.40891e-01
7.16500e+03 6.07436e-01
7.19000e+03 6.69839e-01
7.21500e+03 7.44446e-01
7.24000e+03 8.00878e-01
7.26500e+03 8.45122e-01
7.29000e+03 8.79940e-01
7.31500e+03 9.15270e-01
7.34000e+03 9.48177e-01
7.36500e+03 9.62841e-01
7.39000e+03 9.73050e-01
7.41500e+03 9.82860e-01
7.44000e+03 9.91968e-01
7.46500e+03 9.98310e-01
7.49000e+03 1.00000e+00
7.51500e+03 9.96030e-01
7.54000e+03 9.87799e-01
7.56500e+03 9.71562e-01
7.59000e+03 7.93579e-01
7.61500e+03 6.76814e-01
7.64000e+03 6.99392e-01
7.66500e+03 8.64798e-01
7.69000e+03 9.68139e-01
7.71500e+03 9.67637e-01
7.74000e+03 9.61971e-01
7.76500e+03 9.54714e-01
7.79000e+03 9.47919e-01
7.81500e+03 9.43992e-01
7.84000e+03 9.43643e-01
7.86500e+03 9.45770e-01
7.89000e+03 9.48030e-01
7.91500e+03 9.47612e-01
7.94000e+03 9.43412e-01
7.96500e+03 9.35813e-01
7.99000e+03 9.27310e-01
8.01500e+03 9.20048e-01
8.04000e+03 9.15517e-01
8.06500e+03 9.14581e-01
8.09000e+03 9.16624e-01
8.11500e+03 9.05654e-01
8.14000e+03 8.86150e-01
8.16500e+03 8.78684e-01
8.19000e+03 8.69765e-01
8.21500e+03 8.57808e-01
8.24000e+03 8.46433e-01
8.26500e+03 8.39584e-01
8.29000e+03 8.36255e-01
8.31500e+03 8.43207e-01
8.34000e+03 8.57755e-01
8.36500e+03 8.60847e-01
8.39000e+03 8.62456e-01
8.41500e+03 8.63973e-01
8.44000e+03 8.69781e-01
8.46500e+03 8.76209e-01
8.49000e+03 8.81461e-01
8.51500e+03 8.79497e-01
8.54000e+03 8.68728e-01
8.56500e+03 8.47857e-01
8.59000e+03 8.30048e-01
8.61500e+03 8.22666e-01
8.64000e+03 8.24968e-01
8.66500e+03 8.32303e-01
8.69000e+03 8.43986e-01
8.71500e+03 8.56746e-01
8.74000e+03 8.62202e-01
8.76500e+03 8.61264e-01
8.79000e+03 8.50687e-01
8.81500e+03 8.37901e-01
8.84000e+03 8.24760e-01
8.86500e+03 8.16593e-01
8.89000e+03 8.14792e-01
8.91500e+03 8.18269e-01
8.94000e+03 8.16115e-01
8.96500e+03 7.94093e-01
8.99000e+03 7.52333e-01
9.01500e+03 7.53388e-01
9.04000e+03 7.92649e-01
9.06500e+03 8.07220e-01
9.09000e+03 7.81957e-01
9.11500e+03 7.96863e-01
9.14000e+03 7.87200e-01
9.16500e+03 7.94047e-01
9.19000e+03 8.08379e-01
9.21500e+03 8.14589e-01
9.24000e+03 7.67682e-01
9.26500e+03 6.61092e-01
9.29000e+03 4.94074e-01
9.31500e+03 2.87272e-01
9.34000e+03 1.36202e-01
9.36500e+03 5.95370e-02
9.39000e+03 2.67912e-02
9.41500e+03 1.23052e-02
9.44000e+03 4.58827e-03
9.46500e+03 1.88470e-03
9.49000e+03 9.82588e-04
9.51500e+03 8.06383e-04
9.54000e+03 4.41796e-04
9.56500e+03 2.52034e-05
9.59000e+03 0.00000e+00
9.61500e+03 2.40536e-05
9.64000e+03 3.98291e-04
9.66500e+03 6.06298e-04
9.69000e+03 5.55048e-04
9.71500e+03 5.33131e-04
9.74000e+03 0.00000e+00
9.76500e+03 0.00000e+00
