# DEEP2-VVDS-mouldR_cfh7603
# photon
# from FILTER.RES.DR34.latest
5.66000e+03 0.00000e+00
5.68000e+03 0.00000e+00
5.70000e+03 1.23541e-02
5.72000e+03 2.07427e-02
5.74000e+03 3.69424e-02
5.76000e+03 5.97523e-02
5.78000e+03 8.93083e-02
5.80000e+03 1.25299e-01
5.82000e+03 1.67153e-01
5.84000e+03 2.14203e-01
5.86000e+03 2.65829e-01
5.88000e+03 3.21541e-01
5.90000e+03 3.80416e-01
5.92000e+03 4.40924e-01
5.94000e+03 5.00893e-01
5.96000e+03 5.58043e-01
5.98000e+03 6.10307e-01
6.00000e+03 6.56462e-01
6.02000e+03 6.96681e-01
6.04000e+03 7.31660e-01
6.06000e+03 7.63284e-01
6.08000e+03 7.93760e-01
6.10000e+03 8.24543e-01
6.12000e+03 8.55617e-01
6.14000e+03 8.86331e-01
6.16000e+03 9.15074e-01
6.18000e+03 9.39614e-01
6.20000e+03 9.57862e-01
6.22000e+03 9.68356e-01
6.24000e+03 9.72122e-01
6.26000e+03 9.71414e-01
6.28000e+03 9.69223e-01
6.30000e+03 9.68208e-01
6.32000e+03 9.69980e-01
6.34000e+03 9.74936e-01
6.36000e+03 9.82099e-01
6.38000e+03 9.89636e-01
6.40000e+03 9.95487e-01
6.42000e+03 9.97994e-01
6.44000e+03 9.96508e-01
6.46000e+03 9.91480e-01
6.48000e+03 9.83956e-01
6.50000e+03 9.75236e-01
6.52000e+03 9.66101e-01
6.54000e+03 9.57574e-01
6.56000e+03 9.50257e-01
6.58000e+03 9.44607e-01
6.60000e+03 9.41499e-01
6.62000e+03 9.41919e-01
6.64000e+03 9.46280e-01
6.66000e+03 9.54182e-01
6.68000e+03 9.64647e-01
6.70000e+03 9.76348e-01
6.72000e+03 9.87457e-01
6.74000e+03 9.96043e-01
6.76000e+03 1.00000e+00
6.78000e+03 9.97659e-01
6.80000e+03 9.88987e-01
6.82000e+03 9.72979e-01
6.84000e+03 9.39899e-01
6.86000e+03 9.04925e-01
6.88000e+03 8.76258e-01
6.90000e+03 8.73874e-01
6.92000e+03 8.78916e-01
6.94000e+03 8.87998e-01
6.96000e+03 9.01079e-01
6.98000e+03 9.16068e-01
7.00000e+03 9.24468e-01
7.02000e+03 9.30521e-01
7.04000e+03 9.34177e-01
7.06000e+03 9.34477e-01
7.08000e+03 9.29057e-01
7.10000e+03 9.12114e-01
7.12000e+03 8.75542e-01
7.14000e+03 8.10179e-01
7.16000e+03 7.02473e-01
7.18000e+03 5.83625e-01
7.20000e+03 4.81821e-01
7.22000e+03 3.79861e-01
7.24000e+03 2.76254e-01
7.26000e+03 1.81830e-01
7.28000e+03 1.05201e-01
7.30000e+03 5.19980e-02
7.32000e+03 2.68683e-02
7.34000e+03 0.00000e+00
7.36000e+03 0.00000e+00
