# DEEP2-VVDS-mouldV_cfh7503
# photon
# from FILTER.RES.DR34.latest
2.98000e+03 0.00000e+00
3.00000e+03 0.00000e+00
3.02000e+03 6.29096e-06
3.04000e+03 1.79440e-05
3.06000e+03 4.39552e-05
3.08000e+03 9.15130e-05
3.10000e+03 1.67132e-04
3.12000e+03 2.71297e-04
3.14000e+03 3.82400e-04
3.16000e+03 5.23280e-04
3.18000e+03 6.33686e-04
3.20000e+03 7.14494e-04
3.22000e+03 7.70613e-04
3.24000e+03 8.28333e-04
3.26000e+03 8.73694e-04
3.28000e+03 9.05661e-04
3.30000e+03 9.47216e-04
3.32000e+03 9.36328e-04
3.34000e+03 9.20976e-04
3.36000e+03 8.80414e-04
3.38000e+03 8.23555e-04
3.40000e+03 7.65826e-04
3.42000e+03 7.15442e-04
3.44000e+03 6.86012e-04
3.46000e+03 6.81672e-04
3.48000e+03 7.35661e-04
3.50000e+03 8.01884e-04
3.52000e+03 8.72799e-04
3.54000e+03 9.44292e-04
3.56000e+03 1.00500e-03
3.58000e+03 1.05485e-03
3.60000e+03 1.09360e-03
3.62000e+03 1.13216e-03
3.64000e+03 1.15943e-03
3.66000e+03 1.19835e-03
3.68000e+03 1.23744e-03
3.70000e+03 1.25350e-03
3.72000e+03 1.27812e-03
3.74000e+03 1.29118e-03
3.76000e+03 1.35078e-03
3.78000e+03 1.38715e-03
3.80000e+03 1.42359e-03
3.82000e+03 1.46139e-03
3.84000e+03 1.48751e-03
3.86000e+03 1.50198e-03
3.88000e+03 1.50468e-03
3.90000e+03 1.50738e-03
3.92000e+03 1.51287e-03
3.94000e+03 1.54204e-03
3.96000e+03 1.55940e-03
3.98000e+03 1.58871e-03
4.00000e+03 1.60613e-03
4.02000e+03 1.60776e-03
4.04000e+03 1.57335e-03
4.06000e+03 1.52683e-03
4.08000e+03 1.45614e-03
4.10000e+03 1.39729e-03
4.12000e+03 1.39736e-03
4.14000e+03 1.39738e-03
4.16000e+03 1.40948e-03
4.18000e+03 1.39745e-03
4.20000e+03 1.36133e-03
4.22000e+03 1.30005e-03
4.24000e+03 1.25088e-03
4.26000e+03 1.17777e-03
4.28000e+03 1.11679e-03
4.30000e+03 1.10390e-03
4.32000e+03 1.13892e-03
4.34000e+03 1.17389e-03
4.36000e+03 1.18487e-03
4.38000e+03 1.20778e-03
4.40000e+03 1.20677e-03
4.42000e+03 1.24148e-03
4.44000e+03 1.27613e-03
4.46000e+03 1.28689e-03
4.48000e+03 1.28573e-03
4.50000e+03 1.27270e-03
4.52000e+03 1.24710e-03
4.54000e+03 1.28090e-03
4.56000e+03 1.30275e-03
4.58000e+03 1.30091e-03
4.60000e+03 1.29908e-03
4.62000e+03 1.34386e-03
4.64000e+03 1.68266e-03
4.66000e+03 2.76024e-03
4.68000e+03 5.74511e-03
4.70000e+03 1.25581e-02
4.72000e+03 2.61195e-02
4.74000e+03 4.99619e-02
4.76000e+03 8.68952e-02
4.78000e+03 1.38068e-01
4.80000e+03 2.02128e-01
4.82000e+03 2.76065e-01
4.84000e+03 3.55740e-01
4.86000e+03 4.36371e-01
4.88000e+03 5.13344e-01
4.90000e+03 5.82161e-01
4.92000e+03 6.38885e-01
4.94000e+03 6.82012e-01
4.96000e+03 7.12077e-01
4.98000e+03 7.31650e-01
5.00000e+03 7.45195e-01
5.02000e+03 7.57630e-01
5.04000e+03 7.72926e-01
5.06000e+03 7.92441e-01
5.08000e+03 8.15158e-01
5.10000e+03 8.38869e-01
5.12000e+03 8.61979e-01
5.14000e+03 8.84279e-01
5.16000e+03 9.06526e-01
5.18000e+03 9.29038e-01
5.20000e+03 9.51409e-01
5.22000e+03 9.71951e-01
5.24000e+03 9.88096e-01
5.26000e+03 9.98061e-01
5.28000e+03 1.00000e+00
5.30000e+03 9.95395e-01
5.32000e+03 9.87127e-01
5.34000e+03 9.79190e-01
5.36000e+03 9.75970e-01
5.38000e+03 9.78129e-01
5.40000e+03 9.83349e-01
5.42000e+03 9.87244e-01
5.44000e+03 9.87245e-01
5.46000e+03 9.83317e-01
5.48000e+03 9.78504e-01
5.50000e+03 9.75533e-01
5.52000e+03 9.74979e-01
5.54000e+03 9.74577e-01
5.56000e+03 9.70505e-01
5.58000e+03 9.60261e-01
5.60000e+03 9.43551e-01
5.62000e+03 9.22866e-01
5.64000e+03 9.02333e-01
5.66000e+03 8.85825e-01
5.68000e+03 8.75892e-01
5.70000e+03 8.72605e-01
5.72000e+03 8.73136e-01
5.74000e+03 8.71955e-01
5.76000e+03 8.64703e-01
5.78000e+03 8.44718e-01
5.80000e+03 8.02464e-01
5.82000e+03 7.30437e-01
5.84000e+03 6.17258e-01
5.86000e+03 4.72149e-01
5.88000e+03 3.17370e-01
5.90000e+03 1.79546e-01
5.92000e+03 8.40984e-02
5.94000e+03 3.08425e-02
5.96000e+03 8.65466e-03
5.98000e+03 2.94777e-03
6.00000e+03 1.39774e-03
6.02000e+03 8.20122e-04
6.04000e+03 5.85136e-04
6.06000e+03 4.87072e-04
6.08000e+03 4.28147e-04
6.10000e+03 3.88797e-04
6.12000e+03 3.29963e-04
6.14000e+03 2.81005e-04
6.16000e+03 2.51550e-04
6.18000e+03 2.22185e-04
6.20000e+03 2.21848e-04
6.22000e+03 2.21329e-04
6.24000e+03 2.20818e-04
6.26000e+03 2.20307e-04
6.28000e+03 2.00689e-04
6.30000e+03 1.90694e-04
6.32000e+03 1.61722e-04
6.34000e+03 1.42371e-04
6.36000e+03 1.32580e-04
6.38000e+03 1.32280e-04
6.40000e+03 1.41411e-04
6.42000e+03 1.41095e-04
6.44000e+03 1.59551e-04
6.46000e+03 1.40469e-04
6.48000e+03 1.40159e-04
6.50000e+03 1.30527e-04
6.52000e+03 1.11575e-04
6.54000e+03 1.01999e-04
6.56000e+03 8.32279e-05
6.58000e+03 7.37807e-05
6.60000e+03 8.27800e-05
6.62000e+03 1.00904e-04
6.64000e+03 1.09783e-04
6.66000e+03 1.09491e-04
6.68000e+03 1.00100e-04
6.70000e+03 8.16836e-05
6.72000e+03 7.24178e-05
6.74000e+03 7.22268e-05
6.76000e+03 7.20384e-05
6.78000e+03 7.18495e-05
6.80000e+03 8.06204e-05
6.82000e+03 8.04113e-05
6.84000e+03 7.85631e-05
6.86000e+03 7.67206e-05
6.88000e+03 7.48821e-05
6.90000e+03 6.72729e-05
6.92000e+03 6.79784e-05
6.94000e+03 5.15077e-05
6.96000e+03 5.20273e-05
6.98000e+03 5.25424e-05
7.00000e+03 4.36945e-05
7.02000e+03 5.23017e-05
7.04000e+03 4.34756e-05
7.06000e+03 5.20400e-05
7.08000e+03 5.19106e-05
7.10000e+03 4.31511e-05
7.12000e+03 4.30444e-05
7.14000e+03 2.57628e-05
7.16000e+03 2.48219e-05
7.18000e+03 2.38804e-05
7.20000e+03 2.41924e-05
7.22000e+03 2.45018e-05
7.24000e+03 2.44819e-05
7.26000e+03 2.44621e-05
7.28000e+03 2.44427e-05
7.30000e+03 2.44234e-05
7.32000e+03 2.47632e-05
7.34000e+03 2.51002e-05
7.36000e+03 2.50515e-05
7.38000e+03 2.49873e-05
7.40000e+03 2.49237e-05
7.42000e+03 2.48608e-05
7.44000e+03 2.47976e-05
7.46000e+03 2.47353e-05
7.48000e+03 2.46728e-05
7.50000e+03 2.46106e-05
7.52000e+03 2.45488e-05
7.54000e+03 2.44878e-05
7.56000e+03 2.44268e-05
7.58000e+03 2.38146e-05
7.60000e+03 1.59528e-05
7.62000e+03 1.16745e-05
7.64000e+03 1.11852e-05
7.66000e+03 1.38449e-05
7.68000e+03 0.00000e+00
7.70000e+03 0.00000e+00
