# ESO-NTT-SOFI_H
# photon
# from FILTER.RES.DR34.latest
1.44750e+04 0.00000e+00
1.45250e+04 0.00000e+00
1.45750e+04 7.37803e-03
1.46250e+04 9.27988e-03
1.46750e+04 1.04966e-02
1.47250e+04 1.26828e-02
1.47750e+04 2.49546e-02
1.48250e+04 4.37165e-02
1.48750e+04 7.79850e-02
1.49250e+04 1.47264e-01
1.49750e+04 2.53042e-01
1.50250e+04 4.01553e-01
1.50750e+04 5.46669e-01
1.51250e+04 6.89665e-01
1.51750e+04 7.92271e-01
1.52250e+04 8.63932e-01
1.52750e+04 9.03221e-01
1.53250e+04 9.20836e-01
1.53750e+04 9.46181e-01
1.54250e+04 9.63179e-01
1.54750e+04 9.83166e-01
1.55250e+04 9.89323e-01
1.55750e+04 1.00000e+00
1.56250e+04 9.99292e-01
1.56750e+04 9.93522e-01
1.57250e+04 9.47289e-01
1.57750e+04 9.48424e-01
1.58250e+04 9.50734e-01
1.58750e+04 9.80089e-01
1.59250e+04 9.88113e-01
1.59750e+04 9.85740e-01
1.60250e+04 9.26985e-01
1.60750e+04 9.40079e-01
1.61250e+04 9.55588e-01
1.61750e+04 9.85733e-01
1.62250e+04 9.93426e-01
1.62750e+04 9.97745e-01
1.63250e+04 9.90700e-01
1.63750e+04 9.90715e-01
1.64250e+04 9.80773e-01
1.64750e+04 9.89243e-01
1.65250e+04 9.78167e-01
1.65750e+04 9.85927e-01
1.66250e+04 9.79033e-01
1.66750e+04 9.39828e-01
1.67250e+04 9.69129e-01
1.67750e+04 9.64911e-01
1.68250e+04 9.62328e-01
1.68750e+04 9.81294e-01
1.69250e+04 9.72515e-01
1.69750e+04 9.78058e-01
1.70250e+04 9.66564e-01
1.70750e+04 9.51694e-01
1.71250e+04 9.58080e-01
1.71750e+04 9.54118e-01
1.72250e+04 9.49565e-01
1.72750e+04 9.35108e-01
1.73250e+04 9.16457e-01
1.73750e+04 9.12276e-01
1.74250e+04 9.05240e-01
1.74750e+04 8.60162e-01
1.75250e+04 8.91256e-01
1.75750e+04 8.81961e-01
1.76250e+04 8.96998e-01
1.76750e+04 8.20281e-01
1.77250e+04 8.53011e-01
1.77750e+04 7.64624e-01
1.78250e+04 7.59754e-01
1.78750e+04 7.13253e-01
1.79250e+04 6.66745e-01
1.79750e+04 4.72784e-01
1.80250e+04 2.46717e-01
1.80750e+04 1.43635e-01
1.81250e+04 7.54694e-02
1.81750e+04 4.15075e-02
1.82250e+04 1.82798e-02
1.82750e+04 2.34494e-02
1.83250e+04 0.00000e+00
1.83750e+04 0.00000e+00
