# ESO-NTT-SOFI_Js
# photon
# from FILTER.RES.DR34.latest
1.09600e+04 0.00000e+00
1.10000e+04 0.00000e+00
1.10400e+04 5.29012e-03
1.10800e+04 6.00676e-03
1.11200e+04 7.22907e-03
1.11600e+04 7.26361e-03
1.12000e+04 6.64791e-03
1.12400e+04 6.59874e-03
1.12800e+04 7.54454e-03
1.13200e+04 8.97901e-03
1.13600e+04 8.03353e-03
1.14000e+04 1.28441e-02
1.14400e+04 1.44117e-02
1.14800e+04 1.64227e-02
1.15200e+04 2.64553e-02
1.15600e+04 4.48519e-02
1.16000e+04 8.91681e-02
1.16400e+04 2.08521e-01
1.16800e+04 4.25500e-01
1.17200e+04 7.34830e-01
1.17600e+04 8.95821e-01
1.18000e+04 8.79572e-01
1.18400e+04 8.19291e-01
1.18800e+04 8.52537e-01
1.19200e+04 8.82604e-01
1.19600e+04 9.23328e-01
1.20000e+04 9.32238e-01
1.20400e+04 9.32824e-01
1.20800e+04 9.26189e-01
1.21200e+04 9.19391e-01
1.21600e+04 9.16511e-01
1.22000e+04 9.41206e-01
1.22400e+04 9.41850e-01
1.22800e+04 9.67117e-01
1.23200e+04 9.77554e-01
1.23600e+04 9.67580e-01
1.24000e+04 9.71567e-01
1.24400e+04 9.73803e-01
1.24800e+04 9.74491e-01
1.25200e+04 9.91006e-01
1.25600e+04 9.96473e-01
1.26000e+04 9.74251e-01
1.26400e+04 9.32258e-01
1.26800e+04 9.16661e-01
1.27200e+04 8.83673e-01
1.27600e+04 9.63488e-01
1.28000e+04 9.92641e-01
1.28400e+04 1.00000e+00
1.28800e+04 9.87769e-01
1.29200e+04 9.71209e-01
1.29600e+04 9.61821e-01
1.30000e+04 9.52621e-01
1.30400e+04 9.44118e-01
1.30800e+04 9.28993e-01
1.31200e+04 9.08236e-01
1.31600e+04 8.87478e-01
1.32000e+04 8.61396e-01
1.32400e+04 7.85678e-01
1.32800e+04 6.11928e-01
1.33200e+04 3.11560e-01
1.33600e+04 1.38472e-01
1.34000e+04 6.56299e-02
1.34400e+04 3.08760e-02
1.34800e+04 1.47641e-02
1.35200e+04 6.86203e-03
1.35600e+04 0.00000e+00
1.36000e+04 0.00000e+00
