# ESO-NTT-SOFI_Ks
# photon
# from FILTER.RES.DR34.latest
1.92650e+04 0.00000e+00
1.93350e+04 0.00000e+00
1.94050e+04 3.72834e-04
1.94750e+04 1.19325e-03
1.95450e+04 9.75436e-04
1.96150e+04 1.99566e-03
1.96850e+04 3.34729e-03
1.97550e+04 7.11994e-03
1.98250e+04 1.28429e-02
1.98950e+04 2.29601e-02
1.99650e+04 3.60237e-02
2.00350e+04 2.10859e-02
2.01050e+04 5.51868e-02
2.01750e+04 1.13236e-01
2.02450e+04 3.22704e-01
2.03150e+04 6.10775e-01
2.03850e+04 7.64689e-01
2.04550e+04 7.97862e-01
2.05250e+04 6.31195e-01
2.05950e+04 6.36497e-01
2.06650e+04 6.47140e-01
2.07350e+04 7.50017e-01
2.08050e+04 8.79112e-01
2.08750e+04 8.98371e-01
2.09450e+04 9.46164e-01
2.10150e+04 9.71488e-01
2.10850e+04 9.76414e-01
2.11550e+04 9.78112e-01
2.12250e+04 9.77957e-01
2.12950e+04 9.82594e-01
2.13650e+04 9.95744e-01
2.14350e+04 1.00000e+00
2.15050e+04 9.93952e-01
2.15750e+04 9.94888e-01
2.16450e+04 9.88963e-01
2.17150e+04 9.97643e-01
2.17850e+04 9.92359e-01
2.18550e+04 9.83228e-01
2.19250e+04 9.78774e-01
2.19950e+04 9.30002e-01
2.20650e+04 9.25249e-01
2.21350e+04 9.72057e-01
2.22050e+04 9.66899e-01
2.22750e+04 9.72849e-01
2.23450e+04 9.55861e-01
2.24150e+04 9.52587e-01
2.24850e+04 9.42039e-01
2.25550e+04 9.24311e-01
2.26250e+04 9.29987e-01
2.26950e+04 9.40831e-01
2.27650e+04 9.04270e-01
2.28350e+04 8.51176e-01
2.29050e+04 6.88757e-01
2.29750e+04 4.86100e-01
2.30450e+04 3.21545e-01
2.31150e+04 2.16825e-01
2.31850e+04 1.17574e-01
2.32550e+04 7.40288e-02
2.33250e+04 4.28416e-02
2.33950e+04 2.31597e-02
2.34650e+04 1.31424e-02
2.35350e+04 7.32296e-03
2.36050e+04 4.92437e-03
2.36750e+04 2.58386e-03
2.37450e+04 2.71182e-03
2.38150e+04 0.00000e+00
2.38850e+04 0.00000e+00
