# ESO-VIMOS-R
# photon
# from FILTER.RES.DR34.latest
5.19000e+03 0.00000e+00
5.21000e+03 0.00000e+00
5.23000e+03 5.23993e-04
5.25000e+03 5.89089e-04
5.27000e+03 6.24688e-04
5.29000e+03 6.10650e-04
5.31000e+03 5.58031e-04
5.33000e+03 4.61837e-04
5.35000e+03 5.89484e-04
5.37000e+03 5.44798e-04
5.39000e+03 5.31389e-04
5.41000e+03 6.00803e-04
5.43000e+03 6.25243e-04
5.45000e+03 5.92401e-04
5.47000e+03 5.87658e-04
5.49000e+03 4.90688e-04
5.51000e+03 6.05887e-04
5.53000e+03 6.68554e-04
5.55000e+03 6.95251e-04
5.57000e+03 1.46001e-03
5.59000e+03 4.14976e-03
5.61000e+03 1.14360e-02
5.63000e+03 2.74927e-02
5.65000e+03 5.39636e-02
5.67000e+03 9.43064e-02
5.69000e+03 1.50676e-01
5.71000e+03 2.19683e-01
5.73000e+03 2.95090e-01
5.75000e+03 3.72556e-01
5.77000e+03 4.48387e-01
5.79000e+03 5.20541e-01
5.81000e+03 5.87723e-01
5.83000e+03 6.48660e-01
5.85000e+03 7.03496e-01
5.87000e+03 7.51703e-01
5.89000e+03 7.93765e-01
5.91000e+03 8.30151e-01
5.93000e+03 8.61226e-01
5.95000e+03 8.87526e-01
5.97000e+03 9.09799e-01
5.99000e+03 9.28212e-01
6.01000e+03 9.43766e-01
6.03000e+03 9.56473e-01
6.05000e+03 9.66814e-01
6.07000e+03 9.75362e-01
6.09000e+03 9.82246e-01
6.11000e+03 9.87590e-01
6.13000e+03 9.91842e-01
6.15000e+03 9.95048e-01
6.17000e+03 9.97453e-01
6.19000e+03 9.99025e-01
6.21000e+03 9.99805e-01
6.23000e+03 1.00000e+00
6.25000e+03 9.99815e-01
6.27000e+03 9.98904e-01
6.29000e+03 9.97811e-01
6.31000e+03 9.96136e-01
6.33000e+03 9.94465e-01
6.35000e+03 9.92338e-01
6.37000e+03 9.90310e-01
6.39000e+03 9.87914e-01
6.41000e+03 9.85799e-01
6.43000e+03 9.83700e-01
6.45000e+03 9.81421e-01
6.47000e+03 9.79313e-01
6.49000e+03 9.77455e-01
6.51000e+03 9.75833e-01
6.53000e+03 9.74098e-01
6.55000e+03 9.72504e-01
6.57000e+03 9.70947e-01
6.59000e+03 9.69593e-01
6.61000e+03 9.67722e-01
6.63000e+03 9.65732e-01
6.65000e+03 9.63913e-01
6.67000e+03 9.61521e-01
6.69000e+03 9.58754e-01
6.71000e+03 9.55856e-01
6.73000e+03 9.52669e-01
6.75000e+03 9.49000e-01
6.77000e+03 9.45008e-01
6.79000e+03 9.40993e-01
6.81000e+03 9.36610e-01
6.83000e+03 9.32442e-01
6.85000e+03 9.28433e-01
6.87000e+03 9.24437e-01
6.89000e+03 9.20924e-01
6.91000e+03 9.17343e-01
6.93000e+03 9.13900e-01
6.95000e+03 9.09903e-01
6.97000e+03 9.04843e-01
6.99000e+03 8.97474e-01
7.01000e+03 8.85992e-01
7.03000e+03 8.68337e-01
7.05000e+03 8.40869e-01
7.07000e+03 7.99828e-01
7.09000e+03 7.38998e-01
7.11000e+03 6.51452e-01
7.13000e+03 5.27636e-01
7.15000e+03 3.58648e-01
7.17000e+03 1.88652e-01
7.19000e+03 6.77731e-02
7.21000e+03 2.45689e-02
7.23000e+03 1.05444e-02
7.25000e+03 4.98907e-03
7.27000e+03 3.07118e-03
7.29000e+03 1.85479e-03
7.31000e+03 1.33746e-03
7.33000e+03 8.67698e-04
7.35000e+03 8.33565e-04
7.37000e+03 8.55870e-04
