# ESO-fors1_b_bess
# photon
# from FILTER.RES.DR34.latest
3.41500e+03 0.00000e+00
3.42500e+03 0.00000e+00
3.43500e+03 9.38306e-04
3.44500e+03 9.26275e-04
3.45500e+03 8.99981e-04
3.46500e+03 8.60730e-04
3.47500e+03 8.04304e-04
3.48500e+03 7.27517e-04
3.49500e+03 6.45113e-04
3.50500e+03 1.01018e-03
3.51500e+03 1.92985e-03
3.52500e+03 2.96173e-03
3.53500e+03 4.09620e-03
3.54500e+03 5.34608e-03
3.55500e+03 6.71855e-03
3.56500e+03 8.21903e-03
3.57500e+03 9.85447e-03
3.58500e+03 1.16342e-02
3.59500e+03 1.36138e-02
3.60500e+03 1.73759e-02
3.61500e+03 2.31106e-02
3.62500e+03 2.93664e-02
3.63500e+03 3.61212e-02
3.64500e+03 4.33308e-02
3.65500e+03 5.09869e-02
3.66500e+03 5.91744e-02
3.67500e+03 6.79186e-02
3.68500e+03 7.72691e-02
3.69500e+03 8.72605e-02
3.70500e+03 9.80503e-02
3.71500e+03 1.09598e-01
3.72500e+03 1.21595e-01
3.73500e+03 1.34016e-01
3.74500e+03 1.47020e-01
3.75500e+03 1.60637e-01
3.76500e+03 1.74937e-01
3.77500e+03 1.89955e-01
3.78500e+03 2.05668e-01
3.79500e+03 2.22103e-01
3.80500e+03 2.40377e-01
3.81500e+03 2.60491e-01
3.82500e+03 2.81492e-01
3.83500e+03 3.03387e-01
3.84500e+03 3.26665e-01
3.85500e+03 3.51436e-01
3.86500e+03 3.77330e-01
3.87500e+03 4.04352e-01
3.88500e+03 4.31844e-01
3.89500e+03 4.59668e-01
3.90500e+03 4.79784e-01
3.91500e+03 4.91685e-01
3.92500e+03 5.04132e-01
3.93500e+03 5.17117e-01
3.94500e+03 5.30403e-01
3.95500e+03 5.43977e-01
3.96500e+03 5.57593e-01
3.97500e+03 5.71245e-01
3.98500e+03 5.85179e-01
3.99500e+03 5.99383e-01
4.00500e+03 6.13131e-01
4.01500e+03 6.26325e-01
4.02500e+03 6.39744e-01
4.03500e+03 6.53403e-01
4.04500e+03 6.67275e-01
4.05500e+03 6.81357e-01
4.06500e+03 6.95690e-01
4.07500e+03 7.10282e-01
4.08500e+03 7.25461e-01
4.09500e+03 7.41159e-01
4.10500e+03 7.54760e-01
4.11500e+03 7.66036e-01
4.12500e+03 7.76821e-01
4.13500e+03 7.87103e-01
4.14500e+03 7.97499e-01
4.15500e+03 8.08018e-01
4.16500e+03 8.18874e-01
4.17500e+03 8.30080e-01
4.18500e+03 8.41423e-01
4.19500e+03 8.52859e-01
4.20500e+03 8.63137e-01
4.21500e+03 8.72204e-01
4.22500e+03 8.81311e-01
4.23500e+03 8.90498e-01
4.24500e+03 8.99476e-01
4.25500e+03 9.08238e-01
4.26500e+03 9.17066e-01
4.27500e+03 9.25960e-01
4.28500e+03 9.34802e-01
4.29500e+03 9.43544e-01
4.30500e+03 9.47956e-01
4.31500e+03 9.48202e-01
4.32500e+03 9.48392e-01
4.33500e+03 9.48690e-01
4.34500e+03 9.48905e-01
4.35500e+03 9.49023e-01
