# ESO-fors1_i_bess
# photon
# from FILTER.RES.DR34.latest
6.87000e+03 0.00000e+00
6.89500e+03 0.00000e+00
6.92000e+03 6.70855e-03
6.94500e+03 1.13902e-02
6.97000e+03 1.76857e-02
6.99500e+03 2.57874e-02
7.02000e+03 6.23411e-02
7.04500e+03 1.08856e-01
7.07000e+03 1.55194e-01
7.09500e+03 2.01538e-01
7.12000e+03 2.62879e-01
7.14500e+03 3.26523e-01
7.17000e+03 3.77194e-01
7.19500e+03 4.36609e-01
7.22000e+03 4.97381e-01
7.24500e+03 5.49086e-01
7.27000e+03 5.99841e-01
7.29500e+03 6.50392e-01
7.32000e+03 7.08971e-01
7.34500e+03 7.68216e-01
7.37000e+03 8.15938e-01
7.39500e+03 8.59404e-01
7.42000e+03 8.96328e-01
7.44500e+03 9.31187e-01
7.47000e+03 9.67340e-01
7.49500e+03 1.00000e+00
7.52000e+03 9.97324e-01
7.54500e+03 9.78540e-01
7.57000e+03 9.51442e-01
7.59500e+03 7.29601e-01
7.62000e+03 6.12787e-01
7.64500e+03 6.82500e-01
7.67000e+03 8.34502e-01
7.69500e+03 8.91484e-01
7.72000e+03 8.86111e-01
7.74500e+03 8.81929e-01
7.77000e+03 8.76750e-01
7.79500e+03 8.70444e-01
7.82000e+03 8.66498e-01
7.84500e+03 8.63279e-01
7.87000e+03 8.59690e-01
7.89500e+03 8.53694e-01
7.92000e+03 8.46131e-01
7.94500e+03 8.41349e-01
7.97000e+03 8.36099e-01
7.99500e+03 8.28831e-01
8.02000e+03 8.13257e-01
8.04500e+03 7.94811e-01
8.07000e+03 7.76651e-01
8.09500e+03 7.61948e-01
8.12000e+03 7.40732e-01
8.14500e+03 7.18240e-01
8.17000e+03 7.08945e-01
8.19500e+03 7.01249e-01
8.22000e+03 6.93730e-01
8.24500e+03 6.86586e-01
8.27000e+03 6.80297e-01
8.29500e+03 6.73427e-01
8.32000e+03 6.77147e-01
8.34500e+03 6.86715e-01
8.37000e+03 6.84350e-01
8.39500e+03 6.74799e-01
8.42000e+03 6.64741e-01
8.44500e+03 6.52808e-01
8.47000e+03 6.36496e-01
8.49500e+03 6.19567e-01
8.52000e+03 6.05924e-01
8.54500e+03 5.96033e-01
8.57000e+03 5.86258e-01
8.59500e+03 5.73257e-01
8.62000e+03 5.12038e-01
8.64500e+03 4.31608e-01
8.67000e+03 3.55987e-01
8.69500e+03 2.82024e-01
8.72000e+03 2.19554e-01
8.74500e+03 1.63395e-01
8.77000e+03 1.10571e-01
8.79500e+03 6.23935e-02
8.82000e+03 4.09044e-02
8.84500e+03 2.94964e-02
8.87000e+03 1.87002e-02
8.89500e+03 8.78903e-03
8.92000e+03 5.27495e-03
8.94500e+03 3.97394e-03
8.97000e+03 2.98372e-03
8.99500e+03 0.00000e+00
9.02000e+03 0.00000e+00
