# ESO-fors1_r_bess
# photon
# from FILTER.RES.DR34.latest
5.49500e+03 0.00000e+00
5.51500e+03 0.00000e+00
5.53500e+03 1.02903e-02
5.55500e+03 1.40901e-02
5.57500e+03 1.91476e-02
5.59500e+03 2.99691e-02
5.61500e+03 1.02254e-01
5.63500e+03 2.03996e-01
5.65500e+03 3.04770e-01
5.67500e+03 4.04507e-01
5.69500e+03 5.01537e-01
5.71500e+03 5.81881e-01
5.73500e+03 6.55364e-01
5.75500e+03 7.28593e-01
5.77500e+03 8.00169e-01
5.79500e+03 8.68400e-01
5.81500e+03 8.95126e-01
5.83500e+03 9.04725e-01
5.85500e+03 9.14035e-01
5.87500e+03 9.23122e-01
5.89500e+03 9.31149e-01
5.91500e+03 9.42929e-01
5.93500e+03 9.55571e-01
5.95500e+03 9.67857e-01
5.97500e+03 9.83397e-01
5.99500e+03 9.99095e-01
6.01500e+03 1.00000e+00
6.03500e+03 9.93517e-01
6.05500e+03 9.86149e-01
6.07500e+03 9.78426e-01
6.09500e+03 9.71401e-01
6.11500e+03 9.65215e-01
6.13500e+03 9.61356e-01
6.15500e+03 9.58408e-01
6.17500e+03 9.54132e-01
6.19500e+03 9.48905e-01
6.21500e+03 9.39160e-01
6.23500e+03 9.27582e-01
6.25500e+03 9.18661e-01
6.27500e+03 9.10781e-01
6.29500e+03 9.01042e-01
6.31500e+03 8.90459e-01
6.33500e+03 8.80402e-01
6.35500e+03 8.70630e-01
6.37500e+03 8.61018e-01
6.39500e+03 8.51460e-01
6.41500e+03 8.41416e-01
6.43500e+03 8.31435e-01
6.45500e+03 8.24426e-01
6.47500e+03 8.18583e-01
6.49500e+03 8.10361e-01
6.51500e+03 8.00754e-01
6.53500e+03 7.92028e-01
6.55500e+03 7.83871e-01
6.57500e+03 7.76171e-01
6.59500e+03 7.68588e-01
6.61500e+03 7.59905e-01
6.63500e+03 7.50477e-01
6.65500e+03 7.38413e-01
6.67500e+03 7.25365e-01
6.69500e+03 7.14532e-01
6.71500e+03 7.05293e-01
6.73500e+03 6.95780e-01
6.75500e+03 6.86073e-01
6.77500e+03 6.76532e-01
6.79500e+03 6.66948e-01
6.81500e+03 6.54217e-01
6.83500e+03 6.31717e-01
6.85500e+03 6.05388e-01
6.87500e+03 5.80314e-01
6.89500e+03 5.67433e-01
6.91500e+03 5.69410e-01
6.93500e+03 5.79142e-01
6.95500e+03 5.90275e-01
6.97500e+03 5.98791e-01
6.99500e+03 6.00180e-01
7.01500e+03 5.83843e-01
7.03500e+03 5.59941e-01
7.05500e+03 5.36471e-01
7.07500e+03 5.13059e-01
7.09500e+03 4.88713e-01
7.11500e+03 4.72656e-01
7.13500e+03 4.61708e-01
7.15500e+03 4.41573e-01
7.17500e+03 4.18036e-01
7.19500e+03 4.08590e-01
7.21500e+03 3.99528e-01
7.23500e+03 3.84334e-01
7.25500e+03 3.68315e-01
7.27500e+03 3.52675e-01
7.29500e+03 3.37714e-01
7.31500e+03 3.33096e-01
7.33500e+03 3.32738e-01
7.35500e+03 3.29005e-01
7.37500e+03 3.23125e-01
7.39500e+03 3.16768e-01
7.41500e+03 3.07969e-01
7.43500e+03 2.98114e-01
7.45500e+03 2.88769e-01
7.47500e+03 2.79682e-01
7.49500e+03 2.70636e-01
7.51500e+03 2.62368e-01
7.53500e+03 2.53937e-01
7.55500e+03 2.45300e-01
7.57500e+03 2.32155e-01
7.59500e+03 1.78261e-01
7.61500e+03 1.42356e-01
7.63500e+03 1.48437e-01
7.65500e+03 1.66812e-01
7.67500e+03 1.87083e-01
7.69500e+03 1.88123e-01
7.71500e+03 1.81151e-01
