# ESO-fors1_r_gunn
# photon
# from FILTER.RES.DR34.latest
5.87000e+03 0.00000e+00
5.89000e+03 0.00000e+00
5.91000e+03 1.20659e-02
5.93000e+03 2.37113e-02
5.95000e+03 3.90849e-02
5.97000e+03 5.44379e-02
5.99000e+03 7.03623e-02
6.01000e+03 1.21550e-01
6.03000e+03 2.08351e-01
6.05000e+03 2.94592e-01
6.07000e+03 3.79869e-01
6.09000e+03 4.64468e-01
6.11000e+03 5.33741e-01
6.13000e+03 5.88925e-01
6.15000e+03 6.44738e-01
6.17000e+03 6.99701e-01
6.19000e+03 7.53667e-01
6.21000e+03 7.88721e-01
6.23000e+03 8.04930e-01
6.25000e+03 8.22562e-01
6.27000e+03 8.41737e-01
6.29000e+03 8.59583e-01
6.31000e+03 8.81121e-01
6.33000e+03 9.08019e-01
6.35000e+03 9.35049e-01
6.37000e+03 9.61896e-01
6.39000e+03 9.88443e-01
6.41000e+03 1.00000e+00
6.43000e+03 9.97020e-01
6.45000e+03 9.96622e-01
6.47000e+03 9.98967e-01
6.49000e+03 9.99074e-01
6.51000e+03 9.94100e-01
6.53000e+03 9.87342e-01
6.55000e+03 9.81582e-01
6.57000e+03 9.76278e-01
6.59000e+03 9.71332e-01
6.61000e+03 9.61299e-01
6.63000e+03 9.46060e-01
6.65000e+03 9.28235e-01
6.67000e+03 9.08033e-01
6.69000e+03 8.89896e-01
6.71000e+03 8.64848e-01
6.73000e+03 8.30617e-01
6.75000e+03 7.95963e-01
6.77000e+03 7.61651e-01
6.79000e+03 7.27669e-01
6.81000e+03 6.95554e-01
6.83000e+03 6.58647e-01
6.85000e+03 6.15796e-01
6.87000e+03 5.74025e-01
6.89000e+03 5.41515e-01
6.91000e+03 5.03263e-01
6.93000e+03 4.52806e-01
6.95000e+03 4.03529e-01
6.97000e+03 3.52262e-01
6.99000e+03 2.97758e-01
7.01000e+03 2.49197e-01
7.03000e+03 2.08098e-01
7.05000e+03 1.67382e-01
7.07000e+03 1.26897e-01
7.09000e+03 8.63233e-02
7.11000e+03 6.14706e-02
7.13000e+03 5.25348e-02
7.15000e+03 4.30927e-02
7.17000e+03 3.33485e-02
7.19000e+03 2.48670e-02
7.21000e+03 1.99507e-02
7.23000e+03 1.77825e-02
7.25000e+03 1.55450e-02
7.27000e+03 1.33501e-02
7.29000e+03 1.11839e-02
7.31000e+03 1.00842e-02
7.33000e+03 1.00173e-02
7.35000e+03 9.88868e-03
7.37000e+03 9.66843e-03
7.39000e+03 9.43560e-03
7.41000e+03 9.04450e-03
7.43000e+03 8.49732e-03
7.45000e+03 7.96524e-03
7.47000e+03 7.44677e-03
7.49000e+03 6.92780e-03
7.51000e+03 6.23543e-03
7.53000e+03 5.36032e-03
7.55000e+03 4.48627e-03
7.57000e+03 3.60846e-03
7.59000e+03 2.41545e-03
7.61000e+03 1.39618e-03
7.63000e+03 1.37311e-03
7.65000e+03 1.33935e-03
7.67000e+03 1.35848e-03
7.69000e+03 1.22376e-03
7.71000e+03 1.06058e-03
7.73000e+03 9.78252e-04
7.75000e+03 8.96962e-04
7.77000e+03 8.16145e-04
7.79000e+03 7.36414e-04
7.81000e+03 6.89432e-04
7.83000e+03 6.74906e-04
7.85000e+03 6.64189e-04
7.87000e+03 0.00000e+00
7.89000e+03 0.00000e+00
