# ESO-fors1_v_bess
# photon
# from FILTER.RES.DR34.latest
4.68000e+03 0.00000e+00
4.69500e+03 0.00000e+00
4.71000e+03 3.32001e-03
4.72500e+03 5.90337e-03
4.74000e+03 9.38381e-03
4.75500e+03 1.28997e-02
4.77000e+03 1.64374e-02
4.78500e+03 1.99955e-02
4.80000e+03 2.96730e-02
4.81500e+03 7.05414e-02
4.83000e+03 1.17891e-01
4.84500e+03 1.65857e-01
4.86000e+03 2.14753e-01
4.87500e+03 2.64398e-01
4.89000e+03 3.14953e-01
4.90500e+03 3.64426e-01
4.92000e+03 4.10920e-01
4.93500e+03 4.57828e-01
4.95000e+03 5.05239e-01
4.96500e+03 5.52594e-01
4.98000e+03 5.99392e-01
4.99500e+03 6.45968e-01
5.01000e+03 6.81238e-01
5.02500e+03 7.10253e-01
5.04000e+03 7.39437e-01
5.05500e+03 7.68516e-01
5.07000e+03 7.97771e-01
5.08500e+03 8.27821e-01
5.10000e+03 8.56897e-01
5.11500e+03 8.74761e-01
5.13000e+03 8.88991e-01
5.14500e+03 9.02459e-01
5.16000e+03 9.15930e-01
5.17500e+03 9.29101e-01
5.19000e+03 9.42258e-01
5.20500e+03 9.52401e-01
5.22000e+03 9.57364e-01
5.23500e+03 9.62093e-01
5.25000e+03 9.67030e-01
5.26500e+03 9.72096e-01
5.28000e+03 9.77065e-01
5.29500e+03 9.81443e-01
5.31000e+03 9.83479e-01
5.32500e+03 9.84460e-01
5.34000e+03 9.85786e-01
5.35500e+03 9.87207e-01
5.37000e+03 9.90968e-01
5.38500e+03 9.96069e-01
5.40000e+03 1.00000e+00
5.41500e+03 9.97470e-01
5.43000e+03 9.93736e-01
5.44500e+03 9.91718e-01
5.46000e+03 9.92853e-01
5.47500e+03 9.93968e-01
5.49000e+03 9.92982e-01
5.50500e+03 9.87961e-01
5.52000e+03 9.78178e-01
5.53500e+03 9.67798e-01
5.55000e+03 9.57408e-01
5.56500e+03 9.47729e-01
5.58000e+03 9.39226e-01
5.59500e+03 9.30654e-01
5.61000e+03 9.19736e-01
5.62500e+03 9.07442e-01
5.64000e+03 8.95134e-01
5.65500e+03 8.82572e-01
5.67000e+03 8.70020e-01
5.68500e+03 8.57101e-01
5.70000e+03 8.43141e-01
5.71500e+03 8.26985e-01
5.73000e+03 8.11487e-01
5.74500e+03 7.96632e-01
5.76000e+03 7.81715e-01
5.77500e+03 7.66102e-01
5.79000e+03 7.50462e-01
5.80500e+03 7.32119e-01
5.82000e+03 7.08894e-01
5.83500e+03 6.85537e-01
5.85000e+03 6.62128e-01
5.86500e+03 6.38711e-01
5.88000e+03 6.15214e-01
5.89500e+03 5.91433e-01
5.91000e+03 5.75586e-01
5.92500e+03 5.64245e-01
5.94000e+03 5.52538e-01
5.95500e+03 5.40954e-01
5.97000e+03 5.30784e-01
5.98500e+03 5.21424e-01
6.00000e+03 5.10840e-01
6.01500e+03 4.94200e-01
6.03000e+03 4.76412e-01
6.04500e+03 4.58520e-01
6.06000e+03 4.40438e-01
6.07500e+03 4.22466e-01
6.09000e+03 4.04805e-01
6.10500e+03 3.87878e-01
6.12000e+03 3.72098e-01
6.13500e+03 3.57112e-01
6.15000e+03 3.42277e-01
6.16500e+03 3.27268e-01
6.18000e+03 3.11977e-01
6.19500e+03 2.96748e-01
6.21000e+03 2.82025e-01
6.22500e+03 2.67655e-01
6.24000e+03 2.53512e-01
6.25500e+03 2.40046e-01
6.27000e+03 2.26726e-01
6.28500e+03 2.13282e-01
6.30000e+03 1.99972e-01
6.31500e+03 1.88566e-01
6.33000e+03 1.77669e-01
6.34500e+03 1.66888e-01
6.36000e+03 1.56182e-01
6.37500e+03 1.45559e-01
6.39000e+03 1.35007e-01
6.40500e+03 1.25477e-01
6.42000e+03 1.17588e-01
6.43500e+03 1.09840e-01
6.45000e+03 1.02391e-01
6.46500e+03 9.50943e-02
6.48000e+03 8.77382e-02
6.49500e+03 8.02331e-02
6.51000e+03 7.41002e-02
6.52500e+03 6.88429e-02
6.54000e+03 6.36697e-02
6.55500e+03 5.85142e-02
6.57000e+03 5.33939e-02
6.58500e+03 4.82949e-02
6.60000e+03 4.34891e-02
6.61500e+03 4.03615e-02
6.63000e+03 3.75257e-02
6.64500e+03 3.46459e-02
6.66000e+03 3.16954e-02
6.67500e+03 2.87740e-02
6.69000e+03 2.59334e-02
6.70500e+03 2.34677e-02
6.72000e+03 2.15621e-02
6.73500e+03 1.96768e-02
6.75000e+03 1.77995e-02
6.76500e+03 1.59341e-02
6.78000e+03 1.40808e-02
6.79500e+03 1.22648e-02
6.81000e+03 1.09608e-02
6.82500e+03 9.91877e-03
6.84000e+03 8.80519e-03
6.85500e+03 7.72105e-03
6.87000e+03 6.67531e-03
6.88500e+03 5.71258e-03
6.90000e+03 4.89931e-03
6.91500e+03 4.39744e-03
6.93000e+03 4.07515e-03
6.94500e+03 0.00000e+00
6.96000e+03 0.00000e+00
