# ESO-isaac_h
# photon
# from FILTER.RES.DR34.latest
1.45000e+04 0.00000e+00
1.45500e+04 0.00000e+00
1.46000e+04 5.37551e-03
1.46500e+04 1.05992e-02
1.47000e+04 7.70884e-03
1.47500e+04 1.47263e-02
1.48000e+04 2.66364e-02
1.48500e+04 5.46336e-02
1.49000e+04 9.20133e-02
1.49500e+04 1.75689e-01
1.50000e+04 2.93778e-01
1.50500e+04 4.28416e-01
1.51000e+04 5.75912e-01
1.51500e+04 6.97400e-01
1.52000e+04 7.81917e-01
1.52500e+04 8.50940e-01
1.53000e+04 8.79172e-01
1.53500e+04 9.12028e-01
1.54000e+04 9.47189e-01
1.54500e+04 9.61544e-01
1.55000e+04 9.76494e-01
1.55500e+04 9.86828e-01
1.56000e+04 9.93503e-01
1.56500e+04 9.88729e-01
1.57000e+04 9.66637e-01
1.57500e+04 9.39961e-01
1.58000e+04 9.45721e-01
1.58500e+04 9.62479e-01
1.59000e+04 9.85755e-01
1.59500e+04 9.88375e-01
1.60000e+04 9.66018e-01
1.60500e+04 9.22819e-01
1.61000e+04 9.47239e-01
1.61500e+04 9.76612e-01
1.62000e+04 9.89628e-01
1.62500e+04 1.00000e+00
1.63000e+04 9.96627e-01
1.63500e+04 9.90999e-01
1.64000e+04 9.85260e-01
1.64500e+04 9.87775e-01
1.65000e+04 9.80695e-01
1.65500e+04 9.85355e-01
1.66000e+04 9.83854e-01
1.66500e+04 9.56762e-01
1.67000e+04 9.48977e-01
1.67500e+04 9.61605e-01
1.68000e+04 9.57635e-01
1.68500e+04 9.67116e-01
1.69000e+04 9.66083e-01
1.69500e+04 9.69672e-01
1.70000e+04 9.62936e-01
1.70500e+04 9.51467e-01
1.71000e+04 9.50072e-01
1.71500e+04 9.55017e-01
1.72000e+04 9.63600e-01
1.72500e+04 9.42529e-01
1.73000e+04 9.46706e-01
1.73500e+04 9.18953e-01
1.74000e+04 9.29429e-01
1.74500e+04 9.14649e-01
1.75000e+04 8.97108e-01
1.75500e+04 9.31529e-01
1.76000e+04 9.50313e-01
1.76500e+04 9.20786e-01
1.77000e+04 9.11865e-01
1.77500e+04 8.83377e-01
1.78000e+04 8.44325e-01
1.78500e+04 8.25441e-01
1.79000e+04 8.19029e-01
1.79500e+04 6.44059e-01
1.80000e+04 4.25425e-01
1.80500e+04 2.16000e-01
1.81000e+04 1.21222e-01
1.81500e+04 6.41144e-02
1.82000e+04 3.30039e-02
1.82500e+04 2.05131e-02
1.83000e+04 0.00000e+00
1.83500e+04 0.00000e+00
