# ESO-isaac_j
# photon
# from FILTER.RES.DR34.latest
9.94500e+03 0.00000e+00
9.98500e+03 0.00000e+00
1.00250e+04 5.96005e-02
1.00650e+04 1.72547e-02
1.01050e+04 2.34247e-03
1.01450e+04 2.90527e-03
1.01850e+04 4.69669e-03
1.02250e+04 1.36864e-02
1.02650e+04 1.16522e-03
1.03050e+04 7.42562e-03
1.03450e+04 1.02027e-02
1.03850e+04 4.81493e-03
1.04250e+04 2.52195e-03
1.04650e+04 4.48283e-03
1.05050e+04 8.03077e-03
1.05450e+04 8.49004e-03
1.05850e+04 4.96076e-03
1.06250e+04 1.74446e-03
1.06650e+04 5.73616e-03
1.07050e+04 1.58051e-02
1.07450e+04 1.28535e-02
1.07850e+04 1.73227e-02
1.08250e+04 3.99849e-02
1.08650e+04 7.86783e-02
1.09050e+04 1.28139e-01
1.09450e+04 2.49193e-01
1.09850e+04 3.66709e-01
1.10250e+04 4.91566e-01
1.10650e+04 5.94230e-01
1.11050e+04 6.55269e-01
1.11450e+04 6.58070e-01
1.11850e+04 5.71819e-01
1.12250e+04 5.03477e-01
1.12650e+04 5.01406e-01
1.13050e+04 5.40147e-01
1.13450e+04 5.12937e-01
1.13850e+04 5.61979e-01
1.14250e+04 6.57139e-01
1.14650e+04 5.52607e-01
1.15050e+04 6.08763e-01
1.15450e+04 6.71915e-01
1.15850e+04 7.25218e-01
1.16250e+04 7.90087e-01
1.16650e+04 8.17000e-01
1.17050e+04 8.25042e-01
1.17450e+04 8.60441e-01
1.17850e+04 8.51497e-01
1.18250e+04 8.22672e-01
1.18650e+04 8.35321e-01
1.19050e+04 8.42224e-01
1.19450e+04 8.75341e-01
1.19850e+04 8.77152e-01
1.20250e+04 8.80228e-01
1.20650e+04 8.76885e-01
1.21050e+04 8.98354e-01
1.21450e+04 9.02708e-01
1.21850e+04 9.13396e-01
1.22250e+04 9.11953e-01
1.22650e+04 9.10859e-01
1.23050e+04 9.25203e-01
1.23450e+04 9.26768e-01
1.23850e+04 9.36856e-01
1.24250e+04 9.39752e-01
1.24650e+04 9.39541e-01
1.25050e+04 9.53983e-01
1.25450e+04 9.58330e-01
1.25850e+04 9.50214e-01
1.26250e+04 9.10331e-01
1.26650e+04 8.89487e-01
1.27050e+04 8.47295e-01
1.27450e+04 8.98088e-01
1.27850e+04 9.41744e-01
1.28250e+04 9.74530e-01
1.28650e+04 9.85314e-01
1.29050e+04 9.91226e-01
1.29450e+04 1.00000e+00
1.29850e+04 9.95844e-01
1.30250e+04 9.95676e-01
1.30650e+04 9.79597e-01
1.31050e+04 9.71208e-01
1.31450e+04 9.67785e-01
1.31850e+04 9.66665e-01
1.32250e+04 9.38770e-01
1.32650e+04 9.30746e-01
1.33050e+04 8.81645e-01
1.33450e+04 8.05921e-01
1.33850e+04 8.81053e-01
1.34250e+04 8.33372e-01
1.34650e+04 7.08063e-01
1.35050e+04 4.58552e-01
1.35450e+04 2.96271e-01
1.35850e+04 2.10424e-01
1.36250e+04 1.21136e-01
1.36650e+04 1.69897e-01
1.37050e+04 1.50367e-01
1.37450e+04 1.93911e-01
1.37850e+04 3.11564e-01
1.38250e+04 1.65114e-01
1.38650e+04 1.18095e-01
1.39050e+04 1.94169e-01
1.39450e+04 1.04978e-01
1.39850e+04 3.80550e-02
1.40250e+04 2.03411e-02
1.40650e+04 1.36721e-02
1.41050e+04 8.20294e-03
1.41450e+04 6.08767e-03
1.41850e+04 4.25434e-03
1.42250e+04 2.76794e-03
1.42650e+04 1.57404e-03
1.43050e+04 0.00000e+00
1.43450e+04 0.00000e+00
