# ESO-isaac_js
# photon
# from FILTER.RES.DR34.latest
9.97000e+03 0.00000e+00
1.00100e+04 0.00000e+00
1.00500e+04 3.60413e-03
1.00900e+04 1.49984e-04
1.01300e+04 6.89235e-04
1.01700e+04 2.54242e-04
1.02100e+04 1.67297e-03
1.02500e+04 5.96551e-04
1.02900e+04 2.05106e-04
1.03300e+04 1.77422e-03
1.03700e+04 2.32840e-04
1.04100e+04 6.19832e-04
1.04500e+04 1.48541e-04
1.04900e+04 4.46331e-04
1.05300e+04 1.17388e-03
1.05700e+04 2.01511e-04
1.06100e+04 3.13620e-04
1.06500e+04 1.08737e-04
1.06900e+04 8.15303e-04
1.07300e+04 7.02264e-04
1.07700e+04 6.81216e-04
1.08100e+04 1.10234e-03
1.08500e+04 2.02629e-03
1.08900e+04 2.81313e-03
1.09300e+04 4.03453e-03
1.09700e+04 4.66421e-03
1.10100e+04 4.31660e-03
1.10500e+04 4.77795e-03
1.10900e+04 6.05889e-03
1.11300e+04 6.73009e-03
1.11700e+04 7.10081e-03
1.12100e+04 6.45294e-03
1.12500e+04 6.84215e-03
1.12900e+04 7.46313e-03
1.13300e+04 8.84220e-03
1.13700e+04 8.85690e-03
1.14100e+04 1.30505e-02
1.14500e+04 1.44138e-02
1.14900e+04 1.85046e-02
1.15300e+04 3.03588e-02
1.15700e+04 5.56548e-02
1.16100e+04 1.12276e-01
1.16500e+04 2.49472e-01
1.16900e+04 5.04164e-01
1.17300e+04 8.00220e-01
1.17700e+04 8.98076e-01
1.18100e+04 8.56366e-01
1.18500e+04 8.33797e-01
1.18900e+04 8.58672e-01
1.19300e+04 9.04571e-01
1.19700e+04 9.28610e-01
1.20100e+04 9.51898e-01
1.20500e+04 9.35537e-01
1.20900e+04 9.32455e-01
1.21300e+04 9.24191e-01
1.21700e+04 9.28844e-01
1.22100e+04 9.44472e-01
1.22500e+04 9.52032e-01
1.22900e+04 9.73303e-01
1.23300e+04 9.72398e-01
1.23700e+04 9.76646e-01
1.24100e+04 9.74958e-01
1.24500e+04 9.68974e-01
1.24900e+04 9.74086e-01
1.25300e+04 9.83882e-01
1.25700e+04 9.95086e-01
1.26100e+04 9.62995e-01
1.26500e+04 9.26358e-01
1.26900e+04 8.85468e-01
1.27300e+04 9.16861e-01
1.27700e+04 9.61270e-01
1.28100e+04 9.99307e-01
1.28500e+04 1.00000e+00
1.28900e+04 9.79052e-01
1.29300e+04 9.77787e-01
1.29700e+04 9.54763e-01
1.30100e+04 9.52450e-01
1.30500e+04 9.36598e-01
1.30900e+04 9.22546e-01
1.31300e+04 9.03844e-01
1.31700e+04 8.84577e-01
1.32100e+04 8.44880e-01
1.32500e+04 7.49270e-01
1.32900e+04 5.41537e-01
1.33300e+04 2.54464e-01
1.33700e+04 1.15176e-01
1.34100e+04 5.50824e-02
1.34500e+04 2.62917e-02
1.34900e+04 1.20711e-02
1.35300e+04 5.16967e-03
1.35700e+04 2.44087e-03
1.36100e+04 1.41980e-03
1.36500e+04 0.00000e+00
1.36900e+04 0.00000e+00
