# ESO-isaac_ks
# photon
# from FILTER.RES.DR34.latest
1.93100e+04 0.00000e+00
1.93800e+04 0.00000e+00
1.94500e+04 1.11588e-03
1.95200e+04 9.57996e-04
1.95900e+04 1.53463e-03
1.96600e+04 2.55577e-03
1.97300e+04 5.48084e-03
1.98000e+04 9.71742e-03
1.98700e+04 1.94422e-02
1.99400e+04 3.23464e-02
2.00100e+04 2.75303e-02
2.00800e+04 3.71369e-02
2.01500e+04 8.59917e-02
2.02200e+04 2.25462e-01
2.02900e+04 5.17379e-01
2.03600e+04 7.30914e-01
2.04300e+04 7.90503e-01
2.05000e+04 7.10206e-01
2.05700e+04 5.92904e-01
2.06400e+04 6.67311e-01
2.07100e+04 6.98601e-01
2.07800e+04 8.36910e-01
2.08500e+04 8.97975e-01
2.09200e+04 9.29712e-01
2.09900e+04 9.68094e-01
2.10600e+04 9.77579e-01
2.11300e+04 9.73561e-01
2.12000e+04 9.78833e-01
2.12700e+04 9.80847e-01
2.13400e+04 9.93233e-01
2.14100e+04 1.00000e+00
2.14800e+04 9.99075e-01
2.15500e+04 9.91472e-01
2.16200e+04 9.91757e-01
2.16900e+04 9.95399e-01
2.17600e+04 9.96057e-01
2.18300e+04 9.87461e-01
2.19000e+04 9.79798e-01
2.19700e+04 9.56809e-01
2.20400e+04 9.10560e-01
2.21100e+04 9.64533e-01
2.21800e+04 9.69301e-01
2.22500e+04 9.70946e-01
2.23200e+04 9.61321e-01
2.23900e+04 9.54263e-01
2.24600e+04 9.44906e-01
2.25300e+04 9.42195e-01
2.26000e+04 9.21591e-01
2.26700e+04 9.43590e-01
2.27400e+04 9.27651e-01
2.28100e+04 8.87745e-01
2.28800e+04 7.62978e-01
2.29500e+04 5.57999e-01
2.30200e+04 3.82391e-01
2.30900e+04 2.49642e-01
2.31600e+04 1.56096e-01
2.32300e+04 8.58636e-02
2.33000e+04 5.29770e-02
2.33700e+04 2.99839e-02
2.34400e+04 1.60975e-02
2.35100e+04 9.00274e-03
2.35800e+04 5.64421e-03
2.36500e+04 3.46641e-03
2.37200e+04 2.50202e-03
2.37900e+04 0.00000e+00
2.38600e+04 0.00000e+00
