# ESO-u35_rebin
# photon
# from FILTER.RES.DR34.latest
3.02500e+03 0.00000e+00
3.03500e+03 0.00000e+00
3.04500e+03 4.82768e-03
3.05500e+03 6.77721e-03
3.06500e+03 9.87263e-03
3.07500e+03 1.34741e-02
3.08500e+03 1.75141e-02
3.09500e+03 2.21742e-02
3.10500e+03 2.78888e-02
3.11500e+03 3.48945e-02
3.12500e+03 4.30022e-02
3.13500e+03 5.13414e-02
3.14500e+03 5.95978e-02
3.15500e+03 6.89643e-02
3.16500e+03 7.94362e-02
3.17500e+03 9.06057e-02
3.18500e+03 1.03210e-01
3.19500e+03 1.16695e-01
3.20500e+03 1.31636e-01
3.21500e+03 1.47937e-01
3.22500e+03 1.64907e-01
3.23500e+03 1.82272e-01
3.24500e+03 1.99651e-01
3.25500e+03 2.17013e-01
3.26500e+03 2.34017e-01
3.27500e+03 2.51732e-01
3.28500e+03 2.71054e-01
3.29500e+03 2.91832e-01
3.30500e+03 3.13480e-01
3.31500e+03 3.34869e-01
3.32500e+03 3.54768e-01
3.33500e+03 3.71761e-01
3.34500e+03 3.85608e-01
3.35500e+03 3.97487e-01
3.36500e+03 4.09123e-01
3.37500e+03 4.23068e-01
3.38500e+03 4.41896e-01
3.39500e+03 4.65789e-01
3.40500e+03 4.92738e-01
3.41500e+03 5.20855e-01
3.42500e+03 5.48247e-01
3.43500e+03 5.74239e-01
3.44500e+03 5.98958e-01
3.45500e+03 6.25063e-01
3.46500e+03 6.54037e-01
3.47500e+03 6.84518e-01
3.48500e+03 7.15917e-01
3.49500e+03 7.47155e-01
3.50500e+03 7.74457e-01
3.51500e+03 7.97026e-01
3.52500e+03 8.17345e-01
3.53500e+03 8.36448e-01
3.54500e+03 8.55101e-01
3.55500e+03 8.73329e-01
3.56500e+03 8.92278e-01
3.57500e+03 9.11671e-01
3.58500e+03 9.31623e-01
3.59500e+03 9.50705e-01
3.60500e+03 9.67747e-01
3.61500e+03 9.81007e-01
3.62500e+03 9.90447e-01
3.63500e+03 9.96264e-01
3.64500e+03 9.99204e-01
3.65500e+03 1.00000e+00
3.66500e+03 9.99092e-01
3.67500e+03 9.96404e-01
3.68500e+03 9.90121e-01
3.69500e+03 9.78200e-01
3.70500e+03 9.59319e-01
3.71500e+03 9.32751e-01
3.72500e+03 9.00595e-01
3.73500e+03 8.65602e-01
3.74500e+03 8.30563e-01
3.75500e+03 7.94805e-01
3.76500e+03 7.56018e-01
3.77500e+03 7.12822e-01
3.78500e+03 6.64948e-01
3.79500e+03 6.12622e-01
3.80500e+03 5.53682e-01
3.81500e+03 4.90200e-01
3.82500e+03 4.26527e-01
3.83500e+03 3.64122e-01
3.84500e+03 3.04350e-01
3.85500e+03 2.49187e-01
3.86500e+03 1.99498e-01
3.87500e+03 1.55517e-01
3.88500e+03 1.17846e-01
3.89500e+03 8.67564e-02
3.90500e+03 6.18712e-02
3.91500e+03 4.27199e-02
3.92500e+03 2.85120e-02
3.93500e+03 1.83353e-02
3.94500e+03 1.13682e-02
3.95500e+03 6.83074e-03
3.96500e+03 4.04672e-03
3.97500e+03 2.28735e-03
3.98500e+03 1.20258e-03
3.99500e+03 6.07144e-04
4.00500e+03 1.20902e-04
4.01500e+03 0.00000e+00
4.02500e+03 0.00000e+00
4.03500e+03 0.00000e+00
4.04500e+03 0.00000e+00
4.05500e+03 0.00000e+00
4.06500e+03 0.00000e+00
4.07500e+03 0.00000e+00
4.08500e+03 0.00000e+00
4.09500e+03 0.00000e+00
4.10500e+03 0.00000e+00
4.11500e+03 0.00000e+00
4.12500e+03 0.00000e+00
4.13500e+03 0.00000e+00
4.14500e+03 0.00000e+00
4.15500e+03 0.00000e+00
4.16500e+03 0.00000e+00
4.17500e+03 0.00000e+00
4.18500e+03 0.00000e+00
4.19500e+03 0.00000e+00
4.20500e+03 0.00000e+00
4.21500e+03 0.00000e+00
4.22500e+03 0.00000e+00
4.23500e+03 0.00000e+00
4.24500e+03 0.00000e+00
4.25500e+03 0.00000e+00
4.26500e+03 0.00000e+00
4.27500e+03 0.00000e+00
4.28500e+03 0.00000e+00
4.29500e+03 0.00000e+00
4.30500e+03 0.00000e+00
4.31500e+03 0.00000e+00
4.32500e+03 0.00000e+00
4.33500e+03 0.00000e+00
4.34500e+03 0.00000e+00
4.35500e+03 0.00000e+00
4.36500e+03 0.00000e+00
4.37500e+03 0.00000e+00
4.38500e+03 0.00000e+00
4.39500e+03 0.00000e+00
4.40500e+03 0.00000e+00
4.41500e+03 0.00000e+00
4.42500e+03 0.00000e+00
4.43500e+03 0.00000e+00
4.44500e+03 0.00000e+00
4.45500e+03 0.00000e+00
4.46500e+03 0.00000e+00
4.47500e+03 0.00000e+00
4.48500e+03 0.00000e+00
4.49500e+03 0.00000e+00
4.50500e+03 0.00000e+00
4.51500e+03 0.00000e+00
4.52500e+03 0.00000e+00
4.53500e+03 0.00000e+00
4.54500e+03 0.00000e+00
4.55500e+03 0.00000e+00
4.56500e+03 0.00000e+00
4.57500e+03 0.00000e+00
4.58500e+03 0.00000e+00
4.59500e+03 0.00000e+00
4.60500e+03 0.00000e+00
4.61500e+03 0.00000e+00
4.62500e+03 0.00000e+00
4.63500e+03 0.00000e+00
4.64500e+03 0.00000e+00
4.65500e+03 0.00000e+00
4.66500e+03 0.00000e+00
4.67500e+03 0.00000e+00
4.68500e+03 0.00000e+00
4.69500e+03 0.00000e+00
4.70500e+03 0.00000e+00
4.71500e+03 0.00000e+00
4.72500e+03 0.00000e+00
4.73500e+03 0.00000e+00
4.74500e+03 0.00000e+00
4.75500e+03 0.00000e+00
4.76500e+03 0.00000e+00
4.77500e+03 0.00000e+00
4.78500e+03 0.00000e+00
4.79500e+03 0.00000e+00
4.80500e+03 0.00000e+00
4.81500e+03 0.00000e+00
4.82500e+03 0.00000e+00
4.83500e+03 0.00000e+00
4.84500e+03 0.00000e+00
4.85500e+03 0.00000e+00
4.86500e+03 0.00000e+00
4.87500e+03 0.00000e+00
4.88500e+03 0.00000e+00
4.89500e+03 0.00000e+00
4.90500e+03 0.00000e+00
4.91500e+03 0.00000e+00
4.92500e+03 0.00000e+00
4.93500e+03 0.00000e+00
4.94500e+03 0.00000e+00
4.95500e+03 0.00000e+00
4.96500e+03 0.00000e+00
4.97500e+03 0.00000e+00
4.98500e+03 0.00000e+00
4.99500e+03 0.00000e+00
5.00500e+03 0.00000e+00
5.01500e+03 0.00000e+00
5.02500e+03 0.00000e+00
5.03500e+03 0.00000e+00
5.04500e+03 0.00000e+00
5.05500e+03 0.00000e+00
5.06500e+03 0.00000e+00
5.07500e+03 0.00000e+00
5.08500e+03 0.00000e+00
5.09500e+03 0.00000e+00
5.10500e+03 0.00000e+00
5.11500e+03 0.00000e+00
5.12500e+03 0.00000e+00
5.13500e+03 0.00000e+00
5.14500e+03 0.00000e+00
5.15500e+03 0.00000e+00
5.16500e+03 0.00000e+00
5.17500e+03 0.00000e+00
5.18500e+03 0.00000e+00
5.19500e+03 0.00000e+00
5.20500e+03 0.00000e+00
5.21500e+03 0.00000e+00
5.22500e+03 0.00000e+00
5.23500e+03 0.00000e+00
5.24500e+03 0.00000e+00
5.25500e+03 0.00000e+00
5.26500e+03 0.00000e+00
5.27500e+03 0.00000e+00
5.28500e+03 0.00000e+00
5.29500e+03 0.00000e+00
5.30500e+03 0.00000e+00
5.31500e+03 0.00000e+00
5.32500e+03 0.00000e+00
5.33500e+03 0.00000e+00
5.34500e+03 0.00000e+00
5.35500e+03 0.00000e+00
5.36500e+03 0.00000e+00
5.37500e+03 0.00000e+00
5.38500e+03 0.00000e+00
5.39500e+03 0.00000e+00
5.40500e+03 0.00000e+00
5.41500e+03 0.00000e+00
5.42500e+03 0.00000e+00
5.43500e+03 0.00000e+00
5.44500e+03 0.00000e+00
5.45500e+03 0.00000e+00
5.46500e+03 0.00000e+00
5.47500e+03 0.00000e+00
5.48500e+03 0.00000e+00
5.49500e+03 0.00000e+00
5.50500e+03 0.00000e+00
5.51500e+03 0.00000e+00
5.52500e+03 0.00000e+00
5.53500e+03 0.00000e+00
5.54500e+03 0.00000e+00
5.55500e+03 0.00000e+00
5.56500e+03 0.00000e+00
5.57500e+03 0.00000e+00
5.58500e+03 0.00000e+00
5.59500e+03 0.00000e+00
5.60500e+03 0.00000e+00
5.61500e+03 0.00000e+00
5.62500e+03 0.00000e+00
5.63500e+03 0.00000e+00
5.64500e+03 0.00000e+00
5.65500e+03 0.00000e+00
5.66500e+03 0.00000e+00
5.67500e+03 0.00000e+00
5.68500e+03 0.00000e+00
5.69500e+03 0.00000e+00
5.70500e+03 0.00000e+00
5.71500e+03 0.00000e+00
5.72500e+03 0.00000e+00
5.73500e+03 0.00000e+00
5.74500e+03 0.00000e+00
5.75500e+03 0.00000e+00
5.76500e+03 0.00000e+00
5.77500e+03 0.00000e+00
5.78500e+03 0.00000e+00
5.79500e+03 0.00000e+00
5.80500e+03 0.00000e+00
5.81500e+03 0.00000e+00
5.82500e+03 0.00000e+00
5.83500e+03 0.00000e+00
5.84500e+03 0.00000e+00
5.85500e+03 0.00000e+00
5.86500e+03 0.00000e+00
5.87500e+03 0.00000e+00
5.88500e+03 0.00000e+00
5.89500e+03 0.00000e+00
5.90500e+03 0.00000e+00
5.91500e+03 0.00000e+00
5.92500e+03 0.00000e+00
5.93500e+03 0.00000e+00
5.94500e+03 0.00000e+00
5.95500e+03 0.00000e+00
5.96500e+03 0.00000e+00
5.97500e+03 0.00000e+00
5.98500e+03 0.00000e+00
5.99500e+03 0.00000e+00
6.00500e+03 0.00000e+00
6.01500e+03 0.00000e+00
6.02500e+03 0.00000e+00
6.03500e+03 0.00000e+00
6.04500e+03 0.00000e+00
6.05500e+03 0.00000e+00
6.06500e+03 0.00000e+00
6.07500e+03 0.00000e+00
6.08500e+03 0.00000e+00
6.09500e+03 0.00000e+00
6.10500e+03 0.00000e+00
6.11500e+03 0.00000e+00
6.12500e+03 0.00000e+00
6.13500e+03 0.00000e+00
6.14500e+03 0.00000e+00
6.15500e+03 0.00000e+00
6.16500e+03 0.00000e+00
6.17500e+03 0.00000e+00
6.18500e+03 0.00000e+00
6.19500e+03 0.00000e+00
6.20500e+03 0.00000e+00
6.21500e+03 0.00000e+00
6.22500e+03 0.00000e+00
6.23500e+03 0.00000e+00
6.24500e+03 0.00000e+00
6.25500e+03 0.00000e+00
6.26500e+03 0.00000e+00
6.27500e+03 0.00000e+00
6.28500e+03 0.00000e+00
6.29500e+03 0.00000e+00
6.30500e+03 0.00000e+00
6.31500e+03 0.00000e+00
6.32500e+03 0.00000e+00
6.33500e+03 0.00000e+00
6.34500e+03 0.00000e+00
6.35500e+03 0.00000e+00
6.36500e+03 0.00000e+00
6.37500e+03 0.00000e+00
6.38500e+03 0.00000e+00
6.39500e+03 0.00000e+00
6.40500e+03 0.00000e+00
6.41500e+03 0.00000e+00
6.42500e+03 0.00000e+00
6.43500e+03 0.00000e+00
6.44500e+03 0.00000e+00
6.45500e+03 0.00000e+00
6.46500e+03 0.00000e+00
6.47500e+03 0.00000e+00
6.48500e+03 0.00000e+00
6.49500e+03 0.00000e+00
6.50500e+03 0.00000e+00
6.51500e+03 0.00000e+00
6.52500e+03 0.00000e+00
6.53500e+03 0.00000e+00
6.54500e+03 0.00000e+00
6.55500e+03 0.00000e+00
6.56500e+03 0.00000e+00
6.57500e+03 0.00000e+00
6.58500e+03 0.00000e+00
6.59500e+03 0.00000e+00
6.60500e+03 0.00000e+00
6.61500e+03 0.00000e+00
6.62500e+03 0.00000e+00
6.63500e+03 0.00000e+00
6.64500e+03 0.00000e+00
6.65500e+03 0.00000e+00
6.66500e+03 0.00000e+00
6.67500e+03 0.00000e+00
6.68500e+03 0.00000e+00
6.69500e+03 0.00000e+00
6.70500e+03 0.00000e+00
6.71500e+03 0.00000e+00
6.72500e+03 0.00000e+00
6.73500e+03 0.00000e+00
6.74500e+03 0.00000e+00
6.75500e+03 0.00000e+00
6.76500e+03 0.00000e+00
6.77500e+03 0.00000e+00
6.78500e+03 0.00000e+00
6.79500e+03 0.00000e+00
6.80500e+03 0.00000e+00
6.81500e+03 0.00000e+00
6.82500e+03 0.00000e+00
6.83500e+03 0.00000e+00
6.84500e+03 0.00000e+00
6.85500e+03 0.00000e+00
6.86500e+03 0.00000e+00
6.87500e+03 0.00000e+00
