# ESO-wfi_BB_U50_ESO877
# photon
# from FILTER.RES.DR34.latest
3.18000e+03 0.00000e+00
3.19000e+03 0.00000e+00
3.20000e+03 5.66145e-02
3.21000e+03 6.37919e-02
3.22000e+03 7.41429e-02
3.23000e+03 8.54755e-02
3.24000e+03 9.76726e-02
3.25000e+03 1.10653e-01
3.26000e+03 1.24388e-01
3.27000e+03 1.38972e-01
3.28000e+03 1.55392e-01
3.29000e+03 1.73804e-01
3.30000e+03 1.93751e-01
3.31000e+03 2.11982e-01
3.32000e+03 2.29857e-01
3.33000e+03 2.46634e-01
3.34000e+03 2.61805e-01
3.35000e+03 2.75499e-01
3.36000e+03 2.88747e-01
3.37000e+03 3.02922e-01
3.38000e+03 3.20695e-01
3.39000e+03 3.43056e-01
3.40000e+03 3.69041e-01
3.41000e+03 3.95476e-01
3.42000e+03 4.22309e-01
3.43000e+03 4.48913e-01
3.44000e+03 4.74659e-01
3.45000e+03 5.00571e-01
3.46000e+03 5.29711e-01
3.47000e+03 5.61106e-01
3.48000e+03 5.94503e-01
3.49000e+03 6.28852e-01
3.50000e+03 6.62624e-01
3.51000e+03 6.90262e-01
3.52000e+03 7.15457e-01
3.53000e+03 7.39536e-01
3.54000e+03 7.63434e-01
3.55000e+03 7.87143e-01
3.56000e+03 8.11476e-01
3.57000e+03 8.36791e-01
3.58000e+03 8.63318e-01
3.59000e+03 8.89948e-01
3.60000e+03 9.15722e-01
3.61000e+03 9.36348e-01
3.62000e+03 9.53333e-01
3.63000e+03 9.66751e-01
3.64000e+03 9.77535e-01
3.65000e+03 9.85638e-01
3.66000e+03 9.92185e-01
3.67000e+03 9.97440e-01
3.68000e+03 1.00000e+00
3.69000e+03 9.97929e-01
3.70000e+03 9.89310e-01
3.71000e+03 9.71029e-01
3.72000e+03 9.45197e-01
3.73000e+03 9.14345e-01
3.74000e+03 8.82276e-01
3.75000e+03 8.50460e-01
3.76000e+03 8.15855e-01
3.77000e+03 7.77012e-01
3.78000e+03 7.32598e-01
3.79000e+03 6.83197e-01
3.80000e+03 6.27734e-01
3.81000e+03 5.64495e-01
3.82000e+03 4.98325e-01
3.83000e+03 4.32407e-01
3.84000e+03 3.67516e-01
3.85000e+03 3.05787e-01
3.86000e+03 2.49102e-01
3.87000e+03 1.98125e-01
3.88000e+03 1.53001e-01
3.89000e+03 1.14956e-01
3.90000e+03 8.37387e-02
3.91000e+03 5.88696e-02
3.92000e+03 4.00972e-02
3.93000e+03 2.63437e-02
3.94000e+03 1.66435e-02
3.95000e+03 1.14473e-02
3.96000e+03 0.00000e+00
3.97000e+03 0.00000e+00
