# FOURSTAR-J_cam_optics_sky
# photon
# from FILTER.RES.DR34.latest
1.09650e+04 0.00000e+00
1.10050e+04 0.00000e+00
1.10450e+04 4.92217e-03
1.10850e+04 8.39108e-03
1.11250e+04 1.34552e-02
1.11650e+04 3.24760e-02
1.12050e+04 7.99930e-02
1.12450e+04 2.67517e-01
1.12850e+04 4.05861e-01
1.13250e+04 7.35505e-01
1.13650e+04 6.66756e-01
1.14050e+04 7.24962e-01
1.14450e+04 7.40138e-01
1.14850e+04 5.07003e-01
1.15250e+04 7.01555e-01
1.15650e+04 6.36157e-01
1.16050e+04 8.50516e-01
1.16450e+04 8.29647e-01
1.16850e+04 8.71845e-01
1.17250e+04 9.37677e-01
1.17650e+04 8.77175e-01
1.18050e+04 8.97646e-01
1.18450e+04 9.05581e-01
1.18850e+04 8.54393e-01
1.19250e+04 9.54678e-01
1.19650e+04 9.55899e-01
1.20050e+04 9.67845e-01
1.20450e+04 9.47411e-01
1.20850e+04 9.81044e-01
1.21250e+04 9.74171e-01
1.21650e+04 9.80540e-01
1.22050e+04 9.86460e-01
1.22450e+04 9.78505e-01
1.22850e+04 9.74870e-01
1.23250e+04 9.86905e-01
1.23650e+04 9.84595e-01
1.24050e+04 9.84610e-01
1.24450e+04 9.87516e-01
1.24850e+04 9.89087e-01
1.25250e+04 9.89715e-01
1.25650e+04 9.56910e-01
1.26050e+04 9.00028e-01
1.26450e+04 9.59905e-01
1.26850e+04 7.48040e-01
1.27250e+04 9.68610e-01
1.27650e+04 8.96374e-01
1.28050e+04 9.63337e-01
1.28450e+04 1.00000e+00
1.28850e+04 9.93904e-01
1.29250e+04 9.89119e-01
1.29650e+04 9.62043e-01
1.30050e+04 9.67765e-01
1.30450e+04 9.50063e-01
1.30850e+04 9.81898e-01
1.31250e+04 8.66386e-01
1.31650e+04 9.45561e-01
1.32050e+04 9.40873e-01
1.32450e+04 9.19433e-01
1.32850e+04 7.88989e-01
1.33250e+04 8.89067e-01
1.33650e+04 9.37709e-01
1.34050e+04 8.71268e-01
1.34450e+04 8.32092e-01
1.34850e+04 6.13054e-01
1.35250e+04 2.66203e-01
1.35650e+04 3.62863e-02
1.36050e+04 2.23631e-02
1.36450e+04 0.00000e+00
1.36850e+04 0.00000e+00
