# IMACS-sloan_g_blue01a
# photon
# from FILTER.RES.DR34.latest
3.91498e+03 0.00000e+00
3.92449e+03 0.00000e+00
3.93400e+03 0.00000e+00
3.94351e+03 1.74568e+00
3.95302e+03 2.17309e+00
3.96253e+03 2.41347e+00
3.97204e+03 3.00269e+00
3.98155e+03 5.11917e+00
3.99106e+03 9.96488e+00
4.00057e+03 1.97251e+01
4.01008e+03 3.48945e+01
4.01959e+03 5.07900e+01
4.02910e+03 6.06311e+01
4.03861e+03 6.42451e+01
4.04812e+03 6.50070e+01
4.05763e+03 6.52145e+01
4.06715e+03 6.54972e+01
4.07666e+03 6.59545e+01
4.08617e+03 6.66272e+01
4.09568e+03 6.71968e+01
4.10519e+03 6.76878e+01
4.11470e+03 6.79921e+01
4.12421e+03 6.83536e+01
4.13372e+03 6.87799e+01
4.14323e+03 6.92083e+01
4.15274e+03 6.95911e+01
4.16225e+03 6.98563e+01
4.17176e+03 7.02695e+01
4.18127e+03 7.06066e+01
4.19078e+03 7.09118e+01
4.20029e+03 7.11263e+01
4.20980e+03 7.13560e+01
4.21931e+03 7.16499e+01
4.22882e+03 7.20176e+01
4.23833e+03 7.23052e+01
4.24784e+03 7.26129e+01
4.25735e+03 7.29253e+01
4.26686e+03 7.33244e+01
4.27637e+03 7.36674e+01
4.28588e+03 7.39469e+01
4.29539e+03 7.42570e+01
4.30490e+03 7.45511e+01
4.31441e+03 7.49835e+01
4.32392e+03 7.53579e+01
4.33344e+03 7.56095e+01
4.34295e+03 7.60837e+01
4.35246e+03 7.64065e+01
4.36197e+03 7.67162e+01
4.37148e+03 7.70520e+01
4.38099e+03 7.73802e+01
4.39050e+03 7.75348e+01
4.40001e+03 7.77073e+01
4.40952e+03 7.79857e+01
4.41903e+03 7.83056e+01
4.42854e+03 7.86012e+01
4.43805e+03 7.88097e+01
4.44756e+03 7.90171e+01
4.45707e+03 7.92986e+01
4.46658e+03 7.96148e+01
4.47609e+03 7.99681e+01
4.48560e+03 8.02227e+01
4.49511e+03 8.03772e+01
4.50462e+03 8.05134e+01
4.51413e+03 8.08108e+01
4.52364e+03 8.09991e+01
4.53315e+03 8.12961e+01
4.54266e+03 8.16004e+01
4.55217e+03 8.16260e+01
4.56168e+03 8.17249e+01
4.57119e+03 8.20194e+01
4.58070e+03 8.22434e+01
4.59022e+03 8.24470e+01
4.59973e+03 8.25727e+01
4.60924e+03 8.27238e+01
4.61875e+03 8.29805e+01
4.62826e+03 8.32248e+01
4.63777e+03 8.34109e+01
4.64728e+03 8.36617e+01
4.65679e+03 8.37742e+01
4.66630e+03 8.38864e+01
4.67581e+03 8.40976e+01
4.68532e+03 8.42959e+01
4.69483e+03 8.45233e+01
4.70434e+03 8.47637e+01
4.71385e+03 8.50134e+01
4.72336e+03 8.51757e+01
4.73287e+03 8.53873e+01
4.74238e+03 8.54926e+01
4.75189e+03 8.56830e+01
4.76140e+03 8.59192e+01
4.77091e+03 8.60682e+01
4.78042e+03 8.62083e+01
4.78993e+03 8.63571e+01
4.79944e+03 8.64841e+01
4.80895e+03 8.66440e+01
4.81846e+03 8.68125e+01
4.82797e+03 8.69178e+01
4.83748e+03 8.69064e+01
4.84699e+03 8.69773e+01
4.85651e+03 8.70793e+01
4.86602e+03 8.71318e+01
4.87553e+03 8.71356e+01
4.88504e+03 8.71655e+01
4.89455e+03 8.72113e+01
4.90406e+03 8.72001e+01
4.91357e+03 8.71163e+01
4.92308e+03 8.70374e+01
4.93259e+03 8.69459e+01
4.94210e+03 8.68873e+01
4.95161e+03 8.69704e+01
4.96112e+03 8.69241e+01
4.97063e+03 8.68613e+01
4.98014e+03 8.68822e+01
4.98965e+03 8.70144e+01
4.99916e+03 8.71014e+01
5.00867e+03 8.69760e+01
5.01818e+03 8.69300e+01
5.02769e+03 8.69776e+01
5.03720e+03 8.69605e+01
5.04671e+03 8.69669e+01
5.05622e+03 8.69696e+01
5.06573e+03 8.68702e+01
5.07524e+03 8.67685e+01
