# IMACS-sloan_i_red01a
# photon
# from FILTER.RES.DR34.latest
6.65481e+03 0.00000e+00
6.67025e+03 0.00000e+00
6.68570e+03 0.00000e+00
6.70115e+03 2.79494e-02
6.71659e+03 1.14672e-01
6.73204e+03 3.04283e-01
6.74748e+03 4.85112e-01
6.76293e+03 8.25089e-01
6.77838e+03 1.44339e+00
6.79382e+03 2.39844e+00
6.80927e+03 3.74606e+00
6.82471e+03 5.66981e+00
6.84016e+03 8.21702e+00
6.85561e+03 1.14766e+01
6.87105e+03 1.53571e+01
6.88650e+03 1.98946e+01
6.90194e+03 2.49881e+01
6.91739e+03 3.05713e+01
6.93284e+03 3.61601e+01
6.94828e+03 4.17761e+01
6.96373e+03 4.71479e+01
6.97917e+03 5.22444e+01
6.99462e+03 5.69968e+01
7.01007e+03 6.12016e+01
7.02551e+03 6.50790e+01
7.04096e+03 6.84892e+01
7.05640e+03 7.14436e+01
7.07185e+03 7.42528e+01
7.08730e+03 7.66645e+01
7.10274e+03 7.88163e+01
7.11819e+03 8.08840e+01
7.13363e+03 8.25598e+01
7.14908e+03 8.39809e+01
7.16453e+03 8.53535e+01
7.17997e+03 8.64067e+01
7.19542e+03 8.72995e+01
7.21086e+03 8.79548e+01
7.22631e+03 8.87512e+01
7.24176e+03 8.93098e+01
7.25720e+03 8.98430e+01
7.27265e+03 9.02782e+01
7.28809e+03 9.06871e+01
7.30354e+03 9.12254e+01
7.31899e+03 9.14056e+01
7.33443e+03 9.18815e+01
7.34988e+03 9.22522e+01
7.36532e+03 9.25253e+01
7.38077e+03 9.28278e+01
7.39622e+03 9.30676e+01
7.41166e+03 9.32817e+01
7.42711e+03 9.32929e+01
7.44256e+03 9.34659e+01
7.45800e+03 9.34253e+01
7.47345e+03 9.34535e+01
7.48889e+03 9.34280e+01
7.50434e+03 9.35573e+01
7.51979e+03 9.35841e+01
7.53523e+03 9.37393e+01
7.55068e+03 9.39770e+01
7.56612e+03 9.38871e+01
7.58157e+03 9.40534e+01
7.59702e+03 9.40239e+01
7.61246e+03 9.41567e+01
7.62791e+03 9.40220e+01
7.64335e+03 9.43941e+01
7.65880e+03 9.44873e+01
7.67425e+03 9.43759e+01
7.68969e+03 9.44417e+01
7.70514e+03 9.44946e+01
7.72058e+03 9.44554e+01
7.73603e+03 9.45518e+01
7.75148e+03 9.46975e+01
7.76692e+03 9.45801e+01
7.78237e+03 9.45702e+01
7.79781e+03 9.47002e+01
7.81326e+03 9.45243e+01
7.82871e+03 9.45112e+01
7.84415e+03 9.46239e+01
7.85960e+03 9.44246e+01
7.87504e+03 9.43908e+01
7.89049e+03 9.43115e+01
7.90594e+03 9.44315e+01
7.92138e+03 9.45863e+01
7.93683e+03 9.45663e+01
7.95227e+03 9.48632e+01
7.96772e+03 9.48364e+01
7.98317e+03 9.49320e+01
7.99861e+03 9.49561e+01
8.01406e+03 9.49891e+01
8.02950e+03 9.50509e+01
8.04495e+03 9.48039e+01
8.06040e+03 9.47846e+01
8.07584e+03 9.47761e+01
8.09129e+03 9.47733e+01
8.10673e+03 9.47117e+01
8.12218e+03 9.48184e+01
8.13763e+03 9.47619e+01
8.15307e+03 9.46707e+01
8.16852e+03 9.48817e+01
8.18396e+03 9.48921e+01
8.19941e+03 9.51147e+01
8.21486e+03 9.48461e+01
8.23030e+03 9.50098e+01
8.24575e+03 9.48626e+01
8.26119e+03 9.50566e+01
8.27664e+03 9.50050e+01
8.29209e+03 9.50826e+01
8.30753e+03 9.51496e+01
8.32298e+03 9.50790e+01
8.33842e+03 9.51909e+01
8.35387e+03 9.52592e+01
8.36932e+03 9.54353e+01
8.38476e+03 9.55976e+01
8.40021e+03 9.53732e+01
8.41565e+03 9.46001e+01
8.43110e+03 9.13860e+01
8.44655e+03 8.43438e+01
8.46199e+03 7.23663e+01
8.47744e+03 5.69911e+01
8.49288e+03 4.06202e+01
8.50833e+03 2.70400e+01
8.52378e+03 1.72881e+01
8.53922e+03 1.07844e+01
8.55467e+03 6.73979e+00
8.57011e+03 4.27856e+00
8.58556e+03 2.67062e+00
8.60101e+03 1.72537e+00
8.61645e+03 1.20590e+00
8.63190e+03 8.03477e-01
8.64734e+03 3.18206e-01
8.66279e+03 7.22791e-02
8.67824e+03 5.25817e-02
8.69368e+03 2.33371e-02
8.70913e+03 1.86162e-02
8.72457e+03 0.00000e+00
8.74002e+03 0.00000e+00
8.75547e+03 0.00000e+00
