# IMACS-sloan_r_red01a
# photon
# from FILTER.RES.DR34.latest
5.97651e+03 0.00000e+00
5.98950e+03 0.00000e+00
6.00250e+03 0.00000e+00
6.01550e+03 8.95722e+01
6.02849e+03 8.97301e+01
6.04149e+03 9.00666e+01
6.05448e+03 9.04826e+01
6.06748e+03 9.07701e+01
6.08047e+03 9.09049e+01
6.09347e+03 9.08957e+01
6.10647e+03 9.08748e+01
6.11946e+03 9.07395e+01
6.13246e+03 9.05620e+01
6.14545e+03 9.02672e+01
6.15845e+03 9.00787e+01
6.17145e+03 8.98880e+01
6.18444e+03 8.97439e+01
6.19744e+03 8.98050e+01
6.21043e+03 8.99293e+01
6.22343e+03 9.00769e+01
6.23642e+03 9.01514e+01
6.24942e+03 9.03989e+01
6.26242e+03 9.06754e+01
6.27541e+03 9.09554e+01
6.28841e+03 9.11638e+01
6.30140e+03 9.12038e+01
6.31440e+03 9.11800e+01
6.32739e+03 9.10961e+01
6.34039e+03 9.09716e+01
6.35339e+03 9.07855e+01
6.36638e+03 9.05602e+01
6.37938e+03 9.05251e+01
6.39237e+03 9.04920e+01
6.40537e+03 9.04129e+01
6.41837e+03 9.06237e+01
6.43136e+03 9.07298e+01
6.44436e+03 9.08411e+01
6.45735e+03 9.10974e+01
6.47035e+03 9.13628e+01
6.48334e+03 9.15114e+01
6.49634e+03 9.16656e+01
6.50934e+03 9.15863e+01
6.52233e+03 9.16198e+01
6.53533e+03 9.15464e+01
6.54832e+03 9.13199e+01
6.56132e+03 9.10861e+01
6.57431e+03 9.09826e+01
6.58731e+03 9.08969e+01
6.60031e+03 9.07734e+01
6.61330e+03 9.06436e+01
6.62630e+03 9.06274e+01
6.63929e+03 9.06649e+01
6.65229e+03 9.10064e+01
6.66529e+03 9.11816e+01
6.67828e+03 9.14910e+01
6.69128e+03 9.17644e+01
6.70427e+03 9.18168e+01
6.71727e+03 9.17606e+01
6.73026e+03 9.17307e+01
6.74326e+03 9.15947e+01
6.75626e+03 9.12705e+01
6.76925e+03 9.12389e+01
6.78225e+03 9.11407e+01
6.79524e+03 9.12922e+01
6.80824e+03 9.14679e+01
6.82124e+03 9.18434e+01
6.83423e+03 9.19257e+01
6.84723e+03 9.20641e+01
6.86022e+03 9.20583e+01
6.87322e+03 9.17567e+01
6.88621e+03 9.14077e+01
6.89921e+03 9.11327e+01
6.91221e+03 9.11180e+01
6.92520e+03 9.14176e+01
6.93820e+03 9.19078e+01
6.95119e+03 9.10875e+01
6.96419e+03 8.63464e+01
6.97718e+03 7.48697e+01
6.99018e+03 5.72620e+01
7.00318e+03 3.86170e+01
7.01617e+03 2.35629e+01
7.02917e+03 1.37524e+01
7.04216e+03 8.01628e+00
7.05516e+03 4.71356e+00
7.06816e+03 2.84809e+00
7.08115e+03 1.76294e+00
7.09415e+03 1.11797e+00
7.10714e+03 7.40415e-01
7.12014e+03 5.01284e-01
7.13313e+03 3.94974e-01
7.14613e+03 1.88951e-01
7.15913e+03 8.03875e-02
7.17212e+03 1.69196e-02
7.18512e+03 0.00000e+00
7.19811e+03 0.00000e+00
7.21111e+03 0.00000e+00
