# IMACS-sloan_z_red01a
# photon
# from FILTER.RES.DR34.latest
8.04005e+03 0.00000e+00
8.05948e+03 0.00000e+00
8.07890e+03 0.00000e+00
8.09832e+03 1.45667e-01
8.11775e+03 4.47732e-01
8.13717e+03 8.94664e-01
8.15660e+03 1.15241e+00
8.17602e+03 1.94626e+00
8.19544e+03 2.97177e+00
8.21487e+03 4.53089e+00
8.23429e+03 7.08178e+00
8.25372e+03 1.11382e+01
8.27314e+03 1.74004e+01
8.29257e+03 2.63744e+01
8.31199e+03 3.84889e+01
8.33141e+03 5.22222e+01
8.35084e+03 6.58312e+01
8.37026e+03 7.67501e+01
8.38969e+03 8.45797e+01
8.40911e+03 8.95487e+01
8.42853e+03 9.24543e+01
8.44796e+03 9.36384e+01
8.46738e+03 9.41915e+01
8.48681e+03 9.47092e+01
8.50623e+03 9.46450e+01
8.52565e+03 9.47693e+01
8.54508e+03 9.45447e+01
8.56450e+03 9.44974e+01
8.58393e+03 9.44398e+01
8.60335e+03 9.42956e+01
8.62277e+03 9.45702e+01
8.64220e+03 9.45239e+01
8.66162e+03 9.43938e+01
8.68105e+03 9.42933e+01
8.70047e+03 9.40679e+01
8.71990e+03 9.40814e+01
8.73932e+03 9.44136e+01
8.75874e+03 9.43338e+01
8.77817e+03 9.44722e+01
8.79759e+03 9.43767e+01
8.81702e+03 9.42203e+01
8.83644e+03 9.40627e+01
8.85586e+03 9.41482e+01
8.87529e+03 9.41605e+01
8.89471e+03 9.40946e+01
8.91414e+03 9.41885e+01
8.93356e+03 9.42770e+01
8.95298e+03 9.40241e+01
8.97241e+03 9.46859e+01
8.99183e+03 9.40069e+01
9.01126e+03 9.44444e+01
9.03068e+03 9.45042e+01
9.05010e+03 9.45184e+01
9.06953e+03 9.47038e+01
9.08895e+03 9.47709e+01
9.10838e+03 9.44723e+01
9.12780e+03 9.46674e+01
9.14723e+03 9.42028e+01
9.16665e+03 9.49348e+01
9.18607e+03 9.48390e+01
9.20550e+03 9.46130e+01
9.22492e+03 9.42478e+01
9.24435e+03 9.43681e+01
9.26377e+03 9.44612e+01
9.28319e+03 9.44960e+01
9.30262e+03 9.46884e+01
9.32204e+03 9.44824e+01
9.34147e+03 9.48608e+01
9.36089e+03 9.47818e+01
9.38031e+03 9.43610e+01
9.39974e+03 9.47037e+01
9.41916e+03 9.46703e+01
9.43859e+03 9.30750e+01
9.45801e+03 9.40574e+01
9.47743e+03 9.41995e+01
9.49686e+03 9.45847e+01
9.51628e+03 9.43542e+01
9.53571e+03 9.45376e+01
9.55513e+03 9.43295e+01
9.57456e+03 9.43673e+01
9.59398e+03 9.48846e+01
9.61340e+03 9.50004e+01
9.63283e+03 9.51698e+01
9.65225e+03 9.54437e+01
9.67168e+03 9.51203e+01
9.69110e+03 9.48834e+01
9.71052e+03 9.48507e+01
9.72995e+03 9.50400e+01
9.74937e+03 9.50918e+01
9.76880e+03 9.53685e+01
9.78822e+03 9.50810e+01
9.80764e+03 9.52124e+01
9.82707e+03 9.44837e+01
9.84649e+03 9.52405e+01
9.86592e+03 9.50462e+01
9.88534e+03 9.53054e+01
9.90477e+03 9.60702e+01
9.92419e+03 9.56019e+01
9.94361e+03 9.54798e+01
9.96304e+03 9.62608e+01
9.98246e+03 9.51833e+01
1.00019e+04 9.62058e+01
1.00213e+04 9.59010e+01
1.00407e+04 9.60828e+01
1.00602e+04 9.54329e+01
1.00796e+04 9.58926e+01
1.00990e+04 9.58513e+01
1.01184e+04 9.63161e+01
1.01379e+04 9.57229e+01
1.01573e+04 9.41644e+01
1.01767e+04 9.64055e+01
1.01961e+04 9.47013e+01
1.02156e+04 9.52605e+01
1.02350e+04 9.62040e+01
1.02544e+04 9.54590e+01
1.02738e+04 9.44742e+01
1.02932e+04 9.44321e+01
1.03127e+04 9.28737e+01
1.03321e+04 9.79384e+01
1.03515e+04 9.31325e+01
1.03709e+04 9.34097e+01
1.03904e+04 9.86022e+01
1.04098e+04 9.46700e+01
1.04292e+04 9.31496e+01
1.04486e+04 9.76711e+01
1.04681e+04 9.92243e+01
1.04875e+04 9.16552e+01
1.05069e+04 9.24906e+01
1.05263e+04 9.44227e+01
1.05458e+04 1.00011e+02
1.05652e+04 9.58264e+01
1.05846e+04 9.19224e+01
1.06040e+04 9.17347e+01
1.06235e+04 9.53842e+01
1.06429e+04 1.00401e+02
1.06623e+04 1.00056e+02
1.06817e+04 9.94065e+01
1.07012e+04 9.94841e+01
1.07206e+04 9.58934e+01
1.07400e+04 9.59566e+01
1.07594e+04 9.04900e+01
1.07788e+04 8.08486e+01
1.07983e+04 8.76234e+01
1.08177e+04 8.35906e+01
1.08371e+04 8.30490e+01
1.08565e+04 9.52594e+01
1.08760e+04 1.00018e+02
1.08954e+04 1.00939e+02
1.09148e+04 1.01775e+02
1.09342e+04 1.02913e+02
1.09537e+04 1.01604e+02
1.09731e+04 1.01011e+02
1.09925e+04 9.67071e+01
1.10119e+04 9.34803e+01
1.10314e+04 9.75201e+01
1.10508e+04 8.77779e+01
1.10702e+04 8.90741e+01
1.10896e+04 8.39761e+01
1.11091e+04 7.23553e+01
1.11285e+04 6.76868e+01
1.11479e+04 6.00338e+01
1.11673e+04 8.80856e+01
1.11868e+04 5.18811e+01
1.12062e+04 0.00000e+00
1.12256e+04 0.00000e+00
1.12450e+04 0.00000e+00
