# KPNO-FLAMINGOS.BARR.J.MAN240.ColdWitness
# photon
# from FILTER.RES.DR34.latest
1.02400e+04 0.00000e+00
1.02800e+04 0.00000e+00
1.03200e+04 1.15403e-03
1.03600e+04 1.21878e-03
1.04000e+04 1.11614e-03
1.04400e+04 1.07558e-03
1.04800e+04 2.14938e-04
1.05200e+04 2.76963e-04
1.05600e+04 7.64231e-05
1.06000e+04 1.70365e-04
1.06400e+04 2.06820e-05
1.06800e+04 1.11362e-04
1.07200e+04 3.27407e-04
1.07600e+04 3.03333e-04
1.08000e+04 2.41499e-04
1.08400e+04 5.69665e-04
1.08800e+04 2.51894e-04
1.09200e+04 2.10870e-04
1.09600e+04 3.52614e-04
1.10000e+04 2.81337e-04
1.10400e+04 4.72546e-04
1.10800e+04 2.30648e-04
1.11200e+04 6.78223e-04
1.11600e+04 5.83357e-04
1.12000e+04 5.45405e-04
1.12400e+04 1.36559e-04
1.12800e+04 5.75350e-04
1.13200e+04 6.42754e-04
1.13600e+04 9.48829e-04
1.14000e+04 2.24642e-03
1.14400e+04 3.22493e-03
1.14800e+04 4.40765e-03
1.15200e+04 9.24233e-03
1.15600e+04 2.35219e-02
1.16000e+04 7.37847e-02
1.16400e+04 2.21277e-01
1.16800e+04 4.05272e-01
1.17200e+04 5.77074e-01
1.17600e+04 7.72387e-01
1.18000e+04 9.05311e-01
1.18400e+04 9.04231e-01
1.18800e+04 9.43302e-01
1.19200e+04 9.66320e-01
1.19600e+04 9.70196e-01
1.20000e+04 9.24654e-01
1.20400e+04 9.20094e-01
1.20800e+04 9.41907e-01
1.21200e+04 9.64009e-01
1.21600e+04 9.68537e-01
1.22000e+04 9.81035e-01
1.22400e+04 9.82558e-01
1.22800e+04 9.99817e-01
1.23200e+04 1.00000e+00
1.23600e+04 9.81417e-01
1.24000e+04 9.65672e-01
1.24400e+04 9.56851e-01
1.24800e+04 9.56144e-01
1.25200e+04 9.56199e-01
1.25600e+04 9.45413e-01
1.26000e+04 9.17228e-01
1.26400e+04 8.87647e-01
1.26800e+04 8.78516e-01
1.27200e+04 8.55799e-01
1.27600e+04 9.30254e-01
1.28000e+04 9.58768e-01
1.28400e+04 9.57651e-01
1.28800e+04 9.30760e-01
1.29200e+04 8.95931e-01
1.29600e+04 8.67527e-01
1.30000e+04 8.53918e-01
1.30400e+04 8.49163e-01
1.30800e+04 8.62082e-01
1.31200e+04 8.76185e-01
1.31600e+04 8.96599e-01
1.32000e+04 8.58143e-01
1.32400e+04 6.27284e-01
1.32800e+04 3.32119e-01
1.33200e+04 1.26440e-01
1.33600e+04 4.92716e-02
1.34000e+04 2.17313e-02
1.34400e+04 8.76249e-03
1.34800e+04 3.16791e-03
1.35200e+04 1.04158e-03
1.35600e+04 2.46616e-04
1.36000e+04 7.50194e-05
1.36400e+04 4.87844e-05
1.36800e+04 6.72340e-05
1.37200e+04 1.73017e-05
1.37600e+04 3.45142e-06
1.38000e+04 3.53638e-05
1.38400e+04 6.97336e-06
1.38800e+04 4.80515e-05
1.39200e+04 9.73723e-05
1.39600e+04 7.86044e-05
1.40000e+04 4.92436e-05
1.40400e+04 1.52577e-05
1.40800e+04 5.52032e-05
1.41200e+04 4.52295e-05
1.41600e+04 7.88359e-05
1.42000e+04 2.05118e-04
1.42400e+04 1.21310e-04
1.42800e+04 1.41530e-04
1.43200e+04 9.46882e-05
1.43600e+04 6.54757e-05
1.44000e+04 1.76353e-04
1.44400e+04 1.18192e-04
1.44800e+04 7.55288e-05
1.45200e+04 7.13278e-05
1.45600e+04 1.90014e-04
1.46000e+04 1.66983e-04
1.46400e+04 1.27381e-04
1.46800e+04 3.11456e-04
1.47200e+04 1.73327e-04
1.47600e+04 1.68296e-04
1.48000e+04 1.65641e-04
1.48400e+04 3.28454e-04
1.48800e+04 5.47944e-04
1.49200e+04 4.28992e-04
1.49600e+04 4.99072e-04
1.50000e+04 2.44892e-04
1.50400e+04 6.50885e-04
1.50800e+04 8.27289e-04
1.51200e+04 7.53174e-04
1.51600e+04 4.36691e-04
1.52000e+04 1.11976e-04
1.52400e+04 9.99935e-05
1.52800e+04 3.39191e-04
1.53200e+04 3.58754e-04
1.53600e+04 4.96726e-04
1.54000e+04 8.44308e-04
1.54400e+04 5.76070e-04
1.54800e+04 9.64510e-04
1.55200e+04 6.01231e-04
1.55600e+04 5.50062e-04
1.56000e+04 1.00612e-04
1.56400e+04 8.83741e-05
1.56800e+04 2.50623e-04
1.57200e+04 3.06739e-04
1.57600e+04 3.85501e-04
1.58000e+04 1.77167e-04
1.58400e+04 0.00000e+00
1.58800e+04 0.00000e+00
