# KPNO-FLAMINGOS.BARR.Ks.MAN306A.ColdWitness
# photon
# from FILTER.RES.DR34.latest
1.69850e+04 0.00000e+00
1.70550e+04 0.00000e+00
1.71250e+04 3.83183e-03
1.71950e+04 1.43018e-03
1.72650e+04 8.91311e-04
1.73350e+04 1.21152e-03
1.74050e+04 6.38495e-04
1.74750e+04 6.27709e-04
1.75450e+04 7.47721e-04
1.76150e+04 5.17541e-04
1.76850e+04 7.04602e-04
1.77550e+04 4.23329e-04
1.78250e+04 7.02102e-04
1.78950e+04 6.32868e-04
1.79650e+04 8.54823e-04
1.80350e+04 6.56433e-04
1.81050e+04 4.93548e-04
1.81750e+04 3.73420e-04
1.82450e+04 3.08913e-04
1.83150e+04 1.46373e-04
1.83850e+04 6.82944e-05
1.84550e+04 1.74087e-04
1.85250e+04 1.75038e-04
1.85950e+04 1.53600e-04
1.86650e+04 2.21324e-04
1.87350e+04 2.41134e-05
1.88050e+04 2.24166e-04
1.88750e+04 3.29923e-04
1.89450e+04 2.98767e-04
1.90150e+04 2.03582e-04
1.90850e+04 2.60797e-04
1.91550e+04 2.84256e-04
1.92250e+04 5.69444e-04
1.92950e+04 5.12176e-04
1.93650e+04 7.21366e-04
1.94350e+04 1.07606e-03
1.95050e+04 1.53874e-03
1.95750e+04 1.92301e-03
1.96450e+04 6.09707e-03
1.97150e+04 2.23840e-02
1.97850e+04 7.72913e-02
1.98550e+04 2.31572e-01
1.99250e+04 5.47349e-01
1.99950e+04 5.25687e-01
2.00650e+04 2.32436e-01
2.01350e+04 3.65075e-01
2.02050e+04 4.66434e-01
2.02750e+04 7.81297e-01
2.03450e+04 9.39394e-01
2.04150e+04 9.36039e-01
2.04850e+04 8.47673e-01
2.05550e+04 6.21709e-01
2.06250e+04 7.12402e-01
2.06950e+04 7.03256e-01
2.07650e+04 8.42728e-01
2.08350e+04 9.27167e-01
2.09050e+04 9.33111e-01
2.09750e+04 9.71572e-01
2.10450e+04 9.78210e-01
2.11150e+04 9.70411e-01
2.11850e+04 9.69768e-01
2.12550e+04 9.65924e-01
2.13250e+04 9.76193e-01
2.13950e+04 9.91002e-01
2.14650e+04 1.00000e+00
2.15350e+04 9.88332e-01
2.16050e+04 9.86725e-01
2.16750e+04 9.79621e-01
2.17450e+04 9.85241e-01
2.18150e+04 9.79294e-01
2.18850e+04 9.68258e-01
2.19550e+04 9.55321e-01
2.20250e+04 8.83168e-01
2.20950e+04 9.18069e-01
2.21650e+04 9.27570e-01
2.22350e+04 9.22778e-01
2.23050e+04 9.13729e-01
2.23750e+04 9.07426e-01
2.24450e+04 9.08784e-01
2.25150e+04 9.12533e-01
2.25850e+04 8.82668e-01
2.26550e+04 8.93777e-01
2.27250e+04 8.82930e-01
2.27950e+04 8.76937e-01
2.28650e+04 8.56265e-01
2.29350e+04 7.21282e-01
2.30050e+04 5.49330e-01
2.30750e+04 3.56960e-01
2.31450e+04 2.08559e-01
2.32150e+04 7.95352e-02
2.32850e+04 3.69318e-02
2.33550e+04 1.55914e-02
2.34250e+04 6.89446e-03
2.34950e+04 3.59408e-03
2.35650e+04 2.05110e-03
2.36350e+04 1.63035e-03
2.37050e+04 9.32052e-04
2.37750e+04 7.82724e-04
2.38450e+04 8.40899e-04
2.39150e+04 7.08870e-04
2.39850e+04 1.04818e-03
2.40550e+04 1.04685e-03
2.41250e+04 1.25118e-03
2.41950e+04 1.05842e-03
2.42650e+04 1.21395e-03
2.43350e+04 1.25993e-03
2.44050e+04 1.34228e-03
2.44750e+04 9.79386e-04
2.45450e+04 0.00000e+00
2.46150e+04 0.00000e+00
