# KPNO-IRIMH
# photon
# from FILTER.RES.DR34.latest
1.44000e+04 0.00000e+00
1.45000e+04 0.00000e+00
1.46000e+04 0.00000e+00
1.47000e+04 9.03333e-03
1.48000e+04 2.82377e-02
1.49000e+04 1.03479e-01
1.50000e+04 2.68021e-01
1.51000e+04 5.43486e-01
1.52000e+04 8.19094e-01
1.53000e+04 9.31486e-01
1.54000e+04 9.39461e-01
1.55000e+04 9.49191e-01
1.56000e+04 9.70860e-01
1.57000e+04 9.52702e-01
1.58000e+04 9.34517e-01
1.59000e+04 9.89902e-01
1.60000e+04 9.77473e-01
1.61000e+04 9.38828e-01
1.62000e+04 1.00000e+00
1.63000e+04 9.87002e-01
1.64000e+04 9.71276e-01
1.65000e+04 9.52430e-01
1.66000e+04 9.80112e-01
1.67000e+04 9.59632e-01
1.68000e+04 9.72023e-01
1.69000e+04 9.81394e-01
1.70000e+04 9.72363e-01
1.71000e+04 9.50729e-01
1.72000e+04 9.65961e-01
1.73000e+04 9.36559e-01
1.74000e+04 9.29996e-01
1.75000e+04 8.69712e-01
1.76000e+04 8.69595e-01
1.77000e+04 8.07107e-01
1.78000e+04 6.01349e-01
1.79000e+04 4.24355e-01
1.80000e+04 2.00610e-01
1.81000e+04 6.96063e-02
1.82000e+04 2.60351e-02
1.83000e+04 6.34035e-03
1.84000e+04 7.43787e-04
1.85000e+04 3.74639e-04
1.86000e+04 0.00000e+00
