# KPNO-IRIMJ
# photon
# from FILTER.RES.DR34.latest
1.06000e+04 0.00000e+00
1.07000e+04 1.60307e-02
1.08000e+04 1.42779e-01
1.09000e+04 5.44087e-01
1.10000e+04 6.51952e-01
1.11000e+04 6.36713e-01
1.12000e+04 5.02137e-01
1.13000e+04 5.39773e-01
1.14000e+04 6.92724e-01
1.15000e+04 6.23388e-01
1.16000e+04 7.73335e-01
1.17000e+04 8.53291e-01
1.18000e+04 8.82020e-01
1.19000e+04 8.47818e-01
1.20000e+04 8.89201e-01
1.21000e+04 9.32070e-01
1.22000e+04 9.71619e-01
1.23000e+04 9.98123e-01
1.24000e+04 9.94985e-01
1.25000e+04 9.88548e-01
1.26000e+04 9.30080e-01
1.27000e+04 8.14861e-01
1.28000e+04 9.34241e-01
1.29000e+04 9.62289e-01
1.30000e+04 1.00000e+00
1.31000e+04 9.73820e-01
1.32000e+04 9.64831e-01
1.33000e+04 9.07044e-01
1.34000e+04 8.58824e-01
1.35000e+04 4.40241e-01
1.36000e+04 1.80156e-01
1.37000e+04 1.19567e-01
1.38000e+04 1.55264e-01
1.39000e+04 7.80762e-02
1.40000e+04 2.21467e-02
1.41000e+04 9.32311e-03
1.42000e+04 4.94925e-03
1.43000e+04 0.00000e+00
