# LRIS-Rs_LRISred_transmission
# photon
# from FILTER.RES.DR34.latest
4.80500e+03 0.00000e+00
4.82500e+03 0.00000e+00
4.84500e+03 2.66798e-03
4.86500e+03 2.65972e-03
4.88500e+03 2.61773e-03
4.90500e+03 2.53523e-03
4.92500e+03 2.49165e-03
4.94500e+03 2.48224e-03
4.96500e+03 2.43099e-03
4.98500e+03 2.42949e-03
5.00500e+03 2.42466e-03
5.02500e+03 2.38283e-03
5.04500e+03 2.35332e-03
5.06500e+03 2.31548e-03
5.08500e+03 2.28101e-03
5.10500e+03 2.25710e-03
5.12500e+03 2.21472e-03
5.14500e+03 2.18224e-03
5.16500e+03 2.15827e-03
5.18500e+03 2.14506e-03
5.20500e+03 2.13620e-03
5.22500e+03 2.11765e-03
5.24500e+03 2.13232e-03
5.26500e+03 2.12015e-03
5.28500e+03 2.11365e-03
5.30500e+03 2.09296e-03
5.32500e+03 2.08514e-03
5.34500e+03 2.09751e-03
5.36500e+03 2.09885e-03
5.38500e+03 2.11028e-03
5.40500e+03 2.09462e-03
5.42500e+03 2.11510e-03
5.44500e+03 2.13090e-03
5.46500e+03 2.13592e-03
5.48500e+03 2.16387e-03
5.50500e+03 2.18902e-03
5.52500e+03 2.20539e-03
5.54500e+03 2.24115e-03
5.56500e+03 2.26479e-03
5.58500e+03 2.31205e-03
5.60500e+03 2.36025e-03
5.62500e+03 2.38413e-03
5.64500e+03 2.42058e-03
5.66500e+03 2.48231e-03
5.68500e+03 2.54887e-03
5.70500e+03 2.60625e-03
5.72500e+03 2.68095e-03
5.74500e+03 2.76919e-03
5.76500e+03 2.86178e-03
5.78500e+03 2.96974e-03
5.80500e+03 3.07913e-03
5.82500e+03 3.20809e-03
5.84500e+03 3.34013e-03
5.86500e+03 3.49510e-03
5.88500e+03 3.63507e-03
5.90500e+03 3.80661e-03
5.92500e+03 4.07059e-03
5.94500e+03 4.33429e-03
5.96500e+03 4.67835e-03
5.98500e+03 5.38520e-03
6.00500e+03 7.97693e-03
6.02500e+03 1.73453e-02
6.04500e+03 4.17318e-02
6.06500e+03 8.94098e-02
6.08500e+03 1.62006e-01
6.10500e+03 2.53059e-01
6.12500e+03 3.52960e-01
6.14500e+03 4.51879e-01
6.16500e+03 5.44045e-01
6.18500e+03 6.26205e-01
6.20500e+03 6.96455e-01
6.22500e+03 7.55279e-01
6.24500e+03 8.03086e-01
6.26500e+03 8.41337e-01
6.28500e+03 8.72715e-01
6.30500e+03 8.99500e-01
6.32500e+03 9.21165e-01
6.34500e+03 9.39583e-01
6.36500e+03 9.53438e-01
6.38500e+03 9.63571e-01
6.40500e+03 9.69017e-01
6.42500e+03 9.73373e-01
6.44500e+03 9.76228e-01
6.46500e+03 9.78997e-01
6.48500e+03 9.82503e-01
6.50500e+03 9.86502e-01
6.52500e+03 9.89922e-01
6.54500e+03 9.91754e-01
6.56500e+03 9.93800e-01
6.58500e+03 9.95069e-01
6.60500e+03 9.95540e-01
6.62500e+03 9.97379e-01
6.64500e+03 9.98381e-01
6.66500e+03 9.98315e-01
6.68500e+03 9.96883e-01
6.70500e+03 9.92236e-01
6.72500e+03 9.88982e-01
6.74500e+03 9.83613e-01
6.76500e+03 9.79752e-01
6.78500e+03 9.79695e-01
6.80500e+03 9.83112e-01
6.82500e+03 9.89061e-01
6.84500e+03 9.94557e-01
6.86500e+03 9.99678e-01
6.88500e+03 1.00000e+00
6.90500e+03 9.96493e-01
6.92500e+03 9.89860e-01
6.94500e+03 9.82769e-01
6.96500e+03 9.77359e-01
6.98500e+03 9.75113e-01
7.00500e+03 9.76840e-01
7.02500e+03 9.81742e-01
7.04500e+03 9.87389e-01
7.06500e+03 9.92524e-01
7.08500e+03 9.94960e-01
7.10500e+03 9.95121e-01
7.12500e+03 9.94249e-01
7.14500e+03 9.92149e-01
7.16500e+03 9.90312e-01
7.18500e+03 9.89518e-01
7.20500e+03 9.88612e-01
7.22500e+03 9.87072e-01
7.24500e+03 9.83564e-01
7.26500e+03 9.78491e-01
7.28500e+03 9.69642e-01
7.30500e+03 9.56133e-01
7.32500e+03 9.37889e-01
7.34500e+03 9.21134e-01
7.36500e+03 9.17862e-01
7.38500e+03 9.15424e-01
7.40500e+03 8.06999e-01
7.42500e+03 4.95482e-01
7.44500e+03 2.08727e-01
7.46500e+03 8.52559e-02
7.48500e+03 4.32328e-02
7.50500e+03 2.76647e-02
7.52500e+03 2.07233e-02
7.54500e+03 1.70771e-02
7.56500e+03 1.48625e-02
7.58500e+03 1.32398e-02
7.60500e+03 1.27253e-02
7.62500e+03 1.16349e-02
7.64500e+03 1.10003e-02
7.66500e+03 1.02413e-02
7.68500e+03 9.68269e-03
7.70500e+03 9.34743e-03
7.72500e+03 9.02422e-03
7.74500e+03 8.80489e-03
7.76500e+03 8.68988e-03
7.78500e+03 8.45552e-03
7.80500e+03 8.38623e-03
7.82500e+03 8.30041e-03
7.84500e+03 8.14646e-03
7.86500e+03 8.11816e-03
7.88500e+03 8.05478e-03
7.90500e+03 8.07923e-03
7.92500e+03 8.09207e-03
7.94500e+03 8.07368e-03
7.96500e+03 7.98233e-03
7.98500e+03 7.95628e-03
8.00500e+03 8.01414e-03
8.02500e+03 8.04963e-03
8.04500e+03 8.03774e-03
8.06500e+03 8.06836e-03
8.08500e+03 8.09728e-03
8.10500e+03 8.09456e-03
8.12500e+03 8.16099e-03
8.14500e+03 8.16031e-03
8.16500e+03 8.17223e-03
8.18500e+03 8.28749e-03
8.20500e+03 8.21538e-03
8.22500e+03 8.22094e-03
8.24500e+03 8.18010e-03
8.26500e+03 8.07520e-03
8.28500e+03 8.13144e-03
8.30500e+03 8.05080e-03
8.32500e+03 8.00081e-03
8.34500e+03 8.06271e-03
8.36500e+03 8.15892e-03
8.38500e+03 8.09936e-03
8.40500e+03 8.13781e-03
8.42500e+03 8.07595e-03
8.44500e+03 8.07670e-03
8.46500e+03 8.04154e-03
8.48500e+03 7.98929e-03
8.50500e+03 7.91687e-03
8.52500e+03 7.91798e-03
8.54500e+03 7.68205e-03
8.56500e+03 7.70449e-03
8.58500e+03 7.88990e-03
8.60500e+03 7.82341e-03
8.62500e+03 7.74735e-03
8.64500e+03 7.87343e-03
8.66500e+03 7.84987e-03
8.68500e+03 7.97521e-03
8.70500e+03 7.90727e-03
8.72500e+03 8.12868e-03
8.74500e+03 8.01640e-03
8.76500e+03 8.07036e-03
8.78500e+03 8.00336e-03
8.80500e+03 7.91883e-03
8.82500e+03 8.11693e-03
8.84500e+03 8.04140e-03
8.86500e+03 7.97231e-03
8.88500e+03 8.24978e-03
8.90500e+03 8.16294e-03
8.92500e+03 8.29961e-03
8.94500e+03 8.41269e-03
8.96500e+03 8.56818e-03
8.98500e+03 8.68233e-03
9.00500e+03 8.96897e-03
9.02500e+03 9.09541e-03
9.04500e+03 9.29700e-03
9.06500e+03 9.51484e-03
9.08500e+03 9.81423e-03
9.10500e+03 1.01387e-02
9.12500e+03 1.03343e-02
9.14500e+03 1.07918e-02
9.16500e+03 1.10416e-02
9.18500e+03 1.14025e-02
9.20500e+03 1.18520e-02
9.22500e+03 1.21254e-02
9.24500e+03 1.24769e-02
9.26500e+03 1.29023e-02
9.28500e+03 1.34186e-02
9.30500e+03 1.41138e-02
9.32500e+03 1.46137e-02
9.34500e+03 1.54927e-02
9.36500e+03 1.58458e-02
9.38500e+03 1.60591e-02
9.40500e+03 1.68420e-02
9.42500e+03 1.73689e-02
9.44500e+03 1.84996e-02
9.46500e+03 1.87828e-02
9.48500e+03 1.94354e-02
9.50500e+03 1.96545e-02
9.52500e+03 2.06165e-02
9.54500e+03 2.14857e-02
9.56500e+03 2.28053e-02
9.58500e+03 2.34181e-02
9.60500e+03 2.46761e-02
9.62500e+03 2.51754e-02
9.64500e+03 2.60782e-02
9.66500e+03 2.76278e-02
9.68500e+03 2.74125e-02
9.70500e+03 2.88810e-02
9.72500e+03 3.02245e-02
9.74500e+03 3.13651e-02
9.76500e+03 3.19523e-02
9.78500e+03 3.25597e-02
9.80500e+03 0.00000e+00
9.82500e+03 0.00000e+00
