# LRIS-g_blue_transmission
# photon
# from FILTER.RES.DR34.latest
4.18500e+03 0.00000e+00
4.20000e+03 0.00000e+00
4.21500e+03 1.51854e-01
4.23000e+03 2.84107e-01
4.24500e+03 4.35218e-01
4.26000e+03 5.79061e-01
4.27500e+03 6.97866e-01
4.29000e+03 8.26902e-01
4.30500e+03 8.98370e-01
4.32000e+03 8.68033e-01
4.33500e+03 8.25727e-01
4.35000e+03 8.40636e-01
4.36500e+03 8.70676e-01
4.38000e+03 8.59239e-01
4.39500e+03 8.25832e-01
4.41000e+03 8.21483e-01
4.42500e+03 8.40617e-01
4.44000e+03 8.48476e-01
4.45500e+03 8.38189e-01
4.47000e+03 8.28752e-01
4.48500e+03 8.19525e-01
4.50000e+03 8.00406e-01
4.51500e+03 7.80303e-01
4.53000e+03 7.85201e-01
4.54500e+03 8.30106e-01
4.56000e+03 8.96163e-01
4.57500e+03 9.37870e-01
4.59000e+03 9.33182e-01
4.60500e+03 9.09320e-01
4.62000e+03 9.02905e-01
4.63500e+03 9.20658e-01
4.65000e+03 9.44372e-01
4.66500e+03 9.54913e-01
4.68000e+03 9.48756e-01
4.69500e+03 9.38332e-01
4.71000e+03 9.40382e-01
4.72500e+03 9.53999e-01
4.74000e+03 9.57575e-01
4.75500e+03 9.41146e-01
4.77000e+03 9.22960e-01
4.78500e+03 9.21702e-01
4.80000e+03 9.31955e-01
4.81500e+03 9.36800e-01
4.83000e+03 9.27991e-01
4.84500e+03 9.10648e-01
4.86000e+03 8.92348e-01
4.87500e+03 8.81735e-01
4.89000e+03 8.88230e-01
4.90500e+03 9.10381e-01
4.92000e+03 9.28902e-01
4.93500e+03 9.25937e-01
4.95000e+03 9.11291e-01
4.96500e+03 9.09138e-01
4.98000e+03 9.28658e-01
4.99500e+03 9.59659e-01
5.01000e+03 9.87838e-01
5.02500e+03 1.00000e+00
5.04000e+03 9.88931e-01
5.05500e+03 9.65167e-01
5.07000e+03 9.46198e-01
5.08500e+03 9.44740e-01
5.10000e+03 9.51112e-01
5.11500e+03 9.49655e-01
5.13000e+03 9.40917e-01
5.14500e+03 9.24750e-01
5.16000e+03 8.85269e-01
5.17500e+03 8.39763e-01
5.19000e+03 8.34999e-01
5.20500e+03 8.59508e-01
5.22000e+03 7.61665e-01
5.23500e+03 4.51473e-01
5.25000e+03 2.18955e-01
5.26500e+03 0.00000e+00
5.28000e+03 0.00000e+00
