# MOIRCS-J277
# photon
# from FILTER.RES.DR34.latest
1.13450e+04 0.00000e+00
1.13850e+04 0.00000e+00
1.14250e+04 1.72087e-03
1.14650e+04 1.82314e-03
1.15050e+04 4.40722e-03
1.15450e+04 1.28567e-02
1.15850e+04 2.68013e-02
1.16250e+04 5.12400e-02
1.16650e+04 1.44891e-01
1.17050e+04 4.54278e-01
1.17450e+04 6.98131e-01
1.17850e+04 8.22683e-01
1.18250e+04 8.93676e-01
1.18650e+04 8.40444e-01
1.19050e+04 7.98283e-01
1.19450e+04 8.85590e-01
1.19850e+04 9.12207e-01
1.20250e+04 9.17432e-01
1.20650e+04 9.17187e-01
1.21050e+04 9.29145e-01
1.21450e+04 9.37141e-01
1.21850e+04 9.67334e-01
1.22250e+04 9.69854e-01
1.22650e+04 9.46847e-01
1.23050e+04 9.33772e-01
1.23450e+04 9.47949e-01
1.23850e+04 9.88282e-01
1.24250e+04 1.00000e+00
1.24650e+04 9.65351e-01
1.25050e+04 9.33288e-01
1.25450e+04 9.38486e-01
1.25850e+04 9.66354e-01
1.26250e+04 9.43724e-01
1.26650e+04 9.23798e-01
1.27050e+04 8.51035e-01
1.27450e+04 9.02567e-01
1.27850e+04 9.41830e-01
1.28250e+04 9.58606e-01
1.28650e+04 9.30024e-01
1.29050e+04 8.90441e-01
1.29450e+04 8.73689e-01
1.29850e+04 8.76886e-01
1.30250e+04 8.84285e-01
1.30650e+04 8.72945e-01
1.31050e+04 8.80062e-01
1.31450e+04 9.06864e-01
1.31850e+04 9.34718e-01
1.32250e+04 9.03084e-01
1.32650e+04 8.79776e-01
1.33050e+04 7.29443e-01
1.33450e+04 3.84204e-01
1.33850e+04 1.85008e-01
1.34250e+04 7.22620e-02
1.34650e+04 3.48630e-02
1.35050e+04 0.00000e+00
1.35450e+04 0.00000e+00
