# MOIRCS-Ks_rot1707wedged120K
# photon
# from FILTER.RES.DR34.latest
1.81050e+04 0.00000e+00
1.81750e+04 0.00000e+00
1.82450e+04 1.07572e-03
1.83150e+04 4.40773e-04
1.83850e+04 2.25547e-04
1.84550e+04 4.88582e-04
1.85250e+04 4.67532e-04
1.85950e+04 5.16726e-04
1.86650e+04 7.96283e-04
1.87350e+04 6.79667e-05
1.88050e+04 6.46737e-04
1.88750e+04 9.94404e-04
1.89450e+04 8.31800e-04
1.90150e+04 4.30708e-04
1.90850e+04 6.68329e-04
1.91550e+04 6.62577e-04
1.92250e+04 1.19893e-03
1.92950e+04 1.22612e-03
1.93650e+04 1.74448e-03
1.94350e+04 2.59551e-03
1.95050e+04 4.80264e-03
1.95750e+04 6.38071e-03
1.96450e+04 1.90943e-02
1.97150e+04 5.24626e-02
1.97850e+04 1.21971e-01
1.98550e+04 2.38826e-01
1.99250e+04 4.31800e-01
1.99950e+04 4.16284e-01
2.00650e+04 2.15419e-01
2.01350e+04 3.54968e-01
2.02050e+04 4.56748e-01
2.02750e+04 7.66387e-01
2.03450e+04 9.14880e-01
2.04150e+04 9.07448e-01
2.04850e+04 8.32199e-01
2.05550e+04 6.22382e-01
2.06250e+04 7.16155e-01
2.06950e+04 6.97923e-01
2.07650e+04 8.26721e-01
2.08350e+04 9.09993e-01
2.09050e+04 9.21809e-01
2.09750e+04 9.64697e-01
2.10450e+04 9.75887e-01
2.11150e+04 9.75563e-01
2.11850e+04 9.86886e-01
2.12550e+04 9.88354e-01
2.13250e+04 9.96133e-01
2.13950e+04 1.00000e+00
2.14650e+04 9.97375e-01
2.15350e+04 9.79276e-01
2.16050e+04 9.77452e-01
2.16750e+04 9.74106e-01
2.17450e+04 9.84556e-01
2.18150e+04 9.85086e-01
2.18850e+04 9.84331e-01
2.19550e+04 9.85624e-01
2.20250e+04 9.26084e-01
2.20950e+04 9.72688e-01
2.21650e+04 9.83282e-01
2.22350e+04 9.77030e-01
2.23050e+04 9.57406e-01
2.23750e+04 9.42183e-01
2.24450e+04 9.38109e-01
2.25150e+04 9.41787e-01
2.25850e+04 9.20573e-01
2.26550e+04 9.42267e-01
2.27250e+04 9.28536e-01
2.27950e+04 9.10760e-01
2.28650e+04 9.04870e-01
2.29350e+04 8.14945e-01
2.30050e+04 6.51978e-01
2.30750e+04 4.05978e-01
2.31450e+04 2.33642e-01
2.32150e+04 1.02428e-01
2.32850e+04 6.11076e-02
2.33550e+04 3.34999e-02
2.34250e+04 1.81123e-02
2.34950e+04 1.04112e-02
2.35650e+04 6.71893e-03
2.36350e+04 5.25952e-03
2.37050e+04 3.76179e-03
2.37750e+04 3.25853e-03
2.38450e+04 3.51373e-03
2.39150e+04 0.00000e+00
2.39850e+04 0.00000e+00
