# MOIRCS-MKO_Y_ED537
# photon
# from FILTER.RES.DR34.latest
8.99000e+03 0.00000e+00
9.02000e+03 0.00000e+00
9.05000e+03 2.09670e-03
9.08000e+03 1.99501e-03
9.11000e+03 1.94131e-03
9.14000e+03 1.98011e-03
9.17000e+03 1.89952e-03
9.20000e+03 1.91039e-03
9.23000e+03 2.03841e-03
9.26000e+03 1.95840e-03
9.29000e+03 1.99478e-03
9.32000e+03 1.69838e-03
9.35000e+03 1.37448e-03
9.38000e+03 1.37586e-03
9.41000e+03 1.87738e-03
9.44000e+03 1.70948e-03
9.47000e+03 1.76185e-03
9.50000e+03 1.96887e-03
9.53000e+03 2.43263e-03
9.56000e+03 3.28751e-03
9.59000e+03 5.73972e-03
9.62000e+03 1.21894e-02
9.65000e+03 2.64498e-02
9.68000e+03 6.07374e-02
9.71000e+03 1.41298e-01
9.74000e+03 3.09403e-01
9.77000e+03 6.02257e-01
9.80000e+03 8.51617e-01
9.83000e+03 9.50411e-01
9.86000e+03 9.74676e-01
9.89000e+03 9.89586e-01
9.92000e+03 9.95545e-01
9.95000e+03 9.98724e-01
9.98000e+03 1.00000e+00
1.00100e+04 9.98675e-01
1.00400e+04 9.93917e-01
1.00700e+04 9.89094e-01
1.01000e+04 9.82370e-01
1.01300e+04 9.81898e-01
1.01600e+04 9.83279e-01
1.01900e+04 9.86320e-01
1.02200e+04 9.90515e-01
1.02500e+04 9.93848e-01
1.02800e+04 9.96067e-01
1.03100e+04 9.96785e-01
1.03400e+04 9.96564e-01
1.03700e+04 9.97032e-01
1.04000e+04 9.98391e-01
1.04300e+04 9.99429e-01
1.04600e+04 9.98911e-01
1.04900e+04 9.95563e-01
1.05200e+04 9.90089e-01
1.05500e+04 9.85358e-01
1.05800e+04 9.85160e-01
1.06100e+04 9.92451e-01
1.06400e+04 9.95585e-01
1.06700e+04 9.47176e-01
1.07000e+04 7.73508e-01
1.07300e+04 4.97291e-01
1.07600e+04 2.57403e-01
1.07900e+04 1.19973e-01
1.08200e+04 5.54329e-02
1.08500e+04 2.68700e-02
1.08800e+04 1.39732e-02
1.09100e+04 8.25084e-03
1.09400e+04 5.37970e-03
1.09700e+04 3.85204e-03
1.10000e+04 3.16820e-03
1.10300e+04 2.62395e-03
1.10600e+04 2.36056e-03
1.10900e+04 2.21894e-03
1.11200e+04 1.97912e-03
1.11500e+04 1.80734e-03
1.11800e+04 1.46760e-03
1.12100e+04 1.35686e-03
1.12400e+04 1.29946e-03
1.12700e+04 1.44825e-03
1.13000e+04 0.00000e+00
1.13300e+04 0.00000e+00
