# NOAO-steidel_Rs_k1043bp_aug04_ccd
# photon
# from FILTER.RES.DR34.latest
6.19500e+03 0.00000e+00
6.21500e+03 0.00000e+00
6.23500e+03 2.08339e-03
6.25500e+03 5.04218e-03
6.27500e+03 1.24387e-02
6.29500e+03 4.03341e-02
6.31500e+03 1.17254e-01
6.33500e+03 2.61654e-01
6.35500e+03 4.04583e-01
6.37500e+03 4.68822e-01
6.39500e+03 4.78519e-01
6.41500e+03 4.70285e-01
6.43500e+03 4.86509e-01
6.45500e+03 5.28639e-01
6.47500e+03 6.04606e-01
6.49500e+03 7.03941e-01
6.51500e+03 8.03336e-01
6.53500e+03 8.82214e-01
6.55500e+03 9.20626e-01
6.57500e+03 9.35048e-01
6.59500e+03 9.34218e-01
6.61500e+03 9.38091e-01
6.63500e+03 9.50086e-01
6.65500e+03 9.71001e-01
6.67500e+03 9.87657e-01
6.69500e+03 1.00000e+00
6.71500e+03 9.99596e-01
6.73500e+03 9.86366e-01
6.75500e+03 9.71694e-01
6.77500e+03 9.59928e-01
6.79500e+03 9.48970e-01
6.81500e+03 9.36208e-01
6.83500e+03 9.16269e-01
6.85500e+03 8.82778e-01
6.87500e+03 8.54813e-01
6.89500e+03 8.49975e-01
6.91500e+03 8.54167e-01
6.93500e+03 8.64332e-01
6.95500e+03 8.79522e-01
6.97500e+03 8.94004e-01
6.99500e+03 9.10507e-01
7.01500e+03 9.16167e-01
7.03500e+03 9.21399e-01
7.05500e+03 9.32341e-01
7.07500e+03 9.33470e-01
7.09500e+03 9.27091e-01
7.11500e+03 9.16994e-01
7.13500e+03 9.05202e-01
7.15500e+03 8.83790e-01
7.17500e+03 8.44688e-01
7.19500e+03 8.49105e-01
7.21500e+03 8.59089e-01
7.23500e+03 8.75485e-01
7.25500e+03 8.78450e-01
7.27500e+03 8.87343e-01
7.29500e+03 8.84864e-01
7.31500e+03 9.04685e-01
7.33500e+03 9.21850e-01
7.35500e+03 9.16126e-01
7.37500e+03 9.13266e-01
7.39500e+03 9.00328e-01
7.41500e+03 8.86269e-01
7.43500e+03 8.59622e-01
7.45500e+03 8.06013e-01
7.47500e+03 6.97917e-01
7.49500e+03 5.07339e-01
7.51500e+03 2.89614e-01
7.53500e+03 1.49624e-01
7.55500e+03 6.83071e-02
7.57500e+03 3.59889e-02
7.59500e+03 1.32053e-02
7.61500e+03 8.12807e-03
7.63500e+03 6.42734e-03
7.65500e+03 4.64410e-03
7.67500e+03 4.91311e-03
7.69500e+03 5.29209e-03
7.71500e+03 5.10196e-03
7.73500e+03 6.81695e-03
7.75500e+03 6.23193e-03
7.77500e+03 6.68817e-03
7.79500e+03 6.79067e-03
7.81500e+03 4.43750e-03
7.83500e+03 5.88884e-03
7.85500e+03 6.36859e-03
7.87500e+03 7.86040e-03
7.89500e+03 9.34747e-03
7.91500e+03 9.85532e-03
7.93500e+03 7.86477e-03
7.95500e+03 6.16137e-03
7.97500e+03 0.00000e+00
7.99500e+03 0.00000e+00
