# REST_FRAME-Bessel_B
# photon
# from FILTER.RES.DR34.latest
3.00000e+03 0.00000e+00
3.60000e+03 0.00000e+00
3.70000e+03 3.39910e-02
3.80000e+03 1.47831e-01
3.90000e+03 6.09486e-01
4.00000e+03 9.64213e-01
4.10000e+03 1.00000e+00
4.20000e+03 9.98150e-01
4.30000e+03 9.53488e-01
4.40000e+03 8.90849e-01
4.50000e+03 7.94660e-01
4.60000e+03 6.74402e-01
4.70000e+03 5.70857e-01
4.80000e+03 4.68132e-01
4.90000e+03 3.62756e-01
5.00000e+03 2.72495e-01
5.10000e+03 1.93171e-01
5.20000e+03 1.20930e-01
5.30000e+03 7.51437e-02
5.40000e+03 3.33826e-02
5.50000e+03 6.86001e-03
5.60000e+03 0.00000e+00
9.90000e+03 0.00000e+00
