# REST_FRAME-Bessel_I
# photon
# from FILTER.RES.DR34.latest
7.00000e+03 0.00000e+00
7.10000e+03 2.64245e-02
7.20000e+03 2.51889e-01
7.30000e+03 5.94326e-01
7.40000e+03 8.29263e-01
7.50000e+03 9.48494e-01
7.60000e+03 9.92586e-01
7.70000e+03 1.00000e+00
7.80000e+03 9.92191e-01
7.90000e+03 9.84579e-01
8.00000e+03 9.77157e-01
8.10000e+03 9.65094e-01
8.20000e+03 9.43791e-01
8.30000e+03 9.23002e-01
8.40000e+03 8.84095e-01
8.50000e+03 8.36907e-01
8.60000e+03 7.81726e-01
8.70000e+03 6.73902e-01
8.80000e+03 4.97462e-01
8.90000e+03 2.89853e-01
9.00000e+03 1.30288e-01
9.10000e+03 2.57712e-02
9.20000e+03 0.00000e+00
9.90000e+03 0.00000e+00
