# REST_FRAME-Bessel_R
# photon
# from FILTER.RES.DR34.latest
5.00000e+03 0.00000e+00
5.60000e+03 2.46429e-01
5.70000e+03 7.78947e-01
5.80000e+03 9.41379e-01
5.90000e+03 9.96610e-01
6.00000e+03 1.00000e+00
6.10000e+03 9.63934e-01
6.20000e+03 9.29032e-01
6.30000e+03 8.85714e-01
6.40000e+03 8.43750e-01
6.50000e+03 7.93846e-01
6.60000e+03 7.36364e-01
6.70000e+03 6.98507e-01
6.80000e+03 6.35294e-01
6.90000e+03 5.82609e-01
7.00000e+03 5.22857e-01
7.10000e+03 4.73239e-01
7.20000e+03 4.25000e-01
7.30000e+03 3.78082e-01
7.40000e+03 3.24324e-01
7.50000e+03 2.80000e-01
8.00000e+03 1.05000e-01
8.50000e+03 2.11765e-02
9.00000e+03 0.00000e+00
9.90000e+03 0.00000e+00
