# REST_FRAME-Bessel_UX
# photon
# from FILTER.RES.DR34.latest
3.00000e+03 0.00000e+00
3.05000e+03 1.92510e-02
3.10000e+03 8.04972e-02
3.15000e+03 1.94554e-01
3.20000e+03 3.29128e-01
3.25000e+03 4.77629e-01
3.30000e+03 6.22741e-01
3.35000e+03 7.37231e-01
3.40000e+03 8.33243e-01
3.45000e+03 8.94562e-01
3.50000e+03 9.48886e-01
3.55000e+03 9.74803e-01
3.60000e+03 1.00000e+00
3.65000e+03 9.98366e-01
3.70000e+03 9.91817e-01
3.75000e+03 9.67829e-01
3.80000e+03 8.84597e-01
3.85000e+03 7.66353e-01
3.90000e+03 5.88097e-01
3.95000e+03 3.92986e-01
4.00000e+03 2.18349e-01
4.05000e+03 1.03296e-01
4.10000e+03 4.56478e-02
4.20000e+03 1.66011e-02
4.25000e+03 0.00000e+00
9.90000e+03 0.00000e+00
