# REST_FRAME-Bessel_V
# photon
# from FILTER.RES.DR34.latest
3.00000e+03 0.00000e+00
4.70000e+03 0.00000e+00
4.80000e+03 3.31250e-02
4.90000e+03 1.77388e-01
5.00000e+03 4.85480e-01
5.10000e+03 8.10588e-01
5.20000e+03 9.85596e-01
5.30000e+03 1.00000e+00
5.40000e+03 9.54982e-01
5.50000e+03 8.65345e-01
5.60000e+03 7.49571e-01
5.70000e+03 6.36000e-01
5.80000e+03 5.24517e-01
5.90000e+03 4.14119e-01
6.00000e+03 3.17117e-01
6.10000e+03 2.34590e-01
6.20000e+03 1.68403e-01
6.30000e+03 1.13571e-01
6.40000e+03 6.70781e-02
6.50000e+03 3.66923e-02
6.60000e+03 2.00758e-02
6.70000e+03 1.34478e-02
6.80000e+03 1.01324e-02
6.90000e+03 6.91304e-03
7.00000e+03 0.00000e+00
9.90000e+03 0.00000e+00
