# REST_FRAME-Gunn_g
# photon
# from FILTER.RES.DR34.latest
3.52000e+03 0.00000e+00
3.62000e+03 0.00000e+00
3.72000e+03 1.57424e-02
3.82000e+03 4.43832e-02
3.92000e+03 2.50239e-01
4.02000e+03 5.30336e-01
4.12000e+03 7.02139e-01
4.22000e+03 7.84859e-01
4.32000e+03 8.45004e-01
4.42000e+03 8.93804e-01
4.52000e+03 9.22007e-01
4.62000e+03 9.61547e-01
4.72000e+03 9.78763e-01
4.82000e+03 9.75996e-01
4.92000e+03 9.92436e-01
5.02000e+03 1.00000e+00
5.12000e+03 9.99176e-01
5.22000e+03 9.64782e-01
5.32000e+03 6.28047e-01
5.42000e+03 9.59834e-02
5.52000e+03 1.66385e-02
5.62000e+03 3.65668e-03
5.72000e+03 1.81805e-03
5.82000e+03 0.00000e+00
5.92000e+03 0.00000e+00
