# REST_FRAME-Gunn_i
# photon
# from FILTER.RES.DR34.latest
6.32000e+03 0.00000e+00
6.42000e+03 0.00000e+00
6.52000e+03 1.06033e-03
6.62000e+03 1.70939e-03
6.72000e+03 1.42364e-02
6.82000e+03 1.53738e-01
6.92000e+03 5.52572e-01
7.02000e+03 9.01458e-01
7.12000e+03 1.00000e+00
7.22000e+03 9.57051e-01
7.32000e+03 9.39400e-01
7.42000e+03 9.06154e-01
7.52000e+03 8.69474e-01
7.62000e+03 5.54903e-01
7.72000e+03 7.66850e-01
7.82000e+03 7.23174e-01
7.92000e+03 6.87723e-01
8.02000e+03 6.69237e-01
8.12000e+03 6.17060e-01
8.22000e+03 3.36450e-01
8.32000e+03 4.29165e-02
8.42000e+03 5.69827e-03
8.52000e+03 2.20047e-03
8.62000e+03 0.00000e+00
8.72000e+03 0.00000e+00
