# REST_FRAME-Gunn_r
# photon
# from FILTER.RES.DR34.latest
5.02000e+03 0.00000e+00
5.12000e+03 0.00000e+00
5.22000e+03 2.16963e-03
5.32000e+03 2.00542e-03
5.42000e+03 4.40598e-03
5.52000e+03 1.53020e-01
5.62000e+03 5.89478e-01
5.72000e+03 8.70814e-01
5.82000e+03 9.58733e-01
5.92000e+03 9.85661e-01
6.02000e+03 9.99962e-01
6.12000e+03 9.95698e-01
6.22000e+03 9.93658e-01
6.32000e+03 1.00000e+00
6.42000e+03 9.94797e-01
6.52000e+03 9.81873e-01
6.62000e+03 9.57316e-01
6.72000e+03 7.08990e-01
6.82000e+03 1.78836e-01
6.92000e+03 2.53830e-02
7.02000e+03 6.63847e-03
7.12000e+03 2.47917e-03
7.22000e+03 1.51210e-03
7.32000e+03 0.00000e+00
7.42000e+03 0.00000e+00
