# REST_FRAME-Gunn_u
# photon
# from FILTER.RES.DR34.latest
2.82000e+03 0.00000e+00
2.92000e+03 0.00000e+00
3.02000e+03 1.84503e-05
3.12000e+03 1.75344e-02
3.22000e+03 3.61437e-01
3.32000e+03 6.73414e-01
3.37000e+03 7.74677e-01
3.42000e+03 8.64120e-01
3.47000e+03 9.28777e-01
3.52000e+03 9.91361e-01
3.57000e+03 9.77903e-01
3.62000e+03 9.37674e-01
3.67000e+03 1.00000e+00
3.72000e+03 9.89853e-01
3.77000e+03 8.85114e-01
3.82000e+03 6.81962e-01
3.87000e+03 4.12212e-01
3.92000e+03 1.87538e-01
4.02000e+03 1.22871e-02
4.12000e+03 3.34678e-03
4.22000e+03 0.00000e+00
4.32000e+03 0.00000e+00
