# REST_FRAME-Gunn_z
# photon
# from FILTER.RES.DR34.latest
7.62000e+03 0.00000e+00
7.72000e+03 0.00000e+00
7.82000e+03 1.43149e-03
7.92000e+03 4.09980e-03
8.02000e+03 1.97749e-02
8.12000e+03 8.97297e-02
8.22000e+03 2.72194e-01
8.32000e+03 5.84446e-01
8.42000e+03 8.61408e-01
8.52000e+03 1.00000e+00
8.62000e+03 9.85285e-01
8.72000e+03 9.20941e-01
8.82000e+03 8.25125e-01
8.92000e+03 7.07587e-01
9.02000e+03 5.73224e-01
9.12000e+03 5.21899e-01
9.22000e+03 4.68000e-01
9.32000e+03 3.16967e-01
9.42000e+03 2.64881e-01
9.52000e+03 2.19661e-01
9.62000e+03 2.15473e-01
9.82000e+03 1.67270e-01
1.00200e+04 9.99291e-02
1.02200e+04 5.13275e-02
1.04200e+04 2.14375e-02
1.06200e+04 1.11385e-02
1.08200e+04 5.71159e-03
1.10200e+04 2.88692e-03
1.12200e+04 0.00000e+00
1.14200e+04 0.00000e+00
