# REST_FRAME-Johnson-Cousins_I
# photon
# from FILTER.RES.DR34.latest
6.96500e+03 0.00000e+00
6.99000e+03 0.00000e+00
7.01500e+03 1.47190e-02
7.04000e+03 2.76632e-02
7.06500e+03 4.87387e-02
7.09000e+03 7.24690e-02
7.11500e+03 1.09361e-01
7.14000e+03 1.55323e-01
7.16500e+03 2.24206e-01
7.19000e+03 3.08433e-01
7.21500e+03 3.80534e-01
7.24000e+03 4.44322e-01
7.26500e+03 5.18176e-01
7.29000e+03 5.98674e-01
7.31500e+03 6.72929e-01
7.34000e+03 7.42647e-01
7.36500e+03 7.96504e-01
7.39000e+03 8.39392e-01
7.41500e+03 8.74505e-01
7.44000e+03 9.04219e-01
7.46500e+03 9.29706e-01
7.49000e+03 9.52184e-01
7.51500e+03 9.65280e-01
7.54000e+03 9.71948e-01
7.56500e+03 9.76737e-01
7.59000e+03 9.80251e-01
7.61500e+03 9.85261e-01
7.64000e+03 9.91261e-01
7.66500e+03 9.95108e-01
7.69000e+03 9.97466e-01
7.71500e+03 9.97710e-01
7.74000e+03 9.96532e-01
7.76500e+03 9.97447e-01
7.79000e+03 9.99767e-01
7.81500e+03 1.00000e+00
7.84000e+03 9.98805e-01
7.86500e+03 9.96734e-01
7.89000e+03 9.94062e-01
7.91500e+03 9.89944e-01
7.94000e+03 9.84856e-01
7.96500e+03 9.80381e-01
7.99000e+03 9.76314e-01
8.01500e+03 9.70253e-01
8.04000e+03 9.62840e-01
8.06500e+03 9.54900e-01
8.09000e+03 9.46620e-01
8.11500e+03 9.38962e-01
8.14000e+03 9.31744e-01
8.16500e+03 9.24853e-01
8.19000e+03 9.18163e-01
8.21500e+03 9.07289e-01
8.24000e+03 8.93593e-01
8.26500e+03 8.80539e-01
8.29000e+03 8.67917e-01
8.31500e+03 8.51754e-01
8.34000e+03 8.33266e-01
8.36500e+03 8.21527e-01
8.39000e+03 8.14224e-01
8.41500e+03 7.85798e-01
8.44000e+03 7.42900e-01
8.46500e+03 6.84132e-01
8.49000e+03 6.14597e-01
8.51500e+03 5.37318e-01
8.54000e+03 4.54856e-01
8.56500e+03 3.66663e-01
8.59000e+03 2.74850e-01
8.61500e+03 1.98072e-01
8.64000e+03 1.31841e-01
8.66500e+03 8.60149e-02
8.69000e+03 5.42514e-02
8.71500e+03 3.19587e-02
8.74000e+03 1.62249e-02
8.76500e+03 8.23481e-03
8.79000e+03 6.20723e-03
8.81500e+03 0.00000e+00
8.84000e+03 0.00000e+00
