# REST_FRAME-Johnson-Cousins_U
# photon
# from FILTER.RES.DR34.latest
3.14000e+03 0.00000e+00
3.15000e+03 0.00000e+00
3.16000e+03 3.31113e-02
3.17000e+03 3.82656e-02
3.18000e+03 4.53996e-02
3.19000e+03 5.55947e-02
3.20000e+03 6.95361e-02
3.21000e+03 8.16355e-02
3.22000e+03 9.75696e-02
3.23000e+03 1.18069e-01
3.24000e+03 1.36819e-01
3.25000e+03 1.53648e-01
3.26000e+03 1.74619e-01
3.27000e+03 2.02073e-01
3.28000e+03 2.31507e-01
3.29000e+03 2.62696e-01
3.30000e+03 2.95103e-01
3.31000e+03 3.29924e-01
3.32000e+03 3.64438e-01
3.33000e+03 3.96935e-01
3.34000e+03 4.31749e-01
3.35000e+03 4.64543e-01
3.36000e+03 4.96257e-01
3.37000e+03 5.28137e-01
3.38000e+03 5.58591e-01
3.39000e+03 5.91512e-01
3.40000e+03 6.23864e-01
3.41000e+03 6.50613e-01
3.42000e+03 6.79213e-01
3.43000e+03 7.04444e-01
3.44000e+03 7.31150e-01
3.45000e+03 7.54856e-01
3.46000e+03 7.78249e-01
3.47000e+03 8.00288e-01
3.48000e+03 8.18215e-01
3.49000e+03 8.37881e-01
3.50000e+03 8.55317e-01
3.51000e+03 8.75143e-01
3.52000e+03 8.91443e-01
3.53000e+03 9.03741e-01
3.54000e+03 9.15871e-01
3.55000e+03 9.27436e-01
3.56000e+03 9.38554e-01
3.57000e+03 9.50877e-01
3.58000e+03 9.61559e-01
3.59000e+03 9.68657e-01
3.60000e+03 9.75769e-01
3.61000e+03 9.82705e-01
3.62000e+03 9.87281e-01
3.63000e+03 9.91712e-01
3.64000e+03 9.94982e-01
3.65000e+03 9.97645e-01
3.66000e+03 1.00000e+00
3.67000e+03 9.99635e-01
3.68000e+03 9.98828e-01
3.69000e+03 9.97855e-01
3.70000e+03 9.95588e-01
3.71000e+03 9.92196e-01
3.72000e+03 9.86627e-01
3.73000e+03 9.78999e-01
3.74000e+03 9.70560e-01
3.75000e+03 9.60708e-01
3.76000e+03 9.47957e-01
3.77000e+03 9.33467e-01
3.78000e+03 9.18402e-01
3.79000e+03 8.98195e-01
3.80000e+03 8.75042e-01
3.81000e+03 8.50513e-01
3.82000e+03 8.23162e-01
3.83000e+03 7.91236e-01
3.84000e+03 7.59083e-01
3.85000e+03 7.26581e-01
3.86000e+03 6.93395e-01
3.87000e+03 6.61123e-01
3.88000e+03 6.23220e-01
3.89000e+03 5.82360e-01
3.90000e+03 5.41081e-01
3.91000e+03 4.99124e-01
3.92000e+03 4.57145e-01
3.93000e+03 4.13584e-01
3.94000e+03 3.72940e-01
3.95000e+03 3.33617e-01
3.96000e+03 2.95141e-01
3.97000e+03 2.58309e-01
3.98000e+03 2.23721e-01
3.99000e+03 1.91922e-01
4.00000e+03 1.62397e-01
4.01000e+03 1.37102e-01
4.02000e+03 1.15798e-01
4.03000e+03 9.46825e-02
4.04000e+03 7.82136e-02
4.05000e+03 6.30762e-02
4.06000e+03 5.04350e-02
4.07000e+03 4.14518e-02
4.08000e+03 3.19751e-02
4.09000e+03 2.52158e-02
4.10000e+03 1.95378e-02
4.11000e+03 1.49037e-02
4.12000e+03 1.17673e-02
4.13000e+03 9.14841e-03
4.14000e+03 6.98781e-03
4.15000e+03 5.41937e-03
4.16000e+03 4.15108e-03
4.17000e+03 3.13826e-03
4.18000e+03 2.47203e-03
4.19000e+03 2.04432e-03
4.20000e+03 1.69459e-03
4.21000e+03 1.47649e-03
4.22000e+03 1.23473e-03
4.23000e+03 1.07789e-03
4.24000e+03 1.00236e-03
4.25000e+03 9.04292e-04
4.26000e+03 8.15276e-04
4.27000e+03 7.51932e-04
4.28000e+03 7.26013e-04
4.29000e+03 0.00000e+00
4.30000e+03 0.00000e+00
