# REST_FRAME-Johnson-Cousins_V
# photon
# from FILTER.RES.DR34.latest
4.73500e+03 0.00000e+00
4.75000e+03 0.00000e+00
4.76500e+03 1.24379e-02
4.78000e+03 1.98525e-02
4.79500e+03 2.97967e-02
4.81000e+03 4.47204e-02
4.82500e+03 6.22836e-02
4.84000e+03 7.97387e-02
4.85500e+03 9.99122e-02
4.87000e+03 1.25151e-01
4.88500e+03 1.50347e-01
4.90000e+03 1.77769e-01
4.91500e+03 2.19262e-01
4.93000e+03 2.62872e-01
4.94500e+03 3.06302e-01
4.96000e+03 3.53342e-01
4.97500e+03 4.02195e-01
4.99000e+03 4.50753e-01
5.00500e+03 5.00665e-01
5.02000e+03 5.53302e-01
5.03500e+03 6.05687e-01
5.05000e+03 6.56904e-01
5.06500e+03 7.02663e-01
5.08000e+03 7.47295e-01
5.09500e+03 7.91513e-01
5.11000e+03 8.28552e-01
5.12500e+03 8.61620e-01
5.14000e+03 8.94497e-01
5.15500e+03 9.22604e-01
5.17000e+03 9.42139e-01
5.18500e+03 9.61379e-01
5.20000e+03 9.78910e-01
5.21500e+03 9.86788e-01
5.23000e+03 9.93031e-01
5.24500e+03 9.99126e-01
5.26000e+03 1.00000e+00
5.27500e+03 9.98056e-01
5.29000e+03 9.96123e-01
5.30500e+03 9.92649e-01
5.32000e+03 9.86344e-01
5.33500e+03 9.80013e-01
5.35000e+03 9.73053e-01
5.36500e+03 9.62151e-01
5.38000e+03 9.50648e-01
5.39500e+03 9.39172e-01
5.41000e+03 9.26080e-01
5.42500e+03 9.12148e-01
5.44000e+03 8.98293e-01
5.45500e+03 8.84212e-01
5.47000e+03 8.69654e-01
5.48500e+03 8.55163e-01
5.50000e+03 8.40176e-01
5.51500e+03 8.21831e-01
5.53000e+03 8.03011e-01
5.54500e+03 7.84310e-01
5.56000e+03 7.66435e-01
5.57500e+03 7.49052e-01
5.59000e+03 7.31762e-01
5.60500e+03 7.14564e-01
5.62000e+03 6.97458e-01
5.63500e+03 6.80444e-01
5.65000e+03 6.63518e-01
5.66500e+03 6.46683e-01
5.68000e+03 6.29937e-01
5.69500e+03 6.13276e-01
5.71000e+03 5.96525e-01
5.72500e+03 5.79765e-01
5.74000e+03 5.63094e-01
5.75500e+03 5.46318e-01
5.77000e+03 5.29280e-01
5.78500e+03 5.12322e-01
5.80000e+03 4.95452e-01
5.81500e+03 4.78668e-01
5.83000e+03 4.61971e-01
5.84500e+03 4.45371e-01
5.86000e+03 4.29373e-01
5.87500e+03 4.13738e-01
5.89000e+03 3.98182e-01
5.90500e+03 3.83264e-01
5.92000e+03 3.69444e-01
5.93500e+03 3.55718e-01
5.95000e+03 3.41828e-01
5.96500e+03 3.26616e-01
5.98000e+03 3.11248e-01
5.99500e+03 2.96006e-01
6.01000e+03 2.83024e-01
6.02500e+03 2.71293e-01
6.04000e+03 2.59619e-01
6.05500e+03 2.48276e-01
6.07000e+03 2.37489e-01
6.08500e+03 2.26766e-01
6.10000e+03 2.16192e-01
6.11500e+03 2.06252e-01
6.13000e+03 1.96458e-01
6.14500e+03 1.86722e-01
6.16000e+03 1.77526e-01
6.17500e+03 1.68641e-01
6.19000e+03 1.59800e-01
6.20500e+03 1.51266e-01
6.22000e+03 1.43262e-01
6.23500e+03 1.35306e-01
6.25000e+03 1.27357e-01
6.26500e+03 1.19257e-01
6.28000e+03 1.11164e-01
6.29500e+03 1.03123e-01
6.31000e+03 9.57618e-02
6.32500e+03 8.87819e-02
6.34000e+03 8.18356e-02
6.35500e+03 7.51812e-02
6.37000e+03 6.90338e-02
6.38500e+03 6.29262e-02
6.40000e+03 5.70322e-02
6.41500e+03 5.22754e-02
6.43000e+03 4.77254e-02
6.44500e+03 4.32067e-02
6.46000e+03 3.91782e-02
6.47500e+03 3.54232e-02
6.49000e+03 3.16855e-02
6.50500e+03 2.84711e-02
6.52000e+03 2.62019e-02
6.53500e+03 2.39633e-02
6.55000e+03 2.18255e-02
6.56500e+03 2.02396e-02
6.58000e+03 1.87510e-02
6.59500e+03 1.72794e-02
6.61000e+03 1.62728e-02
6.62500e+03 1.55196e-02
6.64000e+03 1.47699e-02
6.65500e+03 1.41061e-02
6.67000e+03 1.35967e-02
6.68500e+03 1.30930e-02
6.70000e+03 1.25915e-02
6.71500e+03 1.20922e-02
6.73000e+03 1.15952e-02
6.74500e+03 1.11004e-02
6.76000e+03 1.06078e-02
6.77500e+03 1.01174e-02
6.79000e+03 9.62909e-03
6.80500e+03 9.22365e-03
6.82000e+03 8.96819e-03
6.83500e+03 8.71709e-03
6.85000e+03 8.46710e-03
6.86500e+03 8.21816e-03
6.88000e+03 7.97033e-03
6.89500e+03 7.72358e-03
6.91000e+03 7.47790e-03
6.92500e+03 7.23328e-03
6.94000e+03 6.98973e-03
6.95500e+03 6.74721e-03
6.97000e+03 6.50575e-03
6.98500e+03 6.26534e-03
7.00000e+03 6.02594e-03
7.01500e+03 5.78755e-03
7.03000e+03 5.55020e-03
7.04500e+03 5.31385e-03
7.06000e+03 5.07853e-03
7.07500e+03 4.84416e-03
7.09000e+03 4.61083e-03
7.10500e+03 4.37846e-03
7.12000e+03 4.14707e-03
7.13500e+03 3.91667e-03
7.15000e+03 3.68721e-03
7.16500e+03 3.45872e-03
7.18000e+03 3.23119e-03
7.19500e+03 3.00460e-03
7.21000e+03 2.77897e-03
7.22500e+03 2.55428e-03
7.24000e+03 2.33049e-03
7.25500e+03 2.10764e-03
7.27000e+03 1.94109e-03
7.28500e+03 0.00000e+00
7.30000e+03 0.00000e+00
