# REST_FRAME-UV1600
# photon
# from FILTER.RES.DR34.latest
1.41500e+03 0.00000e+00
1.42000e+03 0.00000e+00
1.42500e+03 1.00000e+00
1.43000e+03 1.00000e+00
1.43500e+03 1.00000e+00
1.44000e+03 1.00000e+00
1.44500e+03 1.00000e+00
1.45000e+03 1.00000e+00
1.45500e+03 1.00000e+00
1.46000e+03 1.00000e+00
1.46500e+03 1.00000e+00
1.47000e+03 1.00000e+00
1.47500e+03 1.00000e+00
1.48000e+03 1.00000e+00
1.48500e+03 1.00000e+00
1.49000e+03 1.00000e+00
1.49500e+03 1.00000e+00
1.50000e+03 1.00000e+00
1.50500e+03 1.00000e+00
1.51000e+03 1.00000e+00
1.51500e+03 1.00000e+00
1.52000e+03 1.00000e+00
1.52500e+03 1.00000e+00
1.53000e+03 1.00000e+00
1.53500e+03 1.00000e+00
1.54000e+03 1.00000e+00
1.54500e+03 1.00000e+00
1.55000e+03 1.00000e+00
1.55500e+03 1.00000e+00
1.56000e+03 1.00000e+00
1.56500e+03 1.00000e+00
1.57000e+03 1.00000e+00
1.57500e+03 1.00000e+00
1.58000e+03 1.00000e+00
1.58500e+03 1.00000e+00
1.59000e+03 1.00000e+00
1.59500e+03 1.00000e+00
1.60000e+03 1.00000e+00
1.60500e+03 1.00000e+00
1.61000e+03 1.00000e+00
1.61500e+03 1.00000e+00
1.62000e+03 1.00000e+00
1.62500e+03 1.00000e+00
1.63000e+03 1.00000e+00
1.63500e+03 1.00000e+00
1.64000e+03 1.00000e+00
1.64500e+03 1.00000e+00
1.65000e+03 1.00000e+00
1.65500e+03 1.00000e+00
1.66000e+03 1.00000e+00
1.66500e+03 1.00000e+00
1.67000e+03 1.00000e+00
1.67500e+03 1.00000e+00
1.68000e+03 1.00000e+00
1.68500e+03 1.00000e+00
1.69000e+03 1.00000e+00
1.69500e+03 1.00000e+00
1.70000e+03 1.00000e+00
1.70500e+03 1.00000e+00
1.71000e+03 1.00000e+00
1.71500e+03 1.00000e+00
1.72000e+03 1.00000e+00
1.72500e+03 1.00000e+00
1.73000e+03 1.00000e+00
1.73500e+03 1.00000e+00
1.74000e+03 1.00000e+00
1.74500e+03 1.00000e+00
1.75000e+03 1.00000e+00
1.75500e+03 1.00000e+00
1.76000e+03 1.00000e+00
1.76500e+03 1.00000e+00
1.77000e+03 1.00000e+00
1.77500e+03 0.00000e+00
1.78000e+03 0.00000e+00
