# REST_FRAME-maiz-apellaniz_Johnson_B
# photon
# from FILTER.RES.DR34.latest
3.60000e+03 0.00000e+00
3.65000e+03 1.10000e-02
3.70000e+03 3.30000e-02
3.75000e+03 5.80000e-02
3.80000e+03 1.44000e-01
3.85000e+03 3.48000e-01
3.90000e+03 6.01000e-01
3.95000e+03 8.17000e-01
4.00000e+03 9.58000e-01
4.05000e+03 1.00000e+00
4.10000e+03 9.95000e-01
4.15000e+03 9.95000e-01
4.20000e+03 9.94000e-01
4.25000e+03 9.76000e-01
4.30000e+03 9.50000e-01
4.35000e+03 9.21000e-01
4.40000e+03 8.88000e-01
4.45000e+03 8.45000e-01
4.50000e+03 7.92000e-01
4.55000e+03 7.33000e-01
4.60000e+03 6.73000e-01
4.65000e+03 6.19000e-01
4.70000e+03 5.69000e-01
4.75000e+03 5.19000e-01
4.80000e+03 4.67000e-01
4.85000e+03 4.14000e-01
4.90000e+03 3.62000e-01
4.95000e+03 3.15000e-01
5.00000e+03 2.72000e-01
5.05000e+03 2.32000e-01
5.10000e+03 1.93000e-01
5.15000e+03 1.55000e-01
5.20000e+03 1.21000e-01
5.25000e+03 9.60000e-02
5.30000e+03 7.50000e-02
5.35000e+03 5.40000e-02
5.40000e+03 3.40000e-02
5.45000e+03 1.80000e-02
5.50000e+03 7.00000e-03
5.55000e+03 1.00000e-03
5.60000e+03 0.00000e+00
