# RestUV-Tophat_2700_200
# photon
# from FILTER.RES.DR34.latest
2.58420e+03 0.00000e+00
2.58960e+03 0.00000e+00
2.59500e+03 0.00000e+00
2.60040e+03 6.66474e-01
2.60580e+03 1.00000e+00
2.61120e+03 1.00000e+00
2.61660e+03 1.00000e+00
2.62199e+03 1.00000e+00
2.62739e+03 1.00000e+00
2.63279e+03 1.00000e+00
2.63819e+03 1.00000e+00
2.64359e+03 1.00000e+00
2.64899e+03 1.00000e+00
2.65439e+03 1.00000e+00
2.65979e+03 1.00000e+00
2.66518e+03 1.00000e+00
2.67058e+03 1.00000e+00
2.67598e+03 1.00000e+00
2.68138e+03 1.00000e+00
2.68678e+03 1.00000e+00
2.69218e+03 1.00000e+00
2.69758e+03 1.00000e+00
2.70298e+03 1.00000e+00
2.70837e+03 1.00000e+00
2.71377e+03 1.00000e+00
2.71917e+03 1.00000e+00
2.72457e+03 1.00000e+00
2.72997e+03 1.00000e+00
2.73537e+03 1.00000e+00
2.74077e+03 1.00000e+00
2.74617e+03 1.00000e+00
2.75156e+03 1.00000e+00
2.75696e+03 1.00000e+00
2.76236e+03 1.00000e+00
2.76776e+03 1.00000e+00
2.77316e+03 1.00000e+00
2.77856e+03 1.00000e+00
2.78396e+03 1.00000e+00
2.78936e+03 1.00000e+00
2.79475e+03 1.00000e+00
2.80015e+03 5.64349e-01
2.80555e+03 0.00000e+00
2.81095e+03 0.00000e+00
2.81635e+03 0.00000e+00
