# Subaru-suprime_FDCCD_z
# photon
# from FILTER.RES.DR34.latest
7.87851e+03 0.00000e+00
7.89671e+03 0.00000e+00
7.91490e+03 1.79577e-04
7.93309e+03 6.22739e-04
7.95129e+03 1.10938e-03
7.96948e+03 1.61752e-03
7.98767e+03 2.26130e-03
8.00586e+03 2.81952e-03
8.02406e+03 3.28407e-03
8.04225e+03 3.89810e-03
8.06044e+03 4.54217e-03
8.07863e+03 5.32041e-03
8.09683e+03 6.28248e-03
8.11502e+03 7.47443e-03
8.13321e+03 8.74580e-03
8.15140e+03 1.03592e-02
8.16960e+03 1.24621e-02
8.18779e+03 1.50123e-02
8.20598e+03 1.80444e-02
8.22417e+03 2.13901e-02
8.24237e+03 2.63267e-02
8.26056e+03 3.24181e-02
8.27875e+03 3.96083e-02
8.29694e+03 4.80247e-02
8.31514e+03 6.11629e-02
8.33333e+03 7.81435e-02
8.35152e+03 9.87847e-02
8.36971e+03 1.23360e-01
8.38791e+03 1.55394e-01
8.40610e+03 1.93910e-01
8.42429e+03 2.36780e-01
8.44248e+03 2.92957e-01
8.46068e+03 3.52837e-01
8.47887e+03 4.17392e-01
8.49706e+03 4.85259e-01
8.51525e+03 5.51971e-01
8.53345e+03 6.20209e-01
8.55164e+03 6.87342e-01
8.56983e+03 7.43659e-01
8.58802e+03 7.87268e-01
8.60622e+03 8.31227e-01
8.62441e+03 8.67083e-01
8.64260e+03 8.84666e-01
8.66079e+03 9.01389e-01
8.67899e+03 9.18223e-01
8.69718e+03 9.26293e-01
8.71537e+03 9.31012e-01
8.73356e+03 9.32578e-01
8.75176e+03 9.31153e-01
8.76995e+03 9.27772e-01
8.78814e+03 9.23847e-01
8.80633e+03 9.17975e-01
8.82453e+03 9.10186e-01
8.84272e+03 9.06921e-01
8.86091e+03 9.04197e-01
8.87910e+03 9.03434e-01
8.89730e+03 9.03399e-01
8.91549e+03 8.80458e-01
8.93368e+03 8.55533e-01
8.95187e+03 8.29513e-01
8.97007e+03 8.01424e-01
8.98826e+03 7.87731e-01
9.00645e+03 7.87729e-01
9.02464e+03 7.88338e-01
9.04284e+03 7.89237e-01
9.06103e+03 7.89345e-01
9.07922e+03 7.86718e-01
9.09741e+03 7.83783e-01
9.11561e+03 7.80896e-01
9.13380e+03 7.78283e-01
9.15199e+03 7.75987e-01
9.17018e+03 7.72078e-01
9.18838e+03 7.68286e-01
9.20657e+03 7.63859e-01
9.22476e+03 7.58781e-01
9.24295e+03 7.56151e-01
9.26115e+03 7.42267e-01
9.27934e+03 7.04147e-01
9.29753e+03 6.60732e-01
9.31572e+03 6.17678e-01
9.33392e+03 5.74134e-01
9.35211e+03 5.38582e-01
9.37030e+03 5.53972e-01
9.38849e+03 5.68571e-01
9.40669e+03 5.81688e-01
9.42488e+03 5.83214e-01
9.44307e+03 5.60529e-01
9.46126e+03 5.45071e-01
9.47946e+03 5.45704e-01
9.49765e+03 5.48432e-01
9.51584e+03 5.38722e-01
9.53403e+03 5.29656e-01
9.55223e+03 5.31283e-01
9.57042e+03 5.39555e-01
9.58861e+03 5.49505e-01
9.60680e+03 5.60773e-01
9.62500e+03 5.71930e-01
9.64319e+03 5.82818e-01
9.66138e+03 5.92909e-01
9.67957e+03 6.03137e-01
9.69777e+03 6.08881e-01
9.71596e+03 5.93573e-01
9.73415e+03 5.75103e-01
9.75234e+03 5.64205e-01
9.77054e+03 5.53918e-01
9.78873e+03 5.36808e-01
9.80692e+03 5.09668e-01
9.82511e+03 4.70666e-01
9.84331e+03 4.22503e-01
9.86150e+03 3.67698e-01
9.87969e+03 3.07623e-01
9.89788e+03 2.50462e-01
9.91608e+03 1.99924e-01
9.93427e+03 1.56542e-01
9.95246e+03 1.18989e-01
9.97065e+03 9.09563e-02
9.98885e+03 6.92130e-02
1.00070e+04 5.21761e-02
1.00252e+04 3.90786e-02
1.00434e+04 2.98834e-02
1.00616e+04 2.31356e-02
1.00798e+04 1.80344e-02
1.00980e+04 1.43052e-02
1.01162e+04 1.15130e-02
1.01344e+04 9.23897e-03
1.01526e+04 7.22665e-03
1.01708e+04 5.65575e-03
1.01890e+04 4.41482e-03
1.02072e+04 3.51373e-03
1.02254e+04 2.85779e-03
1.02435e+04 2.39487e-03
1.02617e+04 2.03943e-03
1.02799e+04 1.77935e-03
1.02981e+04 1.52275e-03
1.03163e+04 1.37195e-03
1.03345e+04 1.20736e-03
1.03527e+04 1.00917e-03
1.03709e+04 8.35074e-04
1.03891e+04 7.33714e-04
1.04073e+04 6.10903e-04
1.04255e+04 4.81004e-04
1.04437e+04 4.22118e-04
1.04619e+04 3.86559e-04
1.04800e+04 3.16883e-04
1.04982e+04 2.03064e-04
1.05164e+04 1.36334e-04
1.05346e+04 6.33194e-05
1.05528e+04 0.00000e+00
1.05710e+04 0.00000e+00
1.05892e+04 0.00000e+00
