# Subaru_MB-IA856
# photon
# from FILTER.RES.DR34.latest
7.86000e+03 0.00000e+00
7.88500e+03 0.00000e+00
7.91000e+03 4.94007e-03
7.93500e+03 5.25858e-03
7.96000e+03 6.64717e-03
7.98500e+03 7.07197e-03
8.01000e+03 6.38986e-03
8.03500e+03 7.89716e-03
8.06000e+03 7.38080e-03
8.08500e+03 6.58019e-03
8.11000e+03 5.98408e-03
8.13500e+03 6.30074e-03
8.16000e+03 7.63922e-03
8.18500e+03 6.69530e-03
8.21000e+03 5.64499e-03
8.23500e+03 5.66054e-03
8.26000e+03 7.73244e-03
8.28500e+03 7.48117e-03
8.31000e+03 1.31705e-02
8.33500e+03 3.38642e-02
8.36000e+03 1.13922e-01
8.38500e+03 3.13137e-01
8.41000e+03 5.54329e-01
8.43500e+03 7.73244e-01
8.46000e+03 9.44904e-01
8.48500e+03 1.00000e+00
8.51000e+03 9.96959e-01
8.53500e+03 9.95284e-01
8.56000e+03 9.96308e-01
8.58500e+03 9.98640e-01
8.61000e+03 9.99288e-01
8.63500e+03 9.96531e-01
8.66000e+03 9.63291e-01
8.68500e+03 8.51742e-01
8.71000e+03 6.65163e-01
8.73500e+03 4.65493e-01
8.76000e+03 2.48463e-01
8.78500e+03 8.75133e-02
8.81000e+03 2.84593e-02
8.83500e+03 1.19949e-02
8.86000e+03 6.88903e-03
8.88500e+03 5.18763e-03
8.91000e+03 4.60278e-03
8.93500e+03 3.79949e-03
8.96000e+03 3.12660e-03
8.98500e+03 2.87248e-03
9.01000e+03 2.78719e-03
9.03500e+03 2.34333e-03
9.06000e+03 2.30424e-03
9.08500e+03 1.87130e-03
9.11000e+03 1.68793e-03
9.13500e+03 1.59767e-03
9.16000e+03 1.42035e-03
9.18500e+03 1.11257e-03
9.21000e+03 1.04108e-03
9.23500e+03 9.88459e-04
9.26000e+03 0.00000e+00
9.28500e+03 0.00000e+00
