# UKIDSS-K
# photon
# from FILTER.RES.DR34.latest
1.91150e+04 0.00000e+00
1.91850e+04 0.00000e+00
1.92550e+04 2.96378e-03
1.93250e+04 4.67482e-03
1.93950e+04 6.41643e-03
1.94650e+04 9.71630e-03
1.95350e+04 1.09690e-02
1.96050e+04 1.47883e-02
1.96750e+04 2.22894e-02
1.97450e+04 3.43584e-02
1.98150e+04 4.83829e-02
1.98850e+04 6.57225e-02
1.99550e+04 8.44829e-02
2.00250e+04 5.49368e-02
2.00950e+04 1.06085e-01
2.01650e+04 1.62504e-01
2.02350e+04 3.45387e-01
2.03050e+04 5.39484e-01
2.03750e+04 6.73068e-01
2.04450e+04 7.53243e-01
2.05150e+04 6.45920e-01
2.05850e+04 6.79545e-01
2.06550e+04 6.91584e-01
2.07250e+04 7.88441e-01
2.07950e+04 8.89133e-01
2.08650e+04 9.08276e-01
2.09350e+04 9.34675e-01
2.10050e+04 9.45964e-01
2.10750e+04 9.51617e-01
2.11450e+04 9.55696e-01
2.12150e+04 9.56536e-01
2.12850e+04 9.65672e-01
2.13550e+04 9.71340e-01
2.14250e+04 9.75388e-01
2.14950e+04 9.73433e-01
2.15650e+04 9.76061e-01
2.16350e+04 9.71477e-01
2.17050e+04 9.73250e-01
2.17750e+04 9.70454e-01
2.18450e+04 9.66069e-01
2.19150e+04 9.70072e-01
2.19850e+04 9.47141e-01
2.20550e+04 9.62724e-01
2.21250e+04 9.76962e-01
2.21950e+04 9.72929e-01
2.22650e+04 9.84906e-01
2.23350e+04 9.85380e-01
2.24050e+04 9.95447e-01
2.24750e+04 1.00000e+00
2.25450e+04 9.93156e-01
2.26150e+04 9.82630e-01
2.26850e+04 9.81728e-01
2.27550e+04 9.53359e-01
2.28250e+04 9.30794e-01
2.28950e+04 9.14127e-01
2.29650e+04 8.80013e-01
2.30350e+04 8.57998e-01
2.31050e+04 8.81235e-01
2.31750e+04 8.24725e-01
2.32450e+04 8.88904e-01
2.33150e+04 9.00713e-01
2.33850e+04 9.05770e-01
2.34550e+04 9.16556e-01
2.35250e+04 8.86780e-01
2.35950e+04 8.70235e-01
2.36650e+04 7.77594e-01
2.37350e+04 5.91167e-01
2.38050e+04 5.13024e-01
2.38750e+04 3.95450e-01
2.39450e+04 2.96683e-01
2.40150e+04 2.25461e-01
2.40850e+04 1.58501e-01
2.41550e+04 1.06192e-01
2.42250e+04 7.54541e-02
2.42950e+04 5.32258e-02
2.43650e+04 3.10433e-02
2.44350e+04 2.27478e-02
2.45050e+04 1.39939e-02
2.45750e+04 1.04954e-02
2.46450e+04 6.85946e-03
2.47150e+04 5.53035e-03
2.47850e+04 0.00000e+00
2.48550e+04 0.00000e+00
